datetime,open,close,high,low
2022-12-26 11:00:00,55.8,55.7,55.9,55.7
2022-12-26 12:00:00,55.8,55.7,55.9,55.7
2022-12-26 13:00:00,55.8,55.6,55.8,55.5
2022-12-26 14:00:00,55.7,55.6,55.8,55.5
2022-12-26 15:00:00,55.6,55.5,55.7,55.4
2022-12-26 16:00:00,55.5,55.5,55.6,55.4
2022-12-26 17:00:00,55.4,55.4,55.5,55.4
2022-12-26 18:00:00,55.4,55.4,55.5,55.4
2022-12-26 19:00:00,55.4,55.6,55.7,55.4
2022-12-26 20:00:00,55.7,55.9,55.9,55.7
2022-12-26 21:00:00,55.8,55.7,56.0,55.7
2022-12-26 22:00:00,55.7,55.6,55.9,55.6
2022-12-26 23:00:00,55.8,55.9,56.0,55.6
2022-12-27 00:00:00,56.0,55.6,56.2,55.5
2022-12-27 01:00:00,55.6,55.5,55.8,55.5
2022-12-27 02:00:00,55.6,55.5,55.7,55.5
2022-12-27 03:00:00,55.6,55.5,55.6,55.5
2022-12-27 04:00:00,55.5,55.6,55.6,55.5
2022-12-27 05:00:00,55.7,55.6,55.7,55.6
2022-12-27 06:00:00,55.7,55.8,55.8,55.6
2022-12-27 07:00:00,55.8,55.8,55.9,55.7
2022-12-27 08:00:00,55.7,55.7,55.9,55.7
2022-12-27 09:00:00,55.6,56.1,56.1,55.6
2022-12-27 10:00:00,56.1,57.1,57.4,56.0
2022-12-27 11:00:00,57.1,57.4,57.5,56.8
2022-12-27 12:00:00,57.4,57.6,58.3,57.4
2022-12-27 13:00:00,57.6,57.2,57.6,57.0
2022-12-27 14:00:00,57.2,56.8,57.3,56.6
2022-12-27 15:00:00,56.8,56.9,57.4,56.7
2022-12-27 16:00:00,56.9,56.9,57.1,56.8
2022-12-27 17:00:00,56.9,56.9,56.9,56.3
2022-12-27 18:00:00,56.9,57.2,57.4,56.9
2022-12-27 19:00:00,57.1,57.4,57.5,57.0
2022-12-27 20:00:00,57.4,57.3,57.5,57.2
2022-12-27 21:00:00,57.3,57.4,57.4,57.3
2022-12-27 22:00:00,57.4,57.2,57.4,57.1
2022-12-27 23:00:00,57.2,57.5,57.5,57.2
2022-12-28 00:00:00,57.5,56.9,57.8,56.9
2022-12-28 01:00:00,57.0,56.8,57.2,56.6
2022-12-28 02:00:00,56.9,56.5,56.9,56.5
2022-12-28 03:00:00,56.4,56.6,56.6,56.0
2022-12-28 04:00:00,56.6,56.5,56.6,56.4
2022-12-28 05:00:00,56.4,56.0,56.7,55.7
2022-12-28 06:00:00,56.0,55.9,56.1,55.8
2022-12-28 07:00:00,56.0,56.1,56.2,55.8
2022-12-28 08:00:00,56.2,55.8,56.4,55.7
2022-12-28 09:00:00,55.7,55.2,55.8,55.1
2022-12-28 10:00:00,55.1,55.1,55.2,54.9
2022-12-28 11:00:00,55.1,55.0,55.1,54.9
2022-12-28 12:00:00,54.9,54.8,55.1,54.6
2022-12-28 13:00:00,54.8,54.7,54.9,54.6
2022-12-28 14:00:00,54.7,55.0,55.3,54.4
2022-12-28 15:00:00,55.0,54.4,55.3,54.3
2022-12-28 16:00:00,54.3,54.5,54.8,54.3
2022-12-28 17:00:00,54.5,54.7,54.7,54.4
2022-12-28 18:00:00,54.7,54.5,54.8,54.5
2022-12-28 19:00:00,54.6,54.3,54.6,54.2
2022-12-28 20:00:00,54.3,54.5,54.5,54.2
2022-12-28 21:00:00,54.5,53.6,54.5,53.5
2022-12-28 22:00:00,53.5,53.6,53.6,53.4
2022-12-28 23:00:00,53.6,53.8,53.8,53.5
2022-12-29 00:00:00,53.8,54.1,54.1,53.6
2022-12-29 01:00:00,54.1,54.0,54.2,53.9
2022-12-29 02:00:00,54.0,54.3,54.3,53.7
2022-12-29 03:00:00,54.3,54.5,54.5,54.2
2022-12-29 04:00:00,54.5,54.6,54.6,54.3
2022-12-29 05:00:00,54.6,54.4,54.6,54.3
2022-12-29 06:00:00,54.4,54.3,54.4,54.2
2022-12-29 07:00:00,54.3,54.4,54.4,54.1
2022-12-29 08:00:00,54.3,54.0,54.3,53.9
2022-12-29 09:00:00,53.9,54.5,54.6,53.9
2022-12-29 10:00:00,54.5,54.7,54.7,54.4
2022-12-29 11:00:00,54.7,54.4,54.8,54.3
2022-12-29 12:00:00,54.5,54.6,54.7,54.4
2022-12-29 13:00:00,54.5,54.7,54.8,54.4
2022-12-29 14:00:00,54.7,54.8,54.9,54.6
2022-12-29 15:00:00,54.8,54.7,55.0,54.6
2022-12-29 16:00:00,54.7,54.7,54.8,54.6
2022-12-29 17:00:00,54.7,54.4,54.8,54.4
2022-12-29 18:00:00,54.5,54.4,54.5,54.1
2022-12-29 19:00:00,54.3,54.5,54.7,54.1
2022-12-29 20:00:00,54.5,54.4,54.6,53.7
2022-12-29 21:00:00,54.3,53.9,54.3,53.9
2022-12-29 22:00:00,53.9,54.3,54.5,53.8
2022-12-29 23:00:00,54.4,54.5,54.7,54.3
2022-12-30 00:00:00,54.5,54.5,54.7,54.4
2022-12-30 01:00:00,54.5,54.1,54.5,54.1
2022-12-30 02:00:00,54.1,54.1,54.3,53.9
2022-12-30 03:00:00,54.2,54.3,54.4,54.2
2022-12-30 04:00:00,54.3,54.4,54.4,54.1
2022-12-30 05:00:00,54.3,54.0,54.3,53.8
2022-12-30 06:00:00,54.0,54.0,54.2,53.8
2022-12-30 07:00:00,54.0,53.8,54.1,53.3
