datetime,open,close,high,low
2022-09-29 10:00:00,12.19,12.3,12.35,12.15
2022-09-29 11:00:00,12.3,12.29,12.44,12.29
2022-09-29 12:00:00,12.32,12.34,12.36,12.27
2022-09-29 13:00:00,12.34,12.25,12.38,12.19
2022-09-29 14:00:00,12.24,12.21,12.26,12.14
2022-09-29 15:00:00,12.21,12.34,12.34,12.21
2022-09-30 09:00:00,12.29,12.63,12.64,12.22
2022-09-30 10:00:00,12.65,12.82,12.89,12.65
2022-09-30 11:00:00,12.82,12.7,12.84,12.7
2022-09-30 12:00:00,12.71,12.82,12.83,12.7
2022-09-30 13:00:00,12.82,12.71,12.82,12.69
2022-09-30 14:00:00,12.72,12.59,12.75,12.55
2022-09-30 15:00:00,12.6,12.5,12.6,12.49
2022-10-03 09:00:00,12.6,12.66,12.78,12.37
2022-10-03 10:00:00,12.69,12.81,12.87,12.69
2022-10-03 11:00:00,12.82,12.71,12.84,12.68
2022-10-03 12:00:00,12.71,12.8,12.82,12.71
2022-10-03 13:00:00,12.78,12.86,12.86,12.76
2022-10-03 14:00:00,12.85,12.87,12.9,12.82
2022-10-03 15:00:00,12.88,12.87,12.89,12.82
2022-10-04 09:00:00,13.12,13.36,13.42,13.12
2022-10-04 10:00:00,13.34,13.59,13.67,13.29
2022-10-04 11:00:00,13.59,13.55,13.62,13.49
2022-10-04 12:00:00,13.55,13.48,13.58,13.42
2022-10-04 13:00:00,13.49,13.57,13.6,13.47
2022-10-04 14:00:00,13.57,13.52,13.62,13.5
2022-10-04 15:00:00,13.51,13.6,13.61,13.51
2022-10-05 09:00:00,13.23,12.96,13.4,12.95
2022-10-05 10:00:00,12.93,13.1,13.14,12.93
2022-10-05 11:00:00,13.1,13.24,13.32,13.05
2022-10-05 12:00:00,13.26,13.44,13.49,13.22
2022-10-05 13:00:00,13.45,13.36,13.45,13.33
2022-10-05 14:00:00,13.35,13.54,13.56,13.35
2022-10-05 15:00:00,13.54,13.49,13.59,13.47
2022-10-06 09:00:00,13.48,13.18,13.83,13.18
2022-10-06 10:00:00,13.18,13.36,13.4,13.18
2022-10-06 11:00:00,13.36,13.31,13.4,13.26
2022-10-06 12:00:00,13.29,13.37,13.39,13.29
2022-10-06 13:00:00,13.37,13.32,13.39,13.3
2022-10-06 14:00:00,13.32,13.31,13.32,13.17
2022-10-06 15:00:00,13.31,13.34,13.36,13.29
2022-10-07 09:00:00,12.95,12.71,12.95,12.57
2022-10-07 10:00:00,12.7,12.55,12.72,12.51
2022-10-07 11:00:00,12.56,12.4,12.62,12.4
2022-10-07 12:00:00,12.4,12.42,12.46,12.35
2022-10-07 13:00:00,12.42,12.4,12.47,12.38
2022-10-07 14:00:00,12.39,12.49,12.56,12.38
2022-10-07 15:00:00,12.49,12.54,12.59,12.47
2022-10-10 09:00:00,12.55,12.31,12.57,12.25
2022-10-10 10:00:00,12.3,12.23,12.32,12.1
2022-10-10 11:00:00,12.24,12.19,12.32,12.19
2022-10-10 12:00:00,12.19,12.19,12.21,12.12
2022-10-10 13:00:00,12.19,12.21,12.37,12.19
2022-10-10 14:00:00,12.21,12.18,12.26,12.15
2022-10-10 15:00:00,12.15,12.19,12.24,12.15
2022-10-11 09:00:00,12.17,11.96,12.17,11.81
2022-10-11 10:00:00,11.96,12.07,12.1,11.93
2022-10-11 11:00:00,12.08,12.18,12.32,12.04
2022-10-11 12:00:00,12.18,12.1,12.32,12.09
2022-10-11 13:00:00,12.12,12.07,12.14,12.03
2022-10-11 14:00:00,12.07,11.98,12.09,11.91
2022-10-11 15:00:00,11.98,12.0,12.07,11.96
2022-10-12 09:00:00,12.08,11.72,12.19,11.65
2022-10-12 10:00:00,11.71,12.0,12.0,11.65
2022-10-12 11:00:00,12.02,11.87,12.05,11.86
2022-10-12 12:00:00,11.88,11.94,11.97,11.86
2022-10-12 13:00:00,11.93,12.03,12.03,11.87
2022-10-12 14:00:00,12.03,11.99,12.05,11.92
2022-10-12 15:00:00,11.97,11.93,12.01,11.92
2022-10-13 09:00:00,11.54,11.66,11.81,11.31
2022-10-13 10:00:00,11.65,12.18,12.35,11.65
2022-10-13 11:00:00,12.18,11.98,12.37,11.98
2022-10-13 12:00:00,11.98,12.28,12.28,11.95
2022-10-13 13:00:00,12.3,12.08,12.34,12.08
2022-10-13 14:00:00,12.09,12.17,12.2,12.09
2022-10-13 15:00:00,12.17,12.17,12.2,12.14
2022-10-14 09:00:00,12.34,11.94,12.56,11.89
2022-10-14 10:00:00,11.94,11.98,12.04,11.86
2022-10-14 11:00:00,11.96,11.88,11.98,11.74
2022-10-14 12:00:00,11.88,11.84,11.92,11.8
2022-10-14 13:00:00,11.84,11.81,11.91,11.76
2022-10-14 14:00:00,11.81,11.72,11.83,11.71
2022-10-14 15:00:00,11.72,11.71,11.77,11.69
2022-10-17 09:00:00,12.19,12.35,12.43,12.15
2022-10-17 10:00:00,12.33,12.46,12.49,12.32
2022-10-17 11:00:00,12.46,12.42,12.52,12.4
2022-10-17 12:00:00,12.43,12.31,12.44,12.31
2022-10-17 13:00:00,12.32,12.32,12.36,12.29
2022-10-17 14:00:00,12.31,12.31,12.34,12.26
2022-10-17 15:00:00,12.29,12.3,12.33,12.27
2022-10-18 09:00:00,12.81,12.59,13.0,12.57
2022-10-18 10:00:00,12.6,12.43,12.73,12.43
2022-10-18 11:00:00,12.43,12.61,12.69,12.42
2022-10-18 12:00:00,12.62,12.57,12.73,12.51
2022-10-18 13:00:00,12.57,12.58,12.6,12.5
2022-10-18 14:00:00,12.57,12.57,12.59,12.42
