datetime,open,close,high,low
2022-09-30 10:00:00,6.09,6.19,6.22,6.0
2022-09-30 11:00:00,6.22,6.16,6.24,6.07
2022-09-30 12:00:00,6.19,6.23,6.27,6.12
2022-09-30 13:00:00,6.25,6.12,6.28,6.1
2022-09-30 14:00:00,6.13,6.08,6.14,6.01
2022-09-30 15:00:00,6.08,6.12,6.13,6.05
2022-10-03 09:00:00,6.16,6.09,6.17,5.74
2022-10-03 10:00:00,6.08,6.08,6.18,6.05
2022-10-03 11:00:00,6.09,6.08,6.11,6.06
2022-10-03 12:00:00,6.08,6.11,6.13,6.07
2022-10-03 13:00:00,6.11,6.2,6.2,6.08
2022-10-03 14:00:00,6.19,6.26,6.27,6.19
2022-10-03 15:00:00,6.26,6.25,6.28,6.23
2022-10-04 09:00:00,6.43,6.37,6.62,6.26
2022-10-04 10:00:00,6.35,6.68,6.68,6.32
2022-10-04 11:00:00,6.68,6.68,6.75,6.63
2022-10-04 12:00:00,6.68,6.61,6.68,6.53
2022-10-04 13:00:00,6.61,6.69,6.71,6.58
2022-10-04 14:00:00,6.7,6.75,6.77,6.63
2022-10-04 15:00:00,6.75,6.74,6.77,6.72
2022-10-05 09:00:00,6.59,6.3,6.71,6.28
2022-10-05 10:00:00,6.31,6.41,6.43,6.29
2022-10-05 11:00:00,6.39,6.49,6.53,6.35
2022-10-05 12:00:00,6.5,6.65,6.65,6.48
2022-10-05 13:00:00,6.65,6.67,6.67,6.61
2022-10-05 14:00:00,6.67,6.7,6.7,6.64
2022-10-05 15:00:00,6.71,6.72,6.76,6.7
2022-10-06 09:00:00,6.74,6.75,7.13,6.66
2022-10-06 10:00:00,6.76,6.87,6.99,6.73
2022-10-06 11:00:00,6.87,6.95,6.95,6.81
2022-10-06 12:00:00,6.94,6.93,6.96,6.9
2022-10-06 13:00:00,6.93,6.93,6.95,6.87
2022-10-06 14:00:00,6.94,6.97,7.0,6.87
2022-10-06 15:00:00,6.97,6.97,7.0,6.96
2022-10-07 09:00:00,6.87,6.68,6.96,6.57
2022-10-07 10:00:00,6.68,6.66,6.79,6.64
2022-10-07 11:00:00,6.66,6.64,6.71,6.64
2022-10-07 12:00:00,6.61,6.65,6.66,6.59
2022-10-07 13:00:00,6.65,6.66,6.68,6.63
2022-10-07 14:00:00,6.66,6.53,6.71,6.53
2022-10-07 15:00:00,6.53,6.47,6.54,6.46
2022-10-10 09:00:00,6.44,6.5,6.56,6.3
2022-10-10 10:00:00,6.5,6.39,6.5,6.32
2022-10-10 11:00:00,6.39,6.33,6.46,6.33
2022-10-10 12:00:00,6.34,6.32,6.36,6.28
2022-10-10 13:00:00,6.32,6.4,6.46,6.31
2022-10-10 14:00:00,6.4,6.47,6.49,6.39
2022-10-10 15:00:00,6.47,6.42,6.5,6.42
2022-10-11 09:00:00,6.39,6.05,6.5,6.0
2022-10-11 10:00:00,6.05,6.33,6.33,6.05
2022-10-11 11:00:00,6.33,6.39,6.41,6.31
2022-10-11 12:00:00,6.38,6.38,6.47,6.37
2022-10-11 13:00:00,6.36,6.3,6.41,6.3
2022-10-11 14:00:00,6.3,6.19,6.31,6.15
2022-10-11 15:00:00,6.2,6.35,6.35,6.19
2022-10-12 09:00:00,6.4,6.27,6.42,6.23
2022-10-12 10:00:00,6.27,6.3,6.37,6.21
2022-10-12 11:00:00,6.3,6.22,6.3,6.16
2022-10-12 12:00:00,6.22,6.22,6.27,6.2
2022-10-12 13:00:00,6.23,6.3,6.3,6.2
2022-10-12 14:00:00,6.3,6.41,6.43,6.26
2022-10-12 15:00:00,6.41,6.36,6.41,6.35
2022-10-13 09:00:00,6.15,6.17,6.25,6.08
2022-10-13 10:00:00,6.17,6.51,6.52,6.11
2022-10-13 11:00:00,6.52,6.41,6.58,6.38
2022-10-13 12:00:00,6.4,6.57,6.58,6.4
2022-10-13 13:00:00,6.57,6.46,6.61,6.46
2022-10-13 14:00:00,6.48,6.54,6.56,6.47
2022-10-13 15:00:00,6.54,6.57,6.57,6.5
2022-10-14 09:00:00,6.6,6.24,6.68,6.16
2022-10-14 10:00:00,6.25,6.13,6.3,6.13
2022-10-14 11:00:00,6.13,6.14,6.14,6.04
2022-10-14 12:00:00,6.15,6.04,6.15,6.03
2022-10-14 13:00:00,6.04,6.08,6.09,6.03
2022-10-14 14:00:00,6.09,6.025,6.1,6.0
2022-10-14 15:00:00,5.99,5.93,6.02,5.93
2022-10-17 09:00:00,6.04,6.01,6.19,5.95
2022-10-17 10:00:00,6.0,5.96,6.0,5.89
2022-10-17 11:00:00,5.96,5.96,6.01,5.95
2022-10-17 12:00:00,5.95,5.92,5.98,5.92
2022-10-17 13:00:00,5.92,5.92,5.95,5.88
2022-10-17 14:00:00,5.92,5.92,5.94,5.89
2022-10-17 15:00:00,5.93,5.93,5.97,5.92
2022-10-18 09:00:00,6.07,6.06,6.19,6.01
2022-10-18 10:00:00,6.06,6.14,6.2,6.04
2022-10-18 11:00:00,6.14,6.18,6.22,6.1
2022-10-18 12:00:00,6.18,6.11,6.23,6.11
2022-10-18 13:00:00,6.11,6.12,6.15,6.09
2022-10-18 14:00:00,6.12,6.11,6.13,6.04
2022-10-18 15:00:00,6.12,6.05,6.12,6.0
2022-10-19 09:00:00,5.94,5.96,5.97,5.86
2022-10-19 10:00:00,5.96,5.91,5.96,5.81
2022-10-19 11:00:00,5.91,5.88,5.92,5.88
2022-10-19 12:00:00,5.89,5.86,5.92,5.86
2022-10-19 13:00:00,5.86,5.85,5.9,5.82
2022-10-19 14:00:00,5.86,5.79,5.86,5.78
2022-10-19 15:00:00,5.79,5.83,5.83,5.78
2022-10-20 09:00:00,5.82,5.88,5.96,5.76
2022-10-20 10:00:00,5.89,5.97,6.01,5.85
2022-10-20 11:00:00,5.99,5.91,6.01,5.89
2022-10-20 12:00:00,5.92,5.95,6.0,5.88
2022-10-20 13:00:00,5.94,5.94,5.96,5.9
2022-10-20 14:00:00,5.94,6.0,6.0,5.94
2022-10-20 15:00:00,6.0,5.97,6.0,5.94
2022-10-21 09:00:00,6.02,5.9,6.07,5.88
2022-10-21 10:00:00,5.9,6.05,6.08,5.89
2022-10-21 11:00:00,6.08,6.12,6.14,6.06
2022-10-21 12:00:00,6.12,6.15,6.21,6.08
2022-10-21 13:00:00,6.15,6.06,6.18,6.04
2022-10-21 14:00:00,6.06,6.18,6.18,6.06
