datetime,open,close,high,low
2022-09-30 10:00:00,13.28,13.21,13.4,13.2
2022-09-30 11:00:00,13.2,13.02,13.2,12.96
2022-09-30 12:00:00,13.02,13.03,13.13,12.97
2022-09-30 13:00:00,13.0,12.86,13.01,12.8
2022-09-30 14:00:00,12.87,12.7,12.89,12.7
2022-09-30 15:00:00,12.7,12.77,12.77,12.58
2022-10-03 09:00:00,12.89,12.79,13.05,12.61
2022-10-03 10:00:00,12.82,12.81,12.95,12.7
2022-10-03 11:00:00,12.82,12.76,12.9,12.6
2022-10-03 12:00:00,12.73,12.79,12.81,12.65
2022-10-03 13:00:00,12.79,12.74,12.82,12.63
2022-10-03 14:00:00,12.76,12.95,12.96,12.71
2022-10-03 15:00:00,12.94,12.83,12.94,12.78
2022-10-04 09:00:00,13.03,12.74,13.18,12.73
2022-10-04 10:00:00,12.74,12.9,12.96,12.73
2022-10-04 11:00:00,12.89,12.88,12.9,12.77
2022-10-04 12:00:00,12.88,12.93,13.01,12.86
2022-10-04 13:00:00,12.96,12.85,13.1,12.85
2022-10-04 14:00:00,12.84,13.01,13.05,12.81
2022-10-04 15:00:00,13.01,13.0,13.01,12.9
2022-10-05 09:00:00,12.75,11.83,12.97,11.76
2022-10-05 10:00:00,11.79,12.05,12.25,11.79
2022-10-05 11:00:00,12.04,11.98,12.1,11.83
2022-10-05 12:00:00,11.99,12.05,12.14,11.96
2022-10-05 13:00:00,12.07,12.03,12.07,11.97
2022-10-05 14:00:00,12.03,12.07,12.14,11.96
2022-10-05 15:00:00,12.06,12.0,12.1,11.98
2022-10-06 09:00:00,11.96,11.49,12.08,11.46
2022-10-06 10:00:00,11.48,11.57,11.63,11.4
2022-10-06 11:00:00,11.57,11.51,11.61,11.46
2022-10-06 12:00:00,11.48,11.43,11.58,11.4
2022-10-06 13:00:00,11.42,11.3,11.42,11.18
2022-10-06 14:00:00,11.31,11.25,11.33,11.13
2022-10-06 15:00:00,11.25,11.28,11.47,11.16
2022-10-07 09:00:00,11.19,10.96,11.19,10.77
2022-10-07 10:00:00,10.96,10.93,11.1,10.93
2022-10-07 11:00:00,10.92,11.0,11.08,10.86
2022-10-07 12:00:00,11.0,10.94,11.09,10.87
2022-10-07 13:00:00,10.94,10.81,11.0,10.8
2022-10-07 14:00:00,10.81,10.63,10.89,10.6
2022-10-07 15:00:00,10.62,10.46,10.62,10.46
2022-10-10 09:00:00,10.26,10.24,10.41,10.11
2022-10-10 10:00:00,10.24,10.3,10.3,10.1
2022-10-10 11:00:00,10.31,10.16,10.33,10.15
2022-10-10 12:00:00,10.16,10.24,10.25,10.01
2022-10-10 13:00:00,10.23,10.24,10.37,10.19
2022-10-10 14:00:00,10.24,10.11,10.25,10.06
2022-10-10 15:00:00,10.11,9.98,10.12,9.95
2022-10-11 09:00:00,9.94,9.89,9.98,9.69
2022-10-11 10:00:00,9.87,10.44,10.46,9.84
2022-10-11 11:00:00,10.44,10.36,10.71,10.31
2022-10-11 12:00:00,10.35,10.26,10.45,10.26
2022-10-11 13:00:00,10.27,10.11,10.28,10.07
2022-10-11 14:00:00,10.13,9.92,10.15,9.88
2022-10-11 15:00:00,9.93,10.0,10.08,9.87
2022-10-12 09:00:00,9.95,9.63,9.95,9.53
2022-10-12 10:00:00,9.62,9.81,9.84,9.61
2022-10-12 11:00:00,9.8,9.97,9.99,9.78
2022-10-12 12:00:00,9.97,9.82,9.99,9.77
2022-10-12 13:00:00,9.82,9.92,9.92,9.79
2022-10-12 14:00:00,9.92,9.97,9.99,9.85
2022-10-12 15:00:00,9.96,9.98,10.01,9.85
2022-10-13 09:00:00,9.78,9.69,9.97,9.59
2022-10-13 10:00:00,9.69,10.26,10.26,9.67
2022-10-13 11:00:00,10.26,10.15,10.31,10.13
2022-10-13 12:00:00,10.17,10.57,10.6,10.17
2022-10-13 13:00:00,10.55,10.25,10.58,10.25
2022-10-13 14:00:00,10.24,10.38,10.46,10.24
2022-10-13 15:00:00,10.39,10.36,10.45,10.29
2022-10-14 09:00:00,10.47,10.45,10.72,10.41
2022-10-14 10:00:00,10.44,10.64,10.7,10.44
2022-10-14 11:00:00,10.63,10.72,10.72,10.56
2022-10-14 12:00:00,10.71,10.29,10.76,10.18
2022-10-14 13:00:00,10.29,10.45,10.49,10.22
2022-10-14 14:00:00,10.45,10.46,10.5,10.38
2022-10-14 15:00:00,10.42,10.39,10.56,10.36
2022-10-17 09:00:00,10.65,10.47,10.65,10.3
2022-10-17 10:00:00,10.47,10.41,10.47,10.28
2022-10-17 11:00:00,10.41,10.61,10.74,10.4
2022-10-17 12:00:00,10.63,10.58,10.65,10.56
2022-10-17 13:00:00,10.58,10.69,10.72,10.51
2022-10-17 14:00:00,10.68,10.61,10.71,10.55
2022-10-17 15:00:00,10.6,10.7,10.74,10.58
2022-10-18 09:00:00,10.95,10.72,11.02,10.59
2022-10-18 10:00:00,10.72,10.57,10.79,10.57
2022-10-18 11:00:00,10.58,10.69,10.81,10.51
2022-10-18 12:00:00,10.66,10.82,10.86,10.66
2022-10-18 13:00:00,10.82,10.87,10.91,10.8
2022-10-18 14:00:00,10.87,10.66,10.87,10.66
2022-10-18 15:00:00,10.67,10.65,10.74,10.63
2022-10-19 09:00:00,10.61,10.78,10.82,10.52
2022-10-19 10:00:00,10.77,10.58,10.77,10.51
2022-10-19 11:00:00,10.59,10.32,10.62,10.31
2022-10-19 12:00:00,10.32,10.26,10.35,10.2
2022-10-19 13:00:00,10.26,10.21,10.28,10.11
2022-10-19 14:00:00,10.21,9.91,10.21,9.91
2022-10-19 15:00:00,9.92,9.94,9.95,9.79
2022-10-20 09:00:00,10.0,10.18,10.3,9.98
2022-10-20 10:00:00,10.19,10.28,10.41,10.15
2022-10-20 11:00:00,10.28,10.22,10.36,10.21
2022-10-20 12:00:00,10.22,10.24,10.27,10.17
2022-10-20 13:00:00,10.23,10.11,10.23,10.09
2022-10-20 14:00:00,10.11,10.2,10.2,10.1
2022-10-20 15:00:00,10.21,10.29,10.3,10.17
2022-10-21 09:00:00,10.3,10.28,10.48,10.19
2022-10-21 10:00:00,10.23,10.38,10.38,10.2
2022-10-21 11:00:00,10.43,10.47,10.56,10.4
2022-10-21 12:00:00,10.47,10.62,10.62,10.45
2022-10-21 13:00:00,10.62,10.59,10.68,10.53
2022-10-21 14:00:00,10.6,10.75,10.83,10.51
2022-10-21 15:00:00,10.76,10.73,10.81,10.68
2022-10-24 09:00:00,10.78,10.41,10.88,10.36
2022-10-24 10:00:00,10.36,10.62,10.7,10.36
2022-10-24 11:00:00,10.66,10.85,10.96,10.65
2022-10-24 12:00:00,10.86,10.79,10.86,10.76
2022-10-24 13:00:00,10.8,10.78,10.82,10.69
2022-10-24 14:00:00,10.78,10.8,10.83,10.71
2022-10-24 15:00:00,10.8,10.83,10.87,10.8
2022-10-25 09:00:00,10.89,11.48,11.62,10.81
2022-10-25 10:00:00,11.45,11.42,11.47,11.23
2022-10-25 11:00:00,11.4,11.32,11.5,11.32
2022-10-25 12:00:00,11.32,11.18,11.32,11.12
2022-10-25 13:00:00,11.18,11.44,11.46,11.12
2022-10-25 14:00:00,11.43,11.53,11.59,11.39
2022-10-25 15:00:00,11.52,11.33,11.59,11.32
2022-10-26 09:00:00,11.25,11.67,11.72,11.24
2022-10-26 10:00:00,11.67,12.29,12.41,11.67
2022-10-26 11:00:00,12.27,12.56,12.68,12.27
2022-10-26 12:00:00,12.56,12.38,12.62,12.38
2022-10-26 13:00:00,12.37,12.06,12.42,12.02
2022-10-26 14:00:00,12.04,12.02,12.1,11.86
2022-10-26 15:00:00,12.04,12.28,12.31,12.03
2022-10-27 09:00:00,12.35,12.36,12.67,11.97
2022-10-27 10:00:00,12.36,12.48,12.69,12.34
2022-10-27 11:00:00,12.46,12.68,12.75,12.33
2022-10-27 12:00:00,12.66,12.43,12.69,12.39
2022-10-27 13:00:00,12.46,12.57,12.59,12.38
2022-10-27 14:00:00,12.57,12.65,12.69,12.5
2022-10-27 15:00:00,12.61,12.39,12.65,12.36
2022-10-28 09:00:00,12.38,12.43,12.69,12.23
2022-10-28 10:00:00,12.41,12.7,12.75,12.32
2022-10-28 11:00:00,12.69,12.13,12.79,12.0
2022-10-28 12:00:00,12.14,12.29,12.31,12.04
2022-10-28 13:00:00,12.25,12.51,12.53,12.25
2022-10-28 14:00:00,12.49,12.62,12.63,12.39
2022-10-28 15:00:00,12.64,12.77,12.78,12.62
2022-10-31 09:00:00,12.63,12.46,12.98,12.23
2022-10-31 10:00:00,12.48,12.56,12.59,12.4
2022-10-31 11:00:00,12.58,12.62,12.77,12.48
2022-10-31 12:00:00,12.62,12.44,12.66,12.34
2022-10-31 13:00:00,12.46,12.59,12.6,12.45
2022-10-31 14:00:00,12.6,12.66,12.72,12.46
2022-10-31 15:00:00,12.67,12.53,12.67,12.49
2022-11-01 09:00:00,12.84,13.1,13.29,12.79
2022-11-01 10:00:00,13.07,12.91,13.07,12.62
2022-11-01 11:00:00,12.915,12.81,12.97,12.76
2022-11-01 12:00:00,12.83,12.79,12.86,12.69
2022-11-01 13:00:00,12.79,12.67,12.8,12.49
2022-11-01 14:00:00,12.67,12.55,12.72,12.55
2022-11-01 15:00:00,12.55,12.54,12.6,12.48
2022-11-02 09:00:00,12.55,12.51,12.65,12.37
2022-11-02 10:00:00,12.5,12.49,12.53,12.39
2022-11-02 11:00:00,12.49,12.46,12.53,12.46
2022-11-02 12:00:00,12.42,12.39,12.47,12.36
2022-11-02 13:00:00,12.39,12.43,12.52,12.3
2022-11-02 14:00:00,12.45,11.99,12.45,11.95
2022-11-02 15:00:00,11.97,11.85,11.98,11.82
2022-11-03 09:00:00,11.77,12.1,12.1,11.77
2022-11-03 10:00:00,12.1,12.04,12.21,11.99
2022-11-03 11:00:00,12.02,12.07,12.11,11.99
2022-11-03 12:00:00,12.08,12.03,12.12,11.99
2022-11-03 13:00:00,12.05,12.0,12.12,12.0
2022-11-03 14:00:00,12.01,12.01,12.12,11.99
2022-11-03 15:00:00,12.0,12.07,12.14,12.0
2022-11-04 09:00:00,12.21,11.93,12.38,11.62
2022-11-04 10:00:00,11.95,12.04,12.07,11.87
2022-11-04 11:00:00,12.05,11.93,12.05,11.68
2022-11-04 12:00:00,11.92,11.74,11.92,11.65
2022-11-04 13:00:00,11.76,11.61,11.765,11.51
2022-11-04 14:00:00,11.6134,11.63,11.68,11.56
2022-11-04 15:00:00,11.63,11.84,11.86,11.6
2022-11-07 09:00:00,11.99,11.84,12.12,11.7104
2022-11-07 10:00:00,11.845,11.955,12.01,11.81
2022-11-07 11:00:00,11.955,11.72,12.05,11.675
2022-11-07 12:00:00,11.725,11.71,11.81,11.6
2022-11-07 13:00:00,11.72,11.79,11.8,11.63
2022-11-07 14:00:00,11.78,11.69,11.8,11.595
2022-11-07 15:00:00,11.68,11.61,11.79,11.59
2022-11-08 09:00:00,11.62,10.645,11.62,10.3401
2022-11-08 10:00:00,10.64,10.68,10.96,10.54
2022-11-08 11:00:00,10.68,10.98,11.12,10.67
2022-11-08 12:00:00,10.98,10.68,11.01,10.67
2022-11-08 13:00:00,10.67,10.34,10.8,10.33
2022-11-08 14:00:00,10.33,10.14,10.46,9.94
2022-11-08 15:00:00,10.14,10.38,10.4,10.05
2022-11-09 09:00:00,10.18,9.67,10.37,9.52
2022-11-09 10:00:00,9.675,9.985,10.05,9.67
2022-11-09 11:00:00,9.98,9.92,10.24,9.89
2022-11-09 12:00:00,9.92,9.88,9.97,9.76
2022-11-09 13:00:00,9.87,9.83,9.92,9.765
2022-11-09 14:00:00,9.825,9.62,9.835,9.61
2022-11-09 15:00:00,9.62,9.68,9.78,9.59
2022-11-10 09:00:00,10.0,10.2165,10.725,9.9
2022-11-10 10:00:00,10.19,10.425,10.45,10.06
2022-11-10 11:00:00,10.44,10.61,10.665,10.43
2022-11-10 12:00:00,10.615,10.42,10.71,10.39
2022-11-10 13:00:00,10.43,10.48,10.48,10.23
2022-11-10 14:00:00,10.48,10.61,10.62,10.225
2022-11-10 15:00:00,10.62,10.55,10.78,10.53
2022-11-11 09:00:00,10.35,10.6,11.3821,10.08
2022-11-11 10:00:00,10.625,10.09,10.65,10.09
2022-11-11 11:00:00,10.1,10.37,10.4,10.05
2022-11-11 12:00:00,10.38,10.35,10.51,10.32
2022-11-11 13:00:00,10.35,10.58,10.58,10.26
2022-11-11 14:00:00,10.59,10.61,10.92,10.52
2022-11-11 15:00:00,10.61,10.7,10.71,10.57
2022-11-14 09:00:00,10.65,10.96,11.13,10.65
2022-11-14 10:00:00,10.97,10.62,11.09,10.6
2022-11-14 11:00:00,10.6,10.755,10.815,10.47
2022-11-14 12:00:00,10.755,10.75,10.83,10.68
2022-11-14 13:00:00,10.75,10.82,10.92,10.74
2022-11-14 14:00:00,10.83,10.8,10.83,10.63
2022-11-14 15:00:00,10.81,10.59,10.89,10.59
2022-11-15 09:00:00,10.98,10.78,11.1,10.71
2022-11-15 10:00:00,10.785,10.5828,10.785,10.56
2022-11-15 11:00:00,10.59,10.1987,10.595,10.16
2022-11-15 12:00:00,10.21,10.27,10.39,10.15
2022-11-15 13:00:00,10.26,10.665,10.67,10.24
2022-11-15 14:00:00,10.665,10.9,10.93,10.63
2022-11-15 15:00:00,10.9,10.83,11.01,10.83
2022-11-16 09:00:00,10.8,10.34,10.84,10.125
2022-11-16 10:00:00,10.305,10.13,10.305,10.0479
2022-11-16 11:00:00,10.1519,10.03,10.2,10.01
2022-11-16 12:00:00,10.02,9.97,10.095,9.95
2022-11-16 13:00:00,9.97,9.89,9.979,9.815
2022-11-16 14:00:00,9.88,9.69,9.895,9.674
2022-11-16 15:00:00,9.69,9.52,9.7064,9.47
2022-11-17 09:00:00,9.42,8.93,9.42,8.86
2022-11-17 10:00:00,8.91,8.8,8.99,8.78
2022-11-17 11:00:00,8.8,8.95,8.975,8.785
2022-11-17 12:00:00,8.95,9.065,9.18,8.9
2022-11-17 13:00:00,9.06,8.87,9.06,8.84
2022-11-17 14:00:00,8.87,8.76,8.95,8.715
2022-11-17 15:00:00,8.76,8.77,8.85,8.71
2022-11-18 09:00:00,8.98,8.935,9.045,8.605
2022-11-18 10:00:00,8.95,9.02,9.24,8.9
2022-11-18 11:00:00,9.04,9.02,9.1025,8.95
2022-11-18 12:00:00,9.025,8.965,9.05,8.89
2022-11-18 13:00:00,8.965,8.87,8.965,8.85
2022-11-18 14:00:00,8.87,8.91,8.91,8.77
2022-11-18 15:00:00,8.905,8.84,8.98,8.84
2022-11-21 09:00:00,8.81,8.77,8.95,8.44
2022-11-21 10:00:00,8.73,8.845,8.865,8.64
2022-11-21 11:00:00,8.83,8.73,8.87,8.71
2022-11-21 12:00:00,8.73,8.775,8.79,8.67
2022-11-21 13:00:00,8.78,8.74,8.85,8.71
2022-11-21 14:00:00,8.75,8.73,8.79,8.69
2022-11-21 15:00:00,8.73,8.74,8.82,8.7
2022-11-22 09:00:00,8.74,8.91,9.01,8.29
2022-11-22 10:00:00,8.93,8.9307,8.97,8.82
2022-11-22 11:00:00,8.925,8.87,8.94,8.78
2022-11-22 12:00:00,8.85,8.92,8.94,8.825
2022-11-22 13:00:00,8.93,8.95,9.01,8.92
2022-11-22 14:00:00,8.96,9.05,9.07,8.92
2022-11-22 15:00:00,9.05,9.28,9.33,9.04
2022-11-23 09:00:00,9.31,9.41,9.9,9.3
2022-11-23 10:00:00,9.41,9.25,9.55,9.25
2022-11-23 11:00:00,9.23,9.21,9.34,9.08
2022-11-23 12:00:00,9.21,9.22,9.29,9.17
2022-11-23 13:00:00,9.22,9.33,9.37,9.18
2022-11-23 14:00:00,9.33,9.33,9.37,9.27
2022-11-23 15:00:00,9.325,9.27,9.34,9.26
2022-11-25 09:00:00,9.2,9.03,9.287,9.01
2022-11-25 10:00:00,9.045,9.03,9.045,8.87
2022-11-25 11:00:00,9.0374,9.0975,9.16,8.9534
2022-11-25 12:00:00,9.115,9.09,9.13,9.055
2022-11-28 09:00:00,9.1,9.1689,9.47,9.1
2022-11-28 10:00:00,9.195,9.155,9.29,9.0701
2022-11-28 11:00:00,9.16,9.1636,9.21,9.03
2022-11-28 12:00:00,9.19,9.04,9.19,9.0
2022-11-28 13:00:00,9.035,9.01,9.06,8.9521
2022-11-28 14:00:00,9.02,9.03,9.06,8.97
2022-11-28 15:00:00,9.02,9.03,9.05,8.99
2022-11-29 09:00:00,9.09,9.355,9.46,8.98
2022-11-29 10:00:00,9.355,9.12,9.388,9.06
2022-11-29 11:00:00,9.11,9.265,9.37,9.09
