datetime,open,close,high,low
2022-09-30 10:00:00,7.65,7.63,7.67,7.6
2022-09-30 11:00:00,7.64,7.66,7.67,7.55
2022-09-30 12:00:00,7.67,7.67,7.7,7.65
2022-09-30 13:00:00,7.66,7.58,7.66,7.57
2022-09-30 14:00:00,7.58,7.52,7.59,7.51
2022-09-30 15:00:00,7.53,7.52,7.54,7.5
2022-10-03 09:00:00,7.65,7.66,7.7,7.42
2022-10-03 10:00:00,7.66,7.46,7.68,7.46
2022-10-03 11:00:00,7.46,7.29,7.48,7.28
2022-10-03 12:00:00,7.29,7.25,7.33,7.24
2022-10-03 13:00:00,7.26,7.33,7.33,7.21
2022-10-03 14:00:00,7.32,7.35,7.38,7.29
2022-10-03 15:00:00,7.35,7.4,7.4,7.34
2022-10-04 09:00:00,7.54,7.59,7.77,7.47
2022-10-04 10:00:00,7.58,7.59,7.67,7.5
2022-10-04 11:00:00,7.59,7.55,7.63,7.54
2022-10-04 12:00:00,7.55,7.44,7.61,7.42
2022-10-04 13:00:00,7.44,7.49,7.53,7.44
2022-10-04 14:00:00,7.48,7.46,7.51,7.42
2022-10-04 15:00:00,7.46,7.5,7.51,7.39
2022-10-05 09:00:00,7.37,7.45,7.52,7.37
2022-10-05 10:00:00,7.46,7.61,7.62,7.46
2022-10-05 11:00:00,7.58,7.44,7.61,7.41
2022-10-05 12:00:00,7.43,7.46,7.55,7.43
2022-10-05 13:00:00,7.47,7.39,7.47,7.39
2022-10-05 14:00:00,7.39,7.49,7.5,7.39
2022-10-05 15:00:00,7.49,7.55,7.58,7.49
2022-10-06 09:00:00,7.58,7.57,7.79,7.57
2022-10-06 10:00:00,7.56,7.54,7.59,7.51
2022-10-06 11:00:00,7.55,7.64,7.64,7.53
2022-10-06 12:00:00,7.64,7.69,7.7,7.62
2022-10-06 13:00:00,7.69,7.71,7.73,7.67
2022-10-06 14:00:00,7.71,7.68,7.71,7.63
2022-10-06 15:00:00,7.68,7.64,7.7,7.63
2022-10-07 09:00:00,7.55,7.36,7.55,7.34
2022-10-07 10:00:00,7.35,7.35,7.41,7.33
2022-10-07 11:00:00,7.36,7.34,7.4,7.32
2022-10-07 12:00:00,7.34,7.36,7.38,7.32
2022-10-07 13:00:00,7.36,7.33,7.37,7.32
2022-10-07 14:00:00,7.33,7.34,7.41,7.33
2022-10-07 15:00:00,7.35,7.35,7.36,7.31
2022-10-10 09:00:00,7.31,7.47,7.48,7.07
2022-10-10 10:00:00,7.47,7.51,7.58,7.45
2022-10-10 11:00:00,7.51,7.49,7.53,7.44
2022-10-10 12:00:00,7.5,7.59,7.61,7.49
2022-10-10 13:00:00,7.6,7.67,7.69,7.6
2022-10-10 14:00:00,7.67,7.61,7.71,7.59
2022-10-10 15:00:00,7.61,7.57,7.63,7.56
2022-10-11 09:00:00,7.59,7.41,7.6,7.3
2022-10-11 10:00:00,7.4,7.59,7.6,7.4
