datetime,open,close,high,low
2022-12-26 11:00:00,11.72,11.72,11.74,11.7
2022-12-26 12:00:00,11.73,11.75,11.76,11.72
2022-12-26 13:00:00,11.74,11.67,11.76,11.65
2022-12-26 14:00:00,11.67,11.65,11.68,11.64
2022-12-26 15:00:00,11.65,11.62,11.66,11.59
2022-12-26 16:00:00,11.61,11.63,11.64,11.59
2022-12-26 17:00:00,11.61,11.6,11.62,11.58
2022-12-26 18:00:00,11.58,11.57,11.6,11.57
2022-12-26 19:00:00,11.58,11.63,11.63,11.57
2022-12-26 20:00:00,11.62,11.63,11.64,11.61
2022-12-26 21:00:00,11.62,11.59,11.64,11.59
2022-12-26 22:00:00,11.59,11.61,11.62,11.58
2022-12-26 23:00:00,11.62,11.72,11.74,11.61
2022-12-27 00:00:00,11.73,11.7,11.75,11.66
2022-12-27 01:00:00,11.7,11.68,11.72,11.68
2022-12-27 02:00:00,11.68,11.69,11.71,11.68
2022-12-27 03:00:00,11.69,11.7,11.71,11.68
2022-12-27 04:00:00,11.72,11.69,11.72,11.68
2022-12-27 05:00:00,11.7,11.69,11.72,11.69
2022-12-27 06:00:00,11.7,11.72,11.73,11.69
2022-12-27 07:00:00,11.72,11.71,11.73,11.69
2022-12-27 08:00:00,11.71,11.69,11.72,11.67
2022-12-27 09:00:00,11.69,11.76,11.76,11.69
2022-12-27 10:00:00,11.77,11.76,11.79,11.74
2022-12-27 11:00:00,11.76,11.72,11.76,11.71
2022-12-27 12:00:00,11.73,11.71,11.76,11.69
2022-12-27 13:00:00,11.7,11.73,11.76,11.7
2022-12-27 14:00:00,11.73,11.72,11.76,11.64
2022-12-27 15:00:00,11.69,11.71,11.79,11.68
2022-12-27 16:00:00,11.71,11.69,11.73,11.66
2022-12-27 17:00:00,11.68,11.58,11.69,11.56
2022-12-27 18:00:00,11.57,11.6,11.62,11.57
2022-12-27 19:00:00,11.59,11.62,11.62,11.57
2022-12-27 20:00:00,11.63,11.62,11.64,11.59
2022-12-27 21:00:00,11.62,11.62,11.63,11.6
2022-12-27 22:00:00,11.62,11.62,11.64,11.61
2022-12-27 23:00:00,11.63,11.64,11.66,11.63
2022-12-28 00:00:00,11.65,11.6,11.66,11.58
2022-12-28 01:00:00,11.6,11.55,11.61,11.51
2022-12-28 02:00:00,11.55,11.54,11.56,11.51
2022-12-28 03:00:00,11.52,11.44,11.52,11.36
2022-12-28 04:00:00,11.44,11.43,11.45,11.42
2022-12-28 05:00:00,11.44,11.21,11.44,11.14
2022-12-28 06:00:00,11.2,11.23,11.26,11.19
2022-12-28 07:00:00,11.24,11.31,11.32,11.24
2022-12-28 08:00:00,11.3,11.32,11.33,11.27
2022-12-28 09:00:00,11.32,11.32,11.34,11.27
2022-12-28 10:00:00,11.32,11.33,11.35,11.29
2022-12-28 11:00:00,11.33,11.37,11.41,11.32
2022-12-28 12:00:00,11.36,11.36,11.39,11.35
2022-12-28 13:00:00,11.36,11.36,11.38,11.34
2022-12-28 14:00:00,11.35,11.44,11.47,11.32
2022-12-28 15:00:00,11.44,11.29,11.48,11.29
2022-12-28 16:00:00,11.29,11.29,11.36,11.28
2022-12-28 17:00:00,11.3,11.33,11.35,11.28
2022-12-28 18:00:00,11.34,11.34,11.37,11.31
2022-12-28 19:00:00,11.35,11.3,11.36,11.3
2022-12-28 20:00:00,11.31,11.3,11.32,11.29
2022-12-28 21:00:00,11.3,11.17,11.3,11.11
2022-12-28 22:00:00,11.15,11.17,11.18,11.12
2022-12-28 23:00:00,11.17,11.21,11.22,11.17
2022-12-29 00:00:00,11.21,11.21,11.22,11.13
2022-12-29 01:00:00,11.21,11.12,11.21,11.12
2022-12-29 02:00:00,11.12,11.11,11.13,11.0
2022-12-29 03:00:00,11.12,11.18,11.18,11.12
2022-12-29 04:00:00,11.19,11.2,11.21,11.15
2022-12-29 05:00:00,11.2,11.19,11.21,11.17
2022-12-29 06:00:00,11.18,11.2,11.21,11.18
2022-12-29 07:00:00,11.2,11.19,11.21,11.16
2022-12-29 08:00:00,11.19,11.13,11.2,11.12
2022-12-29 09:00:00,11.11,11.16,11.17,11.06
2022-12-29 10:00:00,11.16,11.21,11.21,11.14
2022-12-29 11:00:00,11.2,11.15,11.21,11.14
2022-12-29 12:00:00,11.15,11.16,11.19,11.13
