datetime,open,close,high,low
2022-09-30 10:00:00,10.44,10.53,10.55,10.42
2022-09-30 11:00:00,10.52,10.47,10.55,10.32
2022-09-30 12:00:00,10.5,10.62,10.66,10.5
2022-09-30 13:00:00,10.62,10.5,10.62,10.4
2022-09-30 14:00:00,10.51,10.43,10.52,10.37
2022-09-30 15:00:00,10.45,10.32,10.45,10.28
2022-10-03 09:00:00,10.54,10.55,10.72,10.27
2022-10-03 10:00:00,10.57,10.4,10.72,10.39
2022-10-03 11:00:00,10.43,10.29,10.43,10.24
2022-10-03 12:00:00,10.3,10.53,10.53,10.3
2022-10-03 13:00:00,10.55,10.57,10.58,10.43
2022-10-03 14:00:00,10.57,10.54,10.67,10.52
2022-10-03 15:00:00,10.54,10.49,10.6,10.44
2022-10-04 09:00:00,10.68,10.6,10.84,10.6
2022-10-04 10:00:00,10.61,10.75,10.81,10.56
2022-10-04 11:00:00,10.81,10.69,10.81,10.62
2022-10-04 12:00:00,10.69,10.49,10.69,10.46
2022-10-04 13:00:00,10.49,10.69,10.74,10.48
2022-10-04 14:00:00,10.7,10.75,10.83,10.68
2022-10-04 15:00:00,10.75,10.89,10.89,10.69
2022-10-05 09:00:00,10.7,10.47,10.84,10.45
2022-10-05 10:00:00,10.45,10.71,10.81,10.45
2022-10-05 11:00:00,10.7,10.73,10.78,10.58
2022-10-05 12:00:00,10.72,10.85,10.87,10.72
2022-10-05 13:00:00,10.83,10.77,10.83,10.73
2022-10-05 14:00:00,10.78,10.8,10.83,10.73
2022-10-05 15:00:00,10.82,10.81,10.91,10.8
2022-10-06 09:00:00,10.71,10.67,10.97,10.62
2022-10-06 10:00:00,10.68,10.73,10.84,10.68
2022-10-06 11:00:00,10.75,10.84,10.85,10.72
2022-10-06 12:00:00,10.84,10.98,10.99,10.84
2022-10-06 13:00:00,10.93,11.03,11.05,10.91
2022-10-06 14:00:00,11.03,11.11,11.15,10.93
2022-10-06 15:00:00,11.12,11.03,11.14,11.01
2022-10-07 09:00:00,10.86,10.92,10.95,10.62
2022-10-07 10:00:00,10.86,10.95,11.03,10.86
2022-10-07 11:00:00,10.96,10.88,10.98,10.86
2022-10-07 12:00:00,10.86,10.8,10.87,10.72
2022-10-07 13:00:00,10.8,10.7,10.83,10.7
2022-10-07 14:00:00,10.69,10.64,10.82,10.64
2022-10-07 15:00:00,10.64,10.51,10.64,10.48
2022-10-10 09:00:00,10.41,10.46,10.5,10.2
2022-10-10 10:00:00,10.46,10.41,10.47,10.37
2022-10-10 11:00:00,10.41,10.3,10.41,10.3
2022-10-10 12:00:00,10.29,10.32,10.32,10.21
2022-10-10 13:00:00,10.33,10.41,10.51,10.33
2022-10-10 14:00:00,10.4,10.34,10.48,10.34
2022-10-10 15:00:00,10.35,10.33,10.43,10.3
2022-10-11 09:00:00,10.32,10.36,10.43,10.17
2022-10-11 10:00:00,10.34,10.84,10.87,10.33
2022-10-11 11:00:00,10.85,11.08,11.1,10.84
2022-10-11 12:00:00,11.07,11.22,11.26,11.04
2022-10-11 13:00:00,11.22,10.97,11.22,10.9
2022-10-11 14:00:00,10.96,10.57,10.98,10.54
2022-10-11 15:00:00,10.58,10.87,10.9,10.58
2022-10-12 09:00:00,11.0,10.49,11.15,10.39
2022-10-12 10:00:00,10.49,10.62,10.62,10.43
2022-10-12 11:00:00,10.62,10.64,10.75,10.59
2022-10-12 12:00:00,10.6,10.64,10.69,10.53
2022-10-12 13:00:00,10.63,10.66,10.66,10.56
2022-10-12 14:00:00,10.66,10.6,10.67,10.57
2022-10-12 15:00:00,10.59,10.57,10.59,10.49
2022-10-13 09:00:00,10.13,10.12,10.42,10.06
2022-10-13 10:00:00,10.1,10.53,10.59,10.1
2022-10-13 11:00:00,10.48,10.39,10.71,10.36
2022-10-13 12:00:00,10.39,10.7,10.72,10.39
2022-10-13 13:00:00,10.72,10.59,10.75,10.59
2022-10-13 14:00:00,10.62,10.79,10.79,10.6
2022-10-13 15:00:00,10.79,10.97,10.99,10.77
2022-10-14 09:00:00,11.0,10.64,11.0999,10.53
2022-10-14 10:00:00,10.63,10.7,10.84,10.62
2022-10-14 11:00:00,10.67,10.77,10.77,10.6
2022-10-14 12:00:00,10.78,10.63,10.8,10.61
2022-10-14 13:00:00,10.63,10.7,10.77,10.63
2022-10-14 14:00:00,10.7,10.7,10.79,10.67
2022-10-14 15:00:00,10.69,10.6,10.73,10.57
2022-10-17 09:00:00,11.07,11.75,11.94,11.07
2022-10-17 10:00:00,11.78,11.67,11.78,11.4301
2022-10-17 11:00:00,11.68,11.95,11.99,11.67
2022-10-17 12:00:00,11.96,12.05,12.27,11.94
2022-10-17 13:00:00,12.05,12.14,12.25,11.94
2022-10-17 14:00:00,12.16,12.28,12.42,12.07
2022-10-17 15:00:00,12.28,12.49,12.61,12.26
2022-10-18 09:00:00,13.02,12.65,13.34,12.65
2022-10-18 10:00:00,12.64,12.68,12.85,12.44
2022-10-18 11:00:00,12.66,12.61,12.73,12.36
2022-10-18 12:00:00,12.6,12.62,12.78,12.58
2022-10-18 13:00:00,12.62,12.51,12.68,12.48
2022-10-18 14:00:00,12.5,12.22,12.52,12.21
2022-10-18 15:00:00,12.23,12.29,12.38,12.22
2022-10-19 09:00:00,12.14,12.19,12.25,11.92
2022-10-19 10:00:00,12.18,11.67,12.2,11.61
2022-10-19 11:00:00,11.7,11.43,11.75,11.4
2022-10-19 12:00:00,11.42,11.35,11.5,11.29
2022-10-19 13:00:00,11.34,11.41,11.46,11.29
2022-10-19 14:00:00,11.44,11.08,11.44,11.08
2022-10-19 15:00:00,11.13,11.2,11.2,11.05
2022-10-20 09:00:00,11.1,11.27,11.47,11.1
2022-10-20 10:00:00,11.28,11.28,11.44,11.25
2022-10-20 11:00:00,11.35,11.31,11.42,11.24
2022-10-20 12:00:00,11.32,11.17,11.32,11.17
2022-10-20 13:00:00,11.13,11.08,11.14,11.03
2022-10-20 14:00:00,11.06,11.12,11.14,11.03
2022-10-20 15:00:00,11.13,11.15,11.16,11.04
2022-10-21 09:00:00,11.22,11.49,11.73,11.08
2022-10-21 10:00:00,11.51,11.79,11.79,11.45
2022-10-21 11:00:00,11.78,11.84,11.92,11.78
2022-10-21 12:00:00,11.83,11.81,12.01,11.79
2022-10-21 13:00:00,11.83,11.85,12.01,11.8
2022-10-21 14:00:00,11.85,11.94,11.95,11.81
2022-10-21 15:00:00,11.95,11.95,12.01,11.9
2022-10-24 09:00:00,12.12,11.6,12.12,11.52
2022-10-24 10:00:00,11.6,11.56,11.78,11.51
2022-10-24 11:00:00,11.54,11.78,11.84,11.52
2022-10-24 12:00:00,11.75,11.58,11.75,11.55
2022-10-24 13:00:00,11.59,11.61,11.61,11.52
