datetime,open,close,high,low
2022-09-30 10:00:00,10.72,10.52,10.75,10.52
2022-09-30 11:00:00,10.5,10.48,10.55,10.35
2022-09-30 12:00:00,10.5,10.5,10.58,10.48
2022-09-30 13:00:00,10.51,10.35,10.51,10.35
2022-09-30 14:00:00,10.37,10.12,10.37,10.11
2022-09-30 15:00:00,10.14,9.94,10.16,9.92
2022-10-03 09:00:00,10.21,10.36,10.57,9.86
2022-10-03 10:00:00,10.4,10.2,10.54,10.13
2022-10-03 11:00:00,10.21,10.0,10.24,9.95
2022-10-03 12:00:00,10.0,10.18,10.2,9.98
2022-10-03 13:00:00,10.21,10.21,10.22,10.03
2022-10-03 14:00:00,10.23,10.36,10.4,10.21
2022-10-03 15:00:00,10.37,10.37,10.45,10.32
2022-10-04 09:00:00,10.74,10.97,11.29,10.74
2022-10-04 10:00:00,10.96,11.08,11.09,10.89
2022-10-04 11:00:00,11.09,11.22,11.22,10.98
2022-10-04 12:00:00,11.2,11.18,11.23,11.11
2022-10-04 13:00:00,11.19,11.33,11.37,11.19
2022-10-04 14:00:00,11.32,11.24,11.36,11.23
2022-10-04 15:00:00,11.24,11.52,11.53,11.2
2022-10-05 09:00:00,11.25,10.81,11.48,10.74
2022-10-05 10:00:00,10.81,11.18,11.23,10.81
2022-10-05 11:00:00,11.16,11.2,11.31,11.03
2022-10-05 12:00:00,11.19,11.27,11.34,11.17
2022-10-05 13:00:00,11.25,11.19,11.26,11.16
2022-10-05 14:00:00,11.2,11.31,11.32,11.17
2022-10-05 15:00:00,11.32,11.3,11.46,11.3
2022-10-06 09:00:00,11.14,11.02,11.3,11.01
2022-10-06 10:00:00,10.99,11.04,11.14,10.98
2022-10-06 11:00:00,11.0,11.1,11.1,10.94
2022-10-06 12:00:00,11.1,11.03,11.14,11.01
2022-10-06 13:00:00,11.02,11.03,11.04,10.98
2022-10-06 14:00:00,11.02,11.0,11.03,10.91
2022-10-06 15:00:00,10.99,10.85,11.01,10.82
2022-10-07 09:00:00,10.53,10.41,10.62,10.33
2022-10-07 10:00:00,10.4,10.41,10.51,10.34
2022-10-07 11:00:00,10.44,10.4,10.46,10.4
2022-10-07 12:00:00,10.4,10.36,10.41,10.31
2022-10-07 13:00:00,10.35,10.37,10.39,10.3
2022-10-07 14:00:00,10.36,10.42,10.51,10.36
2022-10-07 15:00:00,10.42,10.41,10.51,10.36
2022-10-10 09:00:00,10.41,10.13,10.41,10.01
2022-10-10 10:00:00,10.13,10.12,10.16,10.01
2022-10-10 11:00:00,10.12,10.09,10.18,10.09
2022-10-10 12:00:00,10.08,10.15,10.16,10.0
2022-10-10 13:00:00,10.16,10.39,10.49,10.16
2022-10-10 14:00:00,10.37,10.41,10.51,10.34
2022-10-10 15:00:00,10.41,10.38,10.52,10.35
2022-10-11 09:00:00,10.49,10.01,10.65,9.96
2022-10-11 10:00:00,10.01,10.42,10.42,9.97
2022-10-11 11:00:00,10.43,10.77,10.79,10.43
2022-10-11 12:00:00,10.79,10.77,10.86,10.7
2022-10-11 13:00:00,10.74,10.59,10.8,10.53
2022-10-11 14:00:00,10.61,10.28,10.63,10.22
2022-10-11 15:00:00,10.28,10.59,10.61,10.28
2022-10-12 09:00:00,10.66,10.61,10.85,10.44
2022-10-12 10:00:00,10.59,10.57,10.63,10.5
2022-10-12 11:00:00,10.61,10.73,10.87,10.57
2022-10-12 12:00:00,10.73,10.97,11.03,10.73
2022-10-12 13:00:00,10.94,11.09,11.09,10.92
2022-10-12 14:00:00,11.1,11.49,11.53,11.04
2022-10-12 15:00:00,11.49,11.47,11.52,11.36
2022-10-13 09:00:00,11.01,10.47,11.02,10.47
2022-10-13 10:00:00,10.47,10.54,10.7,10.3
2022-10-13 11:00:00,10.55,10.59,10.81,10.55
2022-10-13 12:00:00,10.54,10.78,10.8,10.54
2022-10-13 13:00:00,10.79,10.59,10.84,10.58
2022-10-13 14:00:00,10.61,10.86,10.91,10.58
2022-10-13 15:00:00,10.86,10.62,10.86,10.45
2022-10-14 09:00:00,11.07,10.16,11.07,10.04
2022-10-14 10:00:00,10.14,10.02,10.31,10.01
2022-10-14 11:00:00,10.01,10.06,10.07,9.82
2022-10-14 12:00:00,10.06,9.95,10.13,9.95
2022-10-14 13:00:00,9.95,9.84,10.04,9.84
2022-10-14 14:00:00,9.83,9.97,10.12,9.83
2022-10-14 15:00:00,9.96,9.87,10.01,9.865
2022-10-17 09:00:00,10.08,10.16,10.46,9.99
2022-10-17 10:00:00,10.2,10.36,10.41,10.06
2022-10-17 11:00:00,10.37,10.52,10.53,10.32
2022-10-17 12:00:00,10.5,10.45,10.68,10.43
2022-10-17 13:00:00,10.44,10.6,10.63,10.4
