datetime,open,close,high,low
2022-09-30 10:00:00,151.74001,151.78,151.8,151.71001
2022-09-30 11:00:00,151.77,151.61,151.78,151.59
2022-09-30 12:00:00,151.61,151.57001,151.66,151.53999
2022-09-30 13:00:00,151.56,151.59,151.60001,151.48
2022-09-30 14:00:00,151.60001,151.85001,151.88,151.35001
2022-09-30 15:00:00,151.78,151.17,151.78,151.14
2022-10-03 09:00:00,151.38,151.63,152.0,150.78999
2022-10-03 10:00:00,151.64,151.81,151.91,151.64
2022-10-03 11:00:00,151.81,151.8,151.84,151.77
2022-10-03 12:00:00,151.81,151.91,151.98,151.67999
2022-10-03 13:00:00,151.91,151.89999,151.95,151.72
2022-10-03 14:00:00,151.91,151.86,151.97,151.8
2022-10-03 15:00:00,151.87,151.8,151.97,151.8
2022-10-04 09:00:00,7.25,7.95,8.47,7.11
2022-10-04 10:00:00,7.97,7.79,7.97,7.53
2022-10-04 11:00:00,7.77,7.66,8.18,7.45
2022-10-04 12:00:00,7.66,7.9,8.0,7.64
2022-10-04 13:00:00,7.9,7.94,8.04,7.49
2022-10-04 14:00:00,7.93,8.0,8.09,7.69
2022-10-04 15:00:00,8.0,8.3,8.34,7.83
2022-10-05 09:00:00,8.65,9.0,9.02,8.26
2022-10-05 10:00:00,9.05,10.83,11.28,8.94
2022-10-05 11:00:00,10.8,10.52,10.9,10.05
2022-10-05 12:00:00,10.47,10.7,10.95,10.41
2022-10-05 13:00:00,10.69,11.01,12.25,10.64
2022-10-05 14:00:00,11.16,11.64,11.89,10.74
2022-10-05 15:00:00,11.66,12.25,12.54,11.66
2022-10-06 09:00:00,12.51,12.2,12.51,11.16
2022-10-06 10:00:00,12.21,13.4,13.49,11.99
2022-10-06 11:00:00,13.35,13.28,13.89,13.16
2022-10-06 12:00:00,13.27,12.54,14.3,12.51
2022-10-06 13:00:00,12.57,12.77,12.89,12.3
2022-10-06 14:00:00,12.77,12.95,13.66,12.72
2022-10-06 15:00:00,12.99,13.18,13.32,12.82
2022-10-07 09:00:00,13.36,13.22,13.54,12.82
2022-10-07 10:00:00,13.21,13.01,13.46,12.86
2022-10-07 11:00:00,13.06,13.07,13.25,13.01
2022-10-07 12:00:00,13.06,12.95,13.2,12.78
2022-10-07 13:00:00,12.96,13.06,13.13,12.95
2022-10-07 14:00:00,13.06,13.0,13.08,12.75
2022-10-07 15:00:00,12.99,12.89,13.0,12.81
2022-10-10 09:00:00,12.5,12.02,12.5,11.29
2022-10-10 10:00:00,11.94,11.8,12.09,11.61
2022-10-10 11:00:00,11.8,11.48,11.89,11.43
2022-10-10 12:00:00,11.45,10.75,11.52,10.75
2022-10-10 13:00:00,10.73,10.62,11.02,10.62
2022-10-10 14:00:00,10.65,11.04,11.1,10.38
2022-10-10 15:00:00,11.0,10.94,11.11,10.93
2022-10-11 09:00:00,11.17,11.09,11.65,11.05
2022-10-11 10:00:00,11.12,11.4,11.45,11.0
2022-10-11 11:00:00,11.42,11.91,11.97,11.42
2022-10-11 12:00:00,11.95,11.88,12.0,11.83
2022-10-11 13:00:00,11.9,11.92,11.98,11.84
2022-10-11 14:00:00,11.96,11.87,11.97,11.72
2022-10-11 15:00:00,11.86,11.79,11.86,11.71
2022-10-12 09:00:00,12.14,12.16,12.66,11.85
2022-10-12 10:00:00,12.15,11.56,12.2,11.52
2022-10-12 11:00:00,11.58,11.82,11.91,11.52
2022-10-12 12:00:00,11.82,11.77,11.99,11.73
2022-10-12 13:00:00,11.76,11.5,11.76,11.41
2022-10-12 14:00:00,11.51,11.39,11.64,11.33
2022-10-12 15:00:00,11.36,11.09,11.36,10.84
2022-10-13 09:00:00,10.86,11.01,11.45,10.86
2022-10-13 10:00:00,11.0,11.08,11.21,10.9
2022-10-13 11:00:00,11.08,11.08,11.25,10.99
2022-10-13 12:00:00,11.1,11.23,11.23,11.0
2022-10-13 13:00:00,11.25,11.26,11.4,11.24
2022-10-13 14:00:00,11.18,11.01,11.19,10.99
2022-10-13 15:00:00,11.03,11.0,11.03,10.94
2022-10-14 09:00:00,10.92,10.9,11.21,10.87
2022-10-14 10:00:00,10.93,10.88,11.07,10.81
2022-10-14 11:00:00,10.88,10.92,10.98,10.86
2022-10-14 12:00:00,10.89,10.84,10.95,10.84
2022-10-14 13:00:00,10.85,10.83,10.94,10.75
2022-10-14 14:00:00,10.85,10.7,10.86,10.59
2022-10-14 15:00:00,10.68,10.88,11.05,10.66
2022-10-17 09:00:00,11.26,10.79,11.26,10.78
2022-10-17 10:00:00,10.76,10.24,10.76,10.11
2022-10-17 11:00:00,10.28,10.43,10.45,10.26
2022-10-17 12:00:00,10.45,10.51,10.61,10.43
2022-10-17 13:00:00,10.49,10.32,10.49,10.27
2022-10-17 14:00:00,10.34,10.45,10.49,10.3
2022-10-17 15:00:00,10.45,10.35,10.46,10.3
2022-10-18 09:00:00,10.35,10.2994,10.69,10.21
2022-10-18 10:00:00,10.29,10.05,10.29,10.02
2022-10-18 11:00:00,10.058,10.1,10.13,9.975
2022-10-18 12:00:00,10.12,10.32,10.34,10.105
2022-10-18 13:00:00,10.401,10.73,10.75,10.3801
2022-10-18 14:00:00,10.7572,10.535,10.78,10.5
2022-10-18 15:00:00,10.52,10.49,10.61,10.44
2022-10-19 09:00:00,9.69,10.78,10.84,9.45
