datetime,open,close,high,low
2022-09-29 10:00:00,14.4,14.63,14.63,14.33
2022-09-29 11:00:00,14.64,14.71,14.87,14.64
2022-09-29 12:00:00,14.71,14.71,14.79,14.65
2022-09-29 13:00:00,14.69,14.68,14.71,14.61
2022-09-29 14:00:00,14.68,14.79,14.82,14.68
2022-09-29 15:00:00,14.78,14.99,15.0,14.78
2022-09-30 09:00:00,14.96,15.31,15.31,14.84
2022-09-30 10:00:00,15.31,15.52,15.68,15.27
2022-09-30 11:00:00,15.54,15.27,15.58,15.27
2022-09-30 12:00:00,15.29,15.35,15.38,15.24
2022-09-30 13:00:00,15.34,15.13,15.34,15.12
2022-09-30 14:00:00,15.15,14.84,15.15,14.79
2022-09-30 15:00:00,14.86,14.8,14.87,14.71
2022-10-03 09:00:00,14.95,15.17,15.39,14.77
2022-10-03 10:00:00,15.17,15.19,15.3,15.05
2022-10-03 11:00:00,15.18,14.94,15.18,14.82
2022-10-03 12:00:00,14.94,15.16,15.18,14.94
2022-10-03 13:00:00,15.18,15.27,15.29,15.1
2022-10-03 14:00:00,15.28,15.39,15.47,15.26
2022-10-03 15:00:00,15.39,15.32,15.41,15.19
2022-10-04 09:00:00,15.9,16.62,16.64,15.86
2022-10-04 10:00:00,16.58,16.7,16.95,16.58
2022-10-04 11:00:00,16.69,16.78,16.81,16.6
2022-10-04 12:00:00,16.8,16.52,16.8,16.46
2022-10-04 13:00:00,16.52,16.57,16.66,16.48
2022-10-04 14:00:00,16.55,16.45,16.61,16.41
2022-10-04 15:00:00,16.44,16.58,16.6,16.44
2022-10-05 09:00:00,16.0,15.94,16.4,15.93
2022-10-05 10:00:00,15.96,16.14,16.2,15.93
2022-10-05 11:00:00,16.15,16.25,16.39,16.12
2022-10-05 12:00:00,16.24,16.34,16.38,16.21
2022-10-05 13:00:00,16.35,16.28,16.44,16.25
2022-10-05 14:00:00,16.28,16.39,16.49,16.28
2022-10-05 15:00:00,16.41,16.36,16.44,16.31
2022-10-06 09:00:00,16.29,16.14,16.83,16.14
2022-10-06 10:00:00,16.12,16.27,16.39,16.11
2022-10-06 11:00:00,16.27,16.35,16.36,16.12
2022-10-06 12:00:00,16.33,16.36,16.43,16.3
2022-10-06 13:00:00,16.36,16.24,16.41,16.24
2022-10-06 14:00:00,16.24,16.22,16.25,16.04
2022-10-06 15:00:00,16.22,16.18,16.23,16.16
2022-10-07 09:00:00,15.65,15.31,15.65,15.11
2022-10-07 10:00:00,15.29,15.06,15.3,15.02
2022-10-07 11:00:00,15.05,14.8,15.05,14.77
2022-10-07 12:00:00,14.8,14.72,14.8,14.62
2022-10-07 13:00:00,14.71,14.56,14.71,14.52
2022-10-07 14:00:00,14.55,14.74,14.98,14.55
2022-10-07 15:00:00,14.74,14.9,14.92,14.7
2022-10-10 09:00:00,14.87,14.19,14.87,14.18
2022-10-10 10:00:00,14.21,13.61,14.21,13.56
2022-10-10 11:00:00,13.62,13.59,13.84,13.57
2022-10-10 12:00:00,13.6,13.54,13.64,13.52
2022-10-10 13:00:00,13.54,13.43,13.75,13.41
2022-10-10 14:00:00,13.41,13.33,13.46,13.3
2022-10-10 15:00:00,13.32,13.65,13.66,13.22
2022-10-11 09:00:00,13.56,12.77,13.58,12.61
2022-10-11 10:00:00,12.75,12.97,12.98,12.68
2022-10-11 11:00:00,12.96,12.89,13.09,12.78
2022-10-11 12:00:00,12.88,12.93,13.07,12.84
2022-10-11 13:00:00,12.94,12.86,12.95,12.77
2022-10-11 14:00:00,12.91,12.79,12.95,12.62
2022-10-11 15:00:00,12.79,12.9,12.94,12.78
2022-10-12 09:00:00,12.96,12.53,12.98,12.39
2022-10-12 10:00:00,12.54,12.96,12.97,12.46
2022-10-12 11:00:00,12.99,13.22,13.25,12.9
2022-10-12 12:00:00,13.21,13.16,13.26,13.1
2022-10-12 13:00:00,13.14,13.29,13.31,13.08
2022-10-12 14:00:00,13.3,13.11,13.32,13.06
2022-10-12 15:00:00,13.11,13.15,13.25,13.1
2022-10-13 09:00:00,12.5,12.02,12.53,12.02
2022-10-13 10:00:00,12.01,12.88,13.15,12.01
2022-10-13 11:00:00,12.91,12.81,13.18,12.77
2022-10-13 12:00:00,12.82,13.18,13.18,12.73
2022-10-13 13:00:00,13.22,13.06,13.31,13.04
2022-10-13 14:00:00,13.06,13.1,13.28,13.05
2022-10-13 15:00:00,13.1,13.01,13.15,12.99
2022-10-14 09:00:00,13.39,12.54,13.47,12.54
2022-10-14 10:00:00,12.53,12.71,12.71,12.47
2022-10-14 11:00:00,12.7,12.68,12.79,12.46
2022-10-14 12:00:00,12.65,12.52,12.72,12.48
2022-10-14 13:00:00,12.55,12.53,12.72,12.53
2022-10-14 14:00:00,12.53,12.48,12.55,12.41
2022-10-14 15:00:00,12.46,12.51,12.57,12.44
2022-10-17 09:00:00,13.09,13.61,13.69,13.09
2022-10-17 10:00:00,13.63,13.57,13.76,13.47
2022-10-17 11:00:00,13.58,13.61,13.69,13.52
2022-10-17 12:00:00,13.61,13.34,13.63,13.34
2022-10-17 13:00:00,13.33,13.41,13.46,13.32
2022-10-17 14:00:00,13.39,13.26,13.39,13.23
2022-10-17 15:00:00,13.27,13.32,13.38,13.25
2022-10-18 09:00:00,13.87,13.91,14.26,13.87
2022-10-18 10:00:00,13.91,13.63,14.01,13.6
2022-10-18 11:00:00,13.6,13.66,13.71,13.44
2022-10-18 12:00:00,13.64,13.63,13.83,13.54
2022-10-18 13:00:00,13.65,13.63,13.72,13.59
2022-10-18 14:00:00,13.64,13.58,13.64,13.53
2022-10-18 15:00:00,13.6,13.72,13.73,13.6
2022-10-19 09:00:00,13.39,13.3,13.62,13.09
2022-10-19 10:00:00,13.31,13.03,13.32,13.0
2022-10-19 11:00:00,13.03,12.87,13.13,12.87
2022-10-19 12:00:00,12.86,12.83,12.97,12.75
2022-10-19 13:00:00,12.8,12.91,12.92,12.75
2022-10-19 14:00:00,12.93,12.81,12.93,12.77
2022-10-19 15:00:00,12.81,12.92,12.95,12.79
2022-10-20 09:00:00,12.95,13.55,13.63,12.95
2022-10-20 10:00:00,13.56,13.65,13.74,13.5
2022-10-20 11:00:00,13.64,13.39,13.78,13.31
2022-10-20 12:00:00,13.35,13.36,13.41,13.24
2022-10-20 13:00:00,13.34,13.13,13.35,13.09
2022-10-20 14:00:00,13.14,13.21,13.32,13.06
2022-10-20 15:00:00,13.19,13.29,13.32,13.12
2022-10-21 09:00:00,13.2,13.21,13.31,12.7
2022-10-21 10:00:00,13.2,13.02,13.2,12.74
2022-10-21 11:00:00,13.07,13.28,13.33,13.01
2022-10-21 12:00:00,13.22,13.26,13.41,13.22
2022-10-21 13:00:00,13.26,13.31,13.36,13.26
