datetime,open,close,high,low
2022-09-28 14:00:00,6.39,6.42,6.42,6.37
2022-09-28 15:00:00,6.42,6.37,6.47,6.37
2022-09-29 09:00:00,6.1,5.88,6.14,5.88
2022-09-29 10:00:00,5.91,5.88,5.94,5.86
2022-09-29 11:00:00,5.87,5.87,5.96,5.87
2022-09-29 12:00:00,5.85,5.83,5.87,5.82
2022-09-29 13:00:00,5.82,5.76,5.83,5.74
2022-09-29 14:00:00,5.76,5.82,5.87,5.76
2022-09-29 15:00:00,5.83,5.86,5.87,5.82
2022-09-30 09:00:00,5.72,5.93,5.93,5.7137
2022-09-30 10:00:00,5.93,5.98,6.01,5.93
2022-09-30 11:00:00,5.98,5.96,5.98,5.95
2022-09-30 12:00:00,5.95,5.96,5.97,5.93
2022-09-30 13:00:00,5.96,5.95,5.96,5.91
2022-09-30 14:00:00,5.95,5.95,5.96,5.88
2022-09-30 15:00:00,5.96,6.28,6.28,5.96
2022-10-03 09:00:00,6.3,6.2,6.3,6.0
2022-10-03 10:00:00,6.19,6.14,6.19,6.12
2022-10-03 11:00:00,6.13,6.14,6.17,6.11
2022-10-03 12:00:00,6.14,6.17,6.17,6.12
2022-10-03 13:00:00,6.17,6.11,6.2,6.1
2022-10-03 14:00:00,6.12,6.1,6.18,6.09
2022-10-03 15:00:00,6.09,6.03,6.1,6.03
2022-10-04 09:00:00,6.28,6.34,6.34,6.16
2022-10-04 10:00:00,6.33,6.49,6.5,6.3
2022-10-04 11:00:00,6.5,6.46,6.5,6.45
2022-10-04 12:00:00,6.47,6.41,6.48,6.36
2022-10-04 13:00:00,6.41,6.43,6.45,6.39
2022-10-04 14:00:00,6.44,6.46,6.46,6.42
2022-10-04 15:00:00,6.46,6.46,6.47,6.41
2022-10-05 09:00:00,6.4,6.34,6.49,6.33
2022-10-05 10:00:00,6.33,6.34,6.36,6.31
2022-10-05 11:00:00,6.34,6.39,6.42,6.33
2022-10-05 12:00:00,6.4,6.44,6.46,6.38
2022-10-05 13:00:00,6.43,6.43,6.44,6.4
2022-10-05 14:00:00,6.44,6.53,6.53,6.44
2022-10-05 15:00:00,6.52,6.49,6.53,6.48
2022-10-06 09:00:00,6.45,6.27,6.52,6.27
2022-10-06 10:00:00,6.27,6.25,6.28,6.2
2022-10-06 11:00:00,6.22,6.26,6.32,6.21
2022-10-06 12:00:00,6.26,6.23,6.29,6.23
2022-10-06 13:00:00,6.25,6.27,6.33,6.25
2022-10-06 14:00:00,6.29,6.29,6.29,6.24
2022-10-06 15:00:00,6.28,6.26,6.28,6.23
2022-10-07 09:00:00,6.12,5.96,6.12,5.93
2022-10-07 10:00:00,5.96,5.93,6.0,5.93
2022-10-07 11:00:00,5.93,5.86,5.96,5.86
2022-10-07 12:00:00,5.87,5.9,5.91,5.85
2022-10-07 13:00:00,5.9,5.89,5.91,5.88
2022-10-07 14:00:00,5.88,5.92,5.95,5.88
2022-10-07 15:00:00,5.91,5.91,5.92,5.9
2022-10-10 09:00:00,5.77,5.76,5.84,5.61
2022-10-10 10:00:00,5.74,5.56,5.75,5.55
2022-10-10 11:00:00,5.56,5.5,5.58,5.5
2022-10-10 12:00:00,5.51,5.51,5.56,5.46
2022-10-10 13:00:00,5.51,5.51,5.59,5.51
2022-10-10 14:00:00,5.51,5.57,5.6,5.5
2022-10-10 15:00:00,5.57,5.54,5.6,5.53
2022-10-11 09:00:00,5.45,5.38,5.6,5.22
2022-10-11 10:00:00,5.39,5.33,5.42,5.29
2022-10-11 11:00:00,5.34,5.39,5.49,5.32
2022-10-11 12:00:00,5.39,5.29,5.42,5.29
2022-10-11 13:00:00,5.28,5.25,5.29,5.23
2022-10-11 14:00:00,5.24,5.2,5.27,5.18
2022-10-11 15:00:00,5.19,5.26,5.27,5.19
2022-10-12 09:00:00,5.19,5.15,5.24,5.01
2022-10-12 10:00:00,5.16,5.21,5.21,5.14
2022-10-12 11:00:00,5.23,5.24,5.26,5.21
2022-10-12 12:00:00,5.23,5.26,5.26,5.21
2022-10-12 13:00:00,5.27,5.31,5.31,5.25
2022-10-12 14:00:00,5.31,5.36,5.36,5.31
2022-10-12 15:00:00,5.36,5.36,5.38,5.32
2022-10-13 09:00:00,5.01,5.08,5.15,5.01
2022-10-13 10:00:00,5.08,5.32,5.34,5.08
2022-10-13 11:00:00,5.34,5.24,5.42,5.24
2022-10-13 12:00:00,5.24,5.33,5.33,5.24
2022-10-13 13:00:00,5.33,5.32,5.34,5.29
2022-10-13 14:00:00,5.33,5.38,5.4,5.32
2022-10-13 15:00:00,5.37,5.36,5.38,5.36
2022-10-14 09:00:00,5.43,5.25,5.49,5.21
2022-10-14 10:00:00,5.27,5.23,5.29,5.195
2022-10-14 11:00:00,5.242,5.25,5.27,5.21
2022-10-14 12:00:00,5.23,5.23,5.3,5.23
2022-10-14 13:00:00,5.24,5.19,5.27,5.19
2022-10-14 14:00:00,5.19,5.21,5.23,5.18
2022-10-14 15:00:00,5.21,5.2,5.21,5.18
2022-10-17 09:00:00,5.25,5.38,5.46,5.25
2022-10-17 10:00:00,5.37,5.42,5.5,5.36
2022-10-17 11:00:00,5.43,5.43,5.49,5.41
2022-10-17 12:00:00,5.43,5.46,5.49,5.42
2022-10-17 13:00:00,5.46,5.39,5.46,5.38
2022-10-17 14:00:00,5.39,5.39,5.41,5.36
