datetime,open,close,high,low
2022-12-26 11:00:00,31.68,31.68,31.7,31.62
2022-12-26 12:00:00,31.7,31.8,31.82,31.69
2022-12-26 13:00:00,31.8,31.7,31.83,31.7
2022-12-26 14:00:00,31.71,31.91,31.92,31.71
2022-12-26 15:00:00,31.91,31.82,31.99,31.82
2022-12-26 16:00:00,31.81,31.92,31.99,31.77
2022-12-26 17:00:00,31.92,31.98,32.02,31.86
2022-12-26 18:00:00,31.95,31.96,32.12,31.94
2022-12-26 19:00:00,31.96,31.95,32.0,31.86
2022-12-26 20:00:00,31.97,32.04,32.06,31.97
2022-12-26 21:00:00,32.01,31.88,32.07,31.88
2022-12-26 22:00:00,31.87,32.0,32.08,31.87
2022-12-26 23:00:00,32.05,32.29,32.37,31.93
2022-12-27 00:00:00,32.3,32.15,32.48,32.12
2022-12-27 01:00:00,32.14,32.1,32.25,32.08
2022-12-27 02:00:00,32.14,32.27,32.28,32.14
2022-12-27 03:00:00,32.27,32.38,32.38,32.17
2022-12-27 04:00:00,32.38,32.45,32.46,32.37
2022-12-27 05:00:00,32.43,32.49,32.49,32.4
2022-12-27 06:00:00,32.57,32.62,32.64,32.5
2022-12-27 07:00:00,32.61,32.73,32.75,32.6
2022-12-27 08:00:00,32.73,32.75,32.86,32.63
2022-12-27 09:00:00,32.69,33.31,33.31,32.69
2022-12-27 10:00:00,33.26,33.32,33.41,33.23
2022-12-27 11:00:00,33.32,33.16,33.44,33.14
2022-12-27 12:00:00,33.15,33.09,33.17,33.0
2022-12-27 13:00:00,33.09,32.83,33.16,32.83
2022-12-27 14:00:00,32.83,32.75,33.02,32.58
2022-12-27 15:00:00,32.7,32.74,33.03,32.59
2022-12-27 16:00:00,32.74,32.59,32.87,32.56
2022-12-27 17:00:00,32.57,32.48,32.7,32.28
2022-12-27 18:00:00,32.5,32.56,32.65,32.43
2022-12-27 19:00:00,32.52,32.81,32.81,32.44
2022-12-27 20:00:00,32.77,32.67,33.18,32.61
2022-12-27 21:00:00,32.65,32.65,32.71,32.57
2022-12-27 22:00:00,32.66,32.59,32.66,32.57
2022-12-27 23:00:00,32.62,32.74,32.83,32.62
2022-12-28 00:00:00,32.79,32.72,32.94,32.64
2022-12-28 01:00:00,32.74,32.72,32.85,32.41
2022-12-28 02:00:00,32.75,32.81,32.87,32.62
2022-12-28 03:00:00,32.83,32.59,32.83,32.12
2022-12-28 04:00:00,32.63,32.54,32.79,32.54
2022-12-28 05:00:00,32.54,32.06,32.83,31.91
2022-12-28 06:00:00,31.98,32.01,32.18,31.86
2022-12-28 07:00:00,32.01,32.25,32.31,32.01
2022-12-28 08:00:00,32.24,32.14,32.36,32.14
2022-12-28 09:00:00,32.12,32.17,32.24,31.93
2022-12-28 10:00:00,32.17,32.21,32.27,32.16
2022-12-28 11:00:00,32.21,32.42,32.44,32.21
2022-12-28 12:00:00,32.47,32.57,32.74,32.43
2022-12-28 13:00:00,32.57,32.65,32.69,32.54
2022-12-28 14:00:00,32.65,32.81,33.12,32.45
2022-12-28 15:00:00,32.8,32.66,32.98,32.59
2022-12-28 16:00:00,32.61,32.74,32.82,32.57
2022-12-28 17:00:00,32.72,32.74,32.85,32.57
2022-12-28 18:00:00,32.74,32.69,32.82,32.68
2022-12-28 19:00:00,32.71,32.58,32.75,32.57
2022-12-28 20:00:00,32.66,32.66,32.71,32.6
2022-12-28 21:00:00,32.66,32.0,32.66,32.0
2022-12-28 22:00:00,31.96,31.92,31.98,31.85
2022-12-28 23:00:00,31.85,31.97,32.04,31.84
2022-12-29 00:00:00,31.97,31.89,32.04,31.65
