datetime,open,close,high,low
2022-09-29 10:00:00,8.28,8.35,8.38,8.24
2022-09-29 11:00:00,8.35,8.44,8.49,8.35
2022-09-29 12:00:00,8.44,8.39,8.45,8.34
2022-09-29 13:00:00,8.38,8.37,8.38,8.3
2022-09-29 14:00:00,8.36,8.36,8.37,8.32
2022-09-29 15:00:00,8.36,8.42,8.45,8.36
2022-09-30 09:00:00,8.39,8.38,8.55,8.29
2022-09-30 10:00:00,8.39,8.41,8.46,8.33
2022-09-30 11:00:00,8.4,8.24,8.41,8.22
2022-09-30 12:00:00,8.24,8.29,8.38,8.24
2022-09-30 13:00:00,8.31,8.25,8.31,8.23
2022-09-30 14:00:00,8.26,8.16,8.26,8.07
2022-09-30 15:00:00,8.16,7.98,8.16,7.98
2022-10-03 09:00:00,8.17,8.56,8.62,8.15
2022-10-03 10:00:00,8.58,8.68,8.69,8.55
2022-10-03 11:00:00,8.66,8.47,8.68,8.42
2022-10-03 12:00:00,8.46,8.52,8.55,8.4
2022-10-03 13:00:00,8.53,8.57,8.57,8.49
2022-10-03 14:00:00,8.56,8.59,8.62,8.54
2022-10-03 15:00:00,8.59,8.53,8.59,8.51
2022-10-04 09:00:00,8.91,8.71,8.99,8.71
2022-10-04 10:00:00,8.7,8.85,8.93,8.69
2022-10-04 11:00:00,8.86,8.91,8.95,8.83
2022-10-04 12:00:00,8.92,8.8,8.93,8.77
2022-10-04 13:00:00,8.81,8.86,8.89,8.8
2022-10-04 14:00:00,8.86,8.88,8.92,8.85
2022-10-04 15:00:00,8.88,8.92,8.94,8.87
2022-10-05 09:00:00,8.64,8.72,8.88,8.64
2022-10-05 10:00:00,8.7,8.79,8.79,8.65
2022-10-05 11:00:00,8.79,8.95,8.99,8.78
2022-10-05 12:00:00,8.95,9.04,9.07,8.9
2022-10-05 13:00:00,9.04,9.07,9.09,9.01
2022-10-05 14:00:00,9.07,9.12,9.14,9.06
2022-10-05 15:00:00,9.13,9.16,9.19,9.13
2022-10-06 09:00:00,9.15,8.96,9.34,8.96
2022-10-06 10:00:00,8.94,9.04,9.07,8.93
2022-10-06 11:00:00,9.04,9.03,9.06,8.96
2022-10-06 12:00:00,9.03,9.08,9.09,9.01
2022-10-06 13:00:00,9.08,9.05,9.11,9.05
2022-10-06 14:00:00,9.05,9.04,9.05,8.97
2022-10-06 15:00:00,9.04,9.11,9.11,9.03
2022-10-07 09:00:00,8.86,8.72,8.88,8.66
2022-10-07 10:00:00,8.72,8.61,8.75,8.61
2022-10-07 11:00:00,8.61,8.52,8.61,8.52
2022-10-07 12:00:00,8.5,8.47,8.5,8.43
2022-10-07 13:00:00,8.46,8.39,8.49,8.39
2022-10-07 14:00:00,8.39,8.42,8.48,8.39
2022-10-07 15:00:00,8.42,8.44,8.48,8.4
2022-10-10 09:00:00,8.52,8.43,8.56,8.31
2022-10-10 10:00:00,8.43,8.34,8.45,8.27
2022-10-10 11:00:00,8.35,8.27,8.39,8.25
2022-10-10 12:00:00,8.27,8.28,8.29,8.23
2022-10-10 13:00:00,8.28,8.35,8.45,8.27
2022-10-10 14:00:00,8.34,8.37,8.42,8.34
2022-10-10 15:00:00,8.36,8.33,8.43,8.33
2022-10-11 09:00:00,8.33,8.04,8.33,7.95
2022-10-11 10:00:00,8.02,8.2,8.2,8.0
2022-10-11 11:00:00,8.21,8.27,8.3,8.2
2022-10-11 12:00:00,8.28,8.2,8.34,8.2
2022-10-11 13:00:00,8.21,8.2,8.23,8.17
2022-10-11 14:00:00,8.2,8.07,8.23,8.05
2022-10-11 15:00:00,8.07,8.13,8.18,8.05
2022-10-12 09:00:00,8.15,8.04,8.22,7.99
2022-10-12 10:00:00,8.04,8.04,8.06,7.95
2022-10-12 11:00:00,8.04,8.02,8.1,8.01
2022-10-12 12:00:00,8.02,8.04,8.06,8.01
2022-10-12 13:00:00,8.04,8.1,8.1,8.01
2022-10-12 14:00:00,8.11,8.09,8.13,8.06
2022-10-12 15:00:00,8.09,8.04,8.11,8.04
2022-10-13 09:00:00,7.75,7.84,7.99,7.61
2022-10-13 10:00:00,7.85,8.12,8.22,7.85
2022-10-13 11:00:00,8.14,8.08,8.26,8.06
2022-10-13 12:00:00,8.07,8.29,8.29,8.07
2022-10-13 13:00:00,8.29,8.19,8.32,8.19
2022-10-13 14:00:00,8.2,8.25,8.3,8.2
2022-10-13 15:00:00,8.24,8.3,8.33,8.22
2022-10-14 09:00:00,8.37,8.08,8.44,8.04
2022-10-14 10:00:00,8.09,8.1,8.15,8.01
2022-10-14 11:00:00,8.09,8.04,8.09,7.97
2022-10-14 12:00:00,8.05,8.04,8.11,8.02
2022-10-14 13:00:00,8.035,8.02,8.07,7.99
2022-10-14 14:00:00,8.01,8.01,8.05,7.99
2022-10-14 15:00:00,8.01,7.97,8.04,7.94
2022-10-17 09:00:00,8.28,8.43,8.5,8.27
2022-10-17 10:00:00,8.43,8.39,8.45,8.32
2022-10-17 11:00:00,8.38,8.37,8.46,8.36
2022-10-17 12:00:00,8.36,8.36,8.38,8.31
2022-10-17 13:00:00,8.36,8.39,8.39,8.35
2022-10-17 14:00:00,8.38,8.38,8.43,8.36
2022-10-17 15:00:00,8.38,8.42,8.44,8.38
2022-10-18 09:00:00,8.69,8.62,8.93,8.62
2022-10-18 10:00:00,8.62,8.53,8.66,8.53
2022-10-18 11:00:00,8.53,8.53,8.59,8.43
2022-10-18 12:00:00,8.52,8.57,8.58,8.51
2022-10-18 13:00:00,8.58,8.62,8.62,8.58
2022-10-18 14:00:00,8.63,8.55,8.63,8.48
2022-10-18 15:00:00,8.56,8.6,8.6,8.54
2022-10-19 09:00:00,8.46,8.54,8.54,8.35
2022-10-19 10:00:00,8.54,8.41,8.54,8.39
2022-10-19 11:00:00,8.42,8.33,8.46,8.32
2022-10-19 12:00:00,8.34,8.29,8.38,8.27
2022-10-19 13:00:00,8.29,8.34,8.37,8.28
2022-10-19 14:00:00,8.35,8.31,8.36,8.29
2022-10-19 15:00:00,8.31,8.34,8.36,8.29
2022-10-20 09:00:00,8.32,8.56,8.61,8.3
2022-10-20 10:00:00,8.58,8.49,8.58,8.48
2022-10-20 11:00:00,8.5,8.35,8.54,8.33
2022-10-20 12:00:00,8.34,8.28,8.35,8.25
2022-10-20 13:00:00,8.27,8.15,8.27,8.15
2022-10-20 14:00:00,8.15,8.19,8.21,8.14
2022-10-20 15:00:00,8.19,8.18,8.21,8.16
2022-10-21 09:00:00,8.19,8.26,8.34,8.04
2022-10-21 10:00:00,8.27,8.22,8.28,8.13
2022-10-21 11:00:00,8.23,8.38,8.41,8.23
2022-10-21 12:00:00,8.37,8.43,8.47,8.36
2022-10-21 13:00:00,8.44,8.45,8.52,8.42
2022-10-21 14:00:00,8.45,8.49,8.5,8.42
2022-10-21 15:00:00,8.5,8.55,8.55,8.49
2022-10-24 09:00:00,8.55,8.3,8.61,8.28
2022-10-24 10:00:00,8.3,8.44,8.44,8.26
2022-10-24 11:00:00,8.43,8.46,8.51,8.42
2022-10-24 12:00:00,8.46,8.46,8.56,8.45
2022-10-24 13:00:00,8.46,8.55,8.56,8.46
2022-10-24 14:00:00,8.56,8.59,8.62,8.55
2022-10-24 15:00:00,8.6,8.56,8.61,8.54
2022-10-25 09:00:00,8.63,8.93,8.95,8.61
2022-10-25 10:00:00,8.93,9.1,9.1,8.92
2022-10-25 11:00:00,9.1,9.16,9.17,9.07
2022-10-25 12:00:00,9.15,9.15,9.21,9.11
2022-10-25 13:00:00,9.18,9.18,9.19,9.14
2022-10-25 14:00:00,9.18,9.18,9.19,9.12
2022-10-25 15:00:00,9.17,9.1,9.23,9.09
2022-10-26 09:00:00,9.1,9.24,9.25,9.01
2022-10-26 10:00:00,9.25,9.36,9.4,9.22
2022-10-26 11:00:00,9.37,9.33,9.37,9.32
2022-10-26 12:00:00,9.33,9.09,9.35,9.08
2022-10-26 13:00:00,9.09,9.2,9.22,9.06
2022-10-26 14:00:00,9.2,9.15,9.21,9.09
2022-10-26 15:00:00,9.14,9.07,9.15,9.07
2022-10-27 09:00:00,9.17,8.99,9.19,8.88
2022-10-27 10:00:00,8.99,8.97,9.05,8.89
2022-10-27 11:00:00,8.96,8.89,8.99,8.88
2022-10-27 12:00:00,8.9,8.96,8.98,8.87
2022-10-27 13:00:00,8.95,8.89,8.96,8.88
2022-10-27 14:00:00,8.89,8.8,8.9,8.77
2022-10-27 15:00:00,8.79,8.79,8.82,8.79
2022-10-28 09:00:00,8.86,8.78,9.01,8.7
2022-10-28 10:00:00,8.8,8.85,8.9,8.72
2022-10-28 11:00:00,8.85,8.99,8.99,8.85
2022-10-28 12:00:00,9.0,8.99,9.01,8.96
2022-10-28 13:00:00,8.98,8.94,9.0,8.93
2022-10-28 14:00:00,8.94,9.0,9.0,8.94
2022-10-28 15:00:00,8.99,8.93,9.0,8.92
2022-10-31 09:00:00,8.87,8.79,8.95,8.76
2022-10-31 10:00:00,8.75,8.85,8.86,8.73
2022-10-31 11:00:00,8.85,8.86,8.94,8.85
2022-10-31 12:00:00,8.85,8.86,8.86,8.81
2022-10-31 13:00:00,8.87,8.84,8.87,8.81
2022-10-31 14:00:00,8.83,8.87,8.9,8.79
2022-10-31 15:00:00,8.87,8.83,8.9,8.82
2022-11-01 09:00:00,8.94,8.97,9.04,8.84
2022-11-01 10:00:00,8.96,8.95,8.98,8.87
2022-11-01 11:00:00,8.96,8.95,8.97,8.91
2022-11-01 12:00:00,8.94,8.99,9.01,8.94
2022-11-01 13:00:00,8.98,8.98,9.02,8.96
2022-11-01 14:00:00,8.98,8.98,9.0,8.96
2022-11-01 15:00:00,8.99,8.97,8.99,8.94
2022-11-02 09:00:00,8.84,8.74,8.86,8.63
2022-11-02 10:00:00,8.75,8.7,8.8,8.68
2022-11-02 11:00:00,8.71,8.64,8.72,8.64
2022-11-02 12:00:00,8.64,8.7,8.73,8.62
2022-11-02 13:00:00,8.7,9.04,9.05,8.68
2022-11-02 14:00:00,9.04,8.53,9.05,8.51
2022-11-02 15:00:00,8.52,8.45,8.57,8.45
2022-11-03 09:00:00,8.24,8.28,8.32,8.2
2022-11-03 10:00:00,8.27,8.32,8.44,8.23
2022-11-03 11:00:00,8.31,8.37,8.38,8.28
2022-11-03 12:00:00,8.37,8.38,8.46,8.35
2022-11-03 13:00:00,8.37,8.39,8.4,8.35
2022-11-03 14:00:00,8.39,8.38,8.4,8.36
2022-11-03 15:00:00,8.38,8.28,8.38,8.28
2022-11-04 09:00:00,8.4,8.4,8.47,8.15
2022-11-04 10:00:00,8.3899,8.195,8.41,8.1922
2022-11-04 11:00:00,8.19,8.01,8.22,7.97
2022-11-04 12:00:00,8.01,7.88,8.02,7.81
2022-11-04 13:00:00,7.885,7.9,7.94,7.825
2022-11-04 14:00:00,7.915,7.99,8.01,7.9
2022-11-04 15:00:00,7.995,8.035,8.07,7.96
2022-11-07 09:00:00,8.07,7.8008,8.14,7.78
2022-11-07 10:00:00,7.805,7.86,7.895,7.77
2022-11-07 11:00:00,7.865,7.805,7.885,7.8
2022-11-07 12:00:00,7.81,7.72,7.82,7.705
2022-11-07 13:00:00,7.72,7.8,7.8,7.66
2022-11-07 14:00:00,7.805,7.805,7.86,7.8
2022-11-07 15:00:00,7.8,7.82,7.825,7.78
2022-11-08 09:00:00,7.85,7.755,7.87,7.65
2022-11-08 10:00:00,7.76,7.94,7.94,7.76
2022-11-08 11:00:00,7.939,7.91,8.0,7.87
2022-11-08 12:00:00,7.9,7.795,7.91,7.78
2022-11-08 13:00:00,7.795,7.655,7.815,7.655
2022-11-08 14:00:00,7.655,7.745,7.755,7.63
2022-11-08 15:00:00,7.75,7.72,7.815,7.67
2022-11-09 09:00:00,7.8,8.682,8.97,7.8
2022-11-09 10:00:00,8.68,8.415,8.695,8.3401
2022-11-09 11:00:00,8.4101,8.245,8.4191,8.18
2022-11-09 12:00:00,8.24,8.29,8.335,8.21
2022-11-09 13:00:00,8.28,8.3099,8.35,8.2413
2022-11-09 14:00:00,8.31,8.34,8.37,8.245
2022-11-09 15:00:00,8.345,8.18,8.35,8.15
2022-11-10 09:00:00,8.9,9.16,9.18,8.64
2022-11-10 10:00:00,9.165,9.02,9.18,8.97
2022-11-10 11:00:00,9.015,8.985,9.11,8.98
2022-11-10 12:00:00,8.98,9.08,9.08,8.9
2022-11-10 13:00:00,9.08,9.115,9.13,9.07
2022-11-10 14:00:00,9.115,9.1935,9.2,9.055
2022-11-10 15:00:00,9.2,9.26,9.3,9.19
2022-11-11 09:00:00,9.26,9.56,9.6194,9.21
2022-11-11 10:00:00,9.59,9.7,9.8,9.58
2022-11-11 11:00:00,9.7,9.73,9.79,9.63
2022-11-11 12:00:00,9.735,9.915,9.92,9.7
2022-11-11 13:00:00,9.91,10.1,10.105,9.905
2022-11-11 14:00:00,10.1,10.085,10.165,10.045
2022-11-11 15:00:00,10.09,10.04,10.14,10.0
2022-11-14 09:00:00,9.92,10.06,10.14,9.44
2022-11-14 10:00:00,10.06,10.05,10.26,9.98
2022-11-14 11:00:00,10.05,10.1,10.14,10.02
2022-11-14 12:00:00,10.1,10.3,10.33,10.095
2022-11-14 13:00:00,10.2944,10.16,10.3,10.15
2022-11-14 14:00:00,10.155,10.17,10.185,10.08
2022-11-14 15:00:00,10.16,10.14,10.1905,10.13
2022-11-15 09:00:00,10.44,10.68,10.68,10.19
2022-11-15 10:00:00,10.68,10.67,10.81,10.65
2022-11-15 11:00:00,10.66,10.7698,10.7698,10.52
2022-11-15 12:00:00,10.765,10.74,10.995,10.7201
2022-11-15 13:00:00,10.75,10.765,10.82,10.65
2022-11-15 14:00:00,10.76,10.76,10.845,10.73
2022-11-15 15:00:00,10.76,10.725,10.81,10.68
2022-11-16 09:00:00,10.5,10.17,10.51,10.04
2022-11-16 10:00:00,10.18,9.98,10.3,9.92
2022-11-16 11:00:00,9.99,10.17,10.175,9.935
2022-11-16 12:00:00,10.18,10.165,10.22,10.12
2022-11-16 13:00:00,10.16,10.175,10.19,10.092
2022-11-16 14:00:00,10.17,10.065,10.17,10.02
2022-11-16 15:00:00,10.06,10.16,10.16,10.035
2022-11-17 09:00:00,9.84,9.67,9.84,9.625
2022-11-17 10:00:00,9.675,9.69,9.7769,9.659
2022-11-17 11:00:00,9.68,9.83,9.885,9.655
2022-11-17 12:00:00,9.83,9.96,10.0,9.805
2022-11-17 13:00:00,9.96,9.8999,9.985,9.86
2022-11-17 14:00:00,9.895,9.915,9.92,9.872
2022-11-17 15:00:00,9.92,10.02,10.03,9.915
2022-11-18 09:00:00,10.22,10.16,10.35,10.0801
2022-11-18 10:00:00,10.165,10.02,10.19,9.985
2022-11-18 11:00:00,10.015,9.82,10.015,9.77
2022-11-18 12:00:00,9.825,9.8388,9.86,9.74
2022-11-18 13:00:00,9.84,9.785,9.87,9.78
2022-11-18 14:00:00,9.79,9.805,9.8288,9.75
2022-11-18 15:00:00,9.805,9.78,9.81,9.75
2022-11-21 09:00:00,9.64,9.435,9.71,9.42
2022-11-21 10:00:00,9.415,9.52,9.56,9.41
2022-11-21 11:00:00,9.515,9.49,9.57,9.4806
2022-11-21 12:00:00,9.495,9.54,9.545,9.471
2022-11-21 13:00:00,9.539,9.52,9.57,9.48
2022-11-21 14:00:00,9.5175,9.535,9.565,9.485
2022-11-21 15:00:00,9.535,9.525,9.605,9.485
2022-11-22 09:00:00,9.53,9.505,9.63,9.3399
2022-11-22 10:00:00,9.5,9.41,9.53,9.41
2022-11-22 11:00:00,9.405,9.3748,9.42,9.36
2022-11-22 12:00:00,9.38,9.41,9.44,9.38
2022-11-22 13:00:00,9.4185,9.43,9.46,9.405
2022-11-22 14:00:00,9.43,9.465,9.48,9.425
2022-11-22 15:00:00,9.465,9.55,9.55,9.465
2022-11-23 09:00:00,9.6,9.58,9.615,9.47
2022-11-23 10:00:00,9.5875,9.67,9.715,9.5875
2022-11-23 11:00:00,9.67,9.58,9.71,9.55
2022-11-23 12:00:00,9.575,9.595,9.61,9.497
2022-11-23 13:00:00,9.6,9.73,9.74,9.58
2022-11-23 14:00:00,9.725,9.76,9.785,9.7
2022-11-23 15:00:00,9.76,9.75,9.77,9.71
2022-11-25 09:00:00,9.71,9.71,9.79,9.67
2022-11-25 10:00:00,9.705,9.73,9.77,9.6732
2022-11-25 11:00:00,9.73,9.745,9.79,9.73
2022-11-25 12:00:00,9.745,9.74,9.775,9.73
2022-11-28 09:00:00,9.62,9.468,9.67,9.42
2022-11-28 10:00:00,9.465,9.36,9.48,9.3399
2022-11-28 11:00:00,9.35,9.35,9.37,9.3
2022-11-28 12:00:00,9.355,9.325,9.375,9.3
2022-11-28 13:00:00,9.33,9.24,9.33,9.22
2022-11-28 14:00:00,9.2431,9.155,9.255,9.14
2022-11-28 15:00:00,9.1525,9.13,9.165,9.11
2022-11-29 09:00:00,9.11,9.14,9.1986,9.08
2022-11-29 10:00:00,9.1599,9.1,9.2034,9.09
2022-11-29 11:00:00,9.1,9.27,9.29,9.09
2022-11-29 12:00:00,9.275,9.225,9.33,9.225
2022-11-29 13:00:00,9.225,9.23,9.275,9.215
2022-11-29 14:00:00,9.22,9.225,9.26,9.205
2022-11-29 15:00:00,9.225,9.23,9.245,9.205
2022-11-30 09:00:00,9.73,9.57,9.9,9.45
2022-11-30 10:00:00,9.57,9.555,9.59,9.475
2022-11-30 11:00:00,9.56,9.48,9.62,9.45
2022-11-30 12:00:00,9.4813,9.529,9.54,9.47
2022-11-30 13:00:00,9.52,9.965,10.03,9.51
2022-11-30 14:00:00,9.95,10.015,10.035,9.91
2022-11-30 15:00:00,10.015,10.14,10.14,10.01
2022-12-01 09:00:00,10.13,10.06,10.3627,10.01
2022-12-01 10:00:00,10.07,10.11,10.13,10.02
2022-12-01 11:00:00,10.12,10.09,10.165,10.05
2022-12-01 12:00:00,10.09,10.05,10.1151,10.015
2022-12-01 13:00:00,10.045,10.085,10.0999,10.02
2022-12-01 14:00:00,10.1,10.105,10.14,10.075
2022-12-01 15:00:00,10.11,10.135,10.15,10.09
2022-12-02 09:00:00,10.0,10.05,10.08,9.8
2022-12-02 10:00:00,10.05,10.09,10.1,10.02
2022-12-02 11:00:00,10.085,10.1207,10.17,10.08
2022-12-02 12:00:00,10.125,10.085,10.13,10.033
2022-12-02 13:00:00,10.09,10.1,10.105,10.07
2022-12-02 14:00:00,10.1,10.2451,10.27,10.1
2022-12-02 15:00:00,10.25,10.19,10.255,10.18
2022-12-05 09:00:00,10.07,9.9,10.22,9.87
2022-12-05 10:00:00,9.9,9.955,10.05,9.87
2022-12-05 11:00:00,9.955,9.8351,9.955,9.8
2022-12-05 12:00:00,9.835,9.8,9.84,9.76
2022-12-05 13:00:00,9.805,9.75,9.84,9.71
2022-12-05 14:00:00,9.75,9.715,9.755,9.695
2022-12-05 15:00:00,9.715,9.75,9.775,9.715
2022-12-06 09:00:00,9.72,9.49,9.755,9.46
2022-12-06 10:00:00,9.48,9.46,9.5,9.41
2022-12-06 11:00:00,9.455,9.485,9.525,9.44
2022-12-06 12:00:00,9.485,9.46,9.5,9.435
2022-12-06 13:00:00,9.46,9.401,9.51,9.401
2022-12-06 14:00:00,9.41,9.355,9.44,9.345
2022-12-06 15:00:00,9.36,9.42,9.42,9.355
2022-12-07 09:00:00,9.27,9.21,9.46,9.1588
2022-12-07 10:00:00,9.21,9.27,9.41,9.2
2022-12-07 11:00:00,9.28,9.29,9.35,9.28
2022-12-07 12:00:00,9.3,9.32,9.35,9.28
2022-12-07 13:00:00,9.32,9.22,9.34,9.21
2022-12-07 14:00:00,9.21,9.18,9.23,9.16
