datetime,open,close,high,low
2022-09-30 10:00:00,21.47,21.76,21.87,21.46
2022-09-30 11:00:00,21.61,21.6,21.67,21.45
2022-09-30 12:00:00,21.65,21.54,21.75,21.47
2022-09-30 13:00:00,21.57,21.44,21.58,21.32
2022-09-30 14:00:00,21.43,21.16,21.46,21.11
2022-09-30 15:00:00,21.2,20.99,21.2,20.93
2022-10-03 09:00:00,21.29,21.58,21.62,21.0
2022-10-03 10:00:00,21.6,21.5,21.63,21.42
2022-10-03 11:00:00,21.55,21.12,21.55,21.12
2022-10-03 12:00:00,21.11,21.21,21.21,21.0
2022-10-03 13:00:00,21.18,21.22,21.24,21.04
2022-10-03 14:00:00,21.22,21.26,21.35,21.15
2022-10-03 15:00:00,21.25,21.07,21.25,21.02
2022-10-04 09:00:00,21.18,21.28,21.75,21.18
2022-10-04 10:00:00,21.31,21.37,21.46,21.18
2022-10-04 11:00:00,21.37,21.41,21.44,21.25
2022-10-04 12:00:00,21.48,21.31,21.59,21.25
2022-10-04 13:00:00,21.38,21.35,21.53,21.35
2022-10-04 14:00:00,21.35,21.45,21.49,21.35
2022-10-04 15:00:00,21.42,21.42,21.52,21.38
2022-10-05 09:00:00,20.86,20.31,21.13,20.31
2022-10-05 10:00:00,20.27,20.64,20.66,20.25
2022-10-05 11:00:00,20.65,20.73,20.82,20.57
2022-10-05 12:00:00,20.73,20.88,20.91,20.73
2022-10-05 13:00:00,20.88,20.72,20.88,20.68
2022-10-05 14:00:00,20.7,20.82,20.82,20.66
2022-10-05 15:00:00,20.84,20.84,21.0,20.77
2022-10-06 09:00:00,20.6,20.49,20.93,20.48
2022-10-06 10:00:00,20.46,20.44,20.47,20.34
2022-10-06 11:00:00,20.42,20.64,20.68,20.42
2022-10-06 12:00:00,20.66,20.7,20.76,20.66
2022-10-06 13:00:00,20.68,20.64,20.78,20.64
2022-10-06 14:00:00,20.66,20.77,20.77,20.57
2022-10-06 15:00:00,20.79,20.68,20.82,20.67
2022-10-07 09:00:00,20.31,20.04,20.43,19.93
2022-10-07 10:00:00,20.05,19.93,20.22,19.93
2022-10-07 11:00:00,19.93,19.88,20.03,19.86
2022-10-07 12:00:00,19.84,19.78,19.86,19.67
2022-10-07 13:00:00,19.7,19.63,19.73,19.53
2022-10-07 14:00:00,19.61,19.52,19.64,19.41
2022-10-07 15:00:00,19.5,19.51,19.6,19.43
2022-10-10 09:00:00,19.52,19.82,19.87,19.41
2022-10-10 10:00:00,19.81,19.62,19.84,19.62
2022-10-10 11:00:00,19.63,19.64,19.79,19.63
2022-10-10 12:00:00,19.63,19.74,19.74,19.56
2022-10-10 13:00:00,19.75,19.74,20.0,19.74
2022-10-10 14:00:00,19.75,19.75,19.83,19.69
2022-10-10 15:00:00,19.75,19.68,19.8,19.63
2022-10-11 09:00:00,19.68,19.56,19.68,19.32
2022-10-11 10:00:00,19.61,19.97,19.98,19.61
2022-10-11 11:00:00,20.02,20.33,20.36,19.95
2022-10-11 12:00:00,20.31,20.44,20.5,20.27
2022-10-11 13:00:00,20.44,20.14,20.45,20.12
2022-10-11 14:00:00,20.14,19.45,20.15,19.38
2022-10-11 15:00:00,19.51,19.87,19.91,19.51
2022-10-12 09:00:00,19.63,19.75,19.94,19.6
2022-10-12 10:00:00,19.75,19.7,19.79,19.58
2022-10-12 11:00:00,19.7,19.85,19.88,19.69
2022-10-12 12:00:00,19.75,19.66,19.78,19.66
2022-10-12 13:00:00,19.66,19.79,19.79,19.58
2022-10-12 14:00:00,19.79,19.8,19.86,19.7
2022-10-12 15:00:00,19.79,19.67,19.81,19.66
2022-10-13 09:00:00,19.04,19.16,19.43,19.01
2022-10-13 10:00:00,19.18,19.86,19.91,19.18
2022-10-13 11:00:00,19.89,19.9,20.21,19.86
2022-10-13 12:00:00,19.89,20.08,20.08,19.86
2022-10-13 13:00:00,20.09,19.91,20.12,19.91
2022-10-13 14:00:00,19.88,19.97,20.13,19.88
2022-10-13 15:00:00,19.97,19.96,19.97,19.86
2022-10-14 09:00:00,20.06,19.86,20.36,19.74
2022-10-14 10:00:00,19.92,19.96,20.05,19.82
2022-10-14 11:00:00,19.94,19.78,19.94,19.65
2022-10-14 12:00:00,19.82,19.68,19.82,19.64
2022-10-14 13:00:00,19.73,19.67,19.8,19.66
2022-10-14 14:00:00,19.67,19.64,19.7,19.57
2022-10-14 15:00:00,19.64,19.44,19.68,19.4
2022-10-17 09:00:00,19.57,19.75,20.13,19.57
2022-10-17 10:00:00,19.75,19.95,19.95,19.7
2022-10-17 11:00:00,19.98,20.14,20.3,19.97
2022-10-17 12:00:00,20.12,20.08,20.17,20.05
2022-10-17 13:00:00,20.09,20.2,20.23,20.08
2022-10-17 14:00:00,20.2,20.06,20.24,19.97
2022-10-17 15:00:00,20.06,20.09,20.25,20.06
2022-10-18 09:00:00,20.6,20.03,20.77,20.03
2022-10-18 10:00:00,19.99,19.68,19.99,19.63
2022-10-18 11:00:00,19.68,19.49,19.68,19.43
2022-10-18 12:00:00,19.49,19.7,19.72,19.49
2022-10-18 13:00:00,19.69,19.61,19.74,19.59
2022-10-18 14:00:00,19.58,19.38,19.58,19.34
2022-10-18 15:00:00,19.39,19.54,19.54,19.39
2022-10-19 09:00:00,19.55,19.28,19.55,19.11
2022-10-19 10:00:00,19.27,19.03,19.28,19.0
2022-10-19 11:00:00,19.05,18.78,19.11,18.78
2022-10-19 12:00:00,18.73,18.55,18.8,18.52
2022-10-19 13:00:00,18.53,18.6,18.64,18.48
2022-10-19 14:00:00,18.6,18.46,18.6,18.45
2022-10-19 15:00:00,18.47,18.55,18.56,18.43
2022-10-20 09:00:00,18.57,18.89,19.06,18.57
2022-10-20 10:00:00,18.85,18.93,19.05,18.73
2022-10-20 11:00:00,18.95,18.56,19.11,18.53
2022-10-20 12:00:00,18.56,18.48,18.66,18.42
2022-10-20 13:00:00,18.47,18.29,18.49,18.18
2022-10-20 14:00:00,18.31,18.26,18.4,18.21
2022-10-20 15:00:00,18.25,18.17,18.26,18.12
2022-10-21 09:00:00,18.19,18.16,18.54,18.05
2022-10-21 10:00:00,18.13,18.1,18.25,18.02
2022-10-21 11:00:00,18.1,18.36,18.55,18.06
2022-10-21 12:00:00,18.39,18.52,18.55,18.3
2022-10-21 13:00:00,18.54,18.62,18.74,18.46
2022-10-21 14:00:00,18.65,18.68,18.7,18.5
2022-10-21 15:00:00,18.69,18.66,18.72,18.61
2022-10-24 09:00:00,18.62,18.31,18.77,18.24
2022-10-24 10:00:00,18.24,18.7,18.72,18.18
2022-10-24 11:00:00,18.73,18.75,18.78,18.68
2022-10-24 12:00:00,18.7,18.49,18.7,18.49
2022-10-24 13:00:00,18.46,18.58,18.59,18.39
2022-10-24 14:00:00,18.59,18.5,18.61,18.43
