datetime,open,close,high,low
2022-09-30 10:00:00,12.53,12.62,12.75,12.49
2022-09-30 11:00:00,12.59,12.45,12.61,12.35
2022-09-30 12:00:00,12.43,12.57,12.62,12.43
2022-09-30 13:00:00,12.56,12.47,12.57,12.39
2022-09-30 14:00:00,12.47,12.41,12.5,12.34
2022-09-30 15:00:00,12.38,12.24,12.42,12.18
2022-10-03 09:00:00,12.49,12.64,12.74,12.14
2022-10-03 10:00:00,12.65,12.57,12.82,12.52
2022-10-03 11:00:00,12.59,12.32,12.6,12.26
2022-10-03 12:00:00,12.31,12.39,12.43,12.23
2022-10-03 13:00:00,12.4,12.46,12.46,12.29
2022-10-03 14:00:00,12.45,12.54,12.65,12.4
2022-10-03 15:00:00,12.53,12.33,12.54,12.3
2022-10-04 09:00:00,12.73,12.57,12.86,12.56
2022-10-04 10:00:00,12.57,12.74,12.77,12.38
2022-10-04 11:00:00,12.74,12.83,12.83,12.68
2022-10-04 12:00:00,12.84,12.77,12.84,12.67
2022-10-04 13:00:00,12.77,12.76,12.83,12.76
2022-10-04 14:00:00,12.76,12.83,12.89,12.76
2022-10-04 15:00:00,12.83,12.95,12.95,12.76
2022-10-05 09:00:00,12.55,11.73,12.72,11.72
2022-10-05 10:00:00,11.76,12.17,12.26,11.74
2022-10-05 11:00:00,12.16,12.27,12.4,12.06
2022-10-05 12:00:00,12.28,12.55,12.58,12.25
2022-10-05 13:00:00,12.53,12.46,12.53,12.41
2022-10-05 14:00:00,12.45,12.51,12.55,12.42
2022-10-05 15:00:00,12.53,12.53,12.66,12.5
2022-10-06 09:00:00,12.56,12.37,12.75,12.33
2022-10-06 10:00:00,12.38,12.67,12.72,12.38
2022-10-06 11:00:00,12.68,12.86,12.89,12.66
2022-10-06 12:00:00,12.87,12.81,12.95,12.75
2022-10-06 13:00:00,12.81,12.84,12.89,12.78
2022-10-06 14:00:00,12.84,12.86,12.9,12.71
2022-10-06 15:00:00,12.86,12.75,12.9,12.73
2022-10-07 09:00:00,12.3,12.12,12.44,12.04
2022-10-07 10:00:00,12.11,12.13,12.35,12.1
2022-10-07 11:00:00,12.13,12.17,12.34,12.13
2022-10-07 12:00:00,12.17,12.22,12.28,12.11
2022-10-07 13:00:00,12.21,12.11,12.21,12.11
2022-10-07 14:00:00,12.11,12.12,12.22,12.09
2022-10-07 15:00:00,12.12,12.0,12.12,11.98
2022-10-10 09:00:00,11.99,11.82,12.03,11.65
2022-10-10 10:00:00,11.82,11.73,11.82,11.61
2022-10-10 11:00:00,11.74,11.57,11.76,11.52
2022-10-10 12:00:00,11.58,11.71,11.71,11.5
2022-10-10 13:00:00,11.71,11.82,11.96,11.71
2022-10-10 14:00:00,11.82,11.83,11.91,11.74
2022-10-10 15:00:00,11.84,11.8,11.93,11.76
2022-10-11 09:00:00,11.87,11.73,11.92,11.56
2022-10-11 10:00:00,11.67,11.99,12.02,11.65
2022-10-11 11:00:00,12.02,12.19,12.25,11.99
2022-10-11 12:00:00,12.21,12.11,12.34,12.1
2022-10-11 13:00:00,12.1,11.91,12.14,11.91
2022-10-11 14:00:00,11.91,11.6,11.95,11.55
2022-10-11 15:00:00,11.61,11.92,11.92,11.6
2022-10-12 09:00:00,11.88,11.69,11.9,11.58
2022-10-12 10:00:00,11.65,11.73,11.77,11.55
2022-10-12 11:00:00,11.74,11.72,11.85,11.7
2022-10-12 12:00:00,11.74,11.83,11.9,11.69
2022-10-12 13:00:00,11.83,11.88,11.89,11.76
2022-10-12 14:00:00,11.89,12.04,12.06,11.84
2022-10-12 15:00:00,12.02,11.96,12.02,11.9
2022-10-13 09:00:00,11.5,11.54,11.86,11.45
2022-10-13 10:00:00,11.53,11.95,12.05,11.48
2022-10-13 11:00:00,11.91,11.89,12.11,11.84
2022-10-13 12:00:00,11.89,12.2,12.2,11.87
2022-10-13 13:00:00,12.22,12.01,12.23,12.01
2022-10-13 14:00:00,12.02,12.14,12.2,11.97
2022-10-13 15:00:00,12.16,12.15,12.18,12.04
2022-10-14 09:00:00,12.3,11.8634,12.49,11.77
2022-10-14 10:00:00,11.87,11.76,11.91,11.6
2022-10-14 11:00:00,11.73,11.89,11.89,11.66
2022-10-14 12:00:00,11.9,11.71,11.93,11.68
2022-10-14 13:00:00,11.72,11.57,11.77,11.56
2022-10-14 14:00:00,11.57,11.5,11.6,11.47
2022-10-14 15:00:00,11.49,11.38,11.58,11.35
2022-10-17 09:00:00,11.73,11.74,12.12,11.6
2022-10-17 10:00:00,11.75,11.8,11.85,11.58
2022-10-17 11:00:00,11.78,11.73,12.02,11.73
2022-10-17 12:00:00,11.73,11.72,11.83,11.7
2022-10-17 13:00:00,11.72,11.84,11.88,11.69
2022-10-17 14:00:00,11.85,11.88,11.92,11.73
2022-10-17 15:00:00,11.88,11.94,12.02,11.86
2022-10-18 09:00:00,12.31,12.27,12.58,12.24
