datetime,open,close,high,low
2022-12-26 11:00:00,16.17,16.17,16.22,16.16
2022-12-26 12:00:00,16.19,16.15,16.2,16.14
2022-12-26 13:00:00,16.15,16.1,16.15,16.09
2022-12-26 14:00:00,16.1,16.14,16.15,16.08
2022-12-26 15:00:00,16.13,16.07,16.15,16.04
2022-12-26 16:00:00,16.07,16.12,16.14,16.05
2022-12-26 17:00:00,16.11,16.13,16.15,16.07
2022-12-26 18:00:00,16.13,16.09,16.14,16.08
2022-12-26 19:00:00,16.09,16.15,16.18,16.08
2022-12-26 20:00:00,16.16,16.15,16.19,16.14
2022-12-26 21:00:00,16.15,16.13,16.19,16.12
2022-12-26 22:00:00,16.12,16.1,16.14,16.1
2022-12-26 23:00:00,16.12,16.26,16.28,16.08
2022-12-27 00:00:00,16.25,16.16,16.32,16.1
2022-12-27 01:00:00,16.16,16.13,16.19,16.12
2022-12-27 02:00:00,16.13,16.17,16.18,16.13
2022-12-27 03:00:00,16.17,16.12,16.17,16.1
2022-12-27 04:00:00,16.12,16.15,16.15,16.11
2022-12-27 05:00:00,16.15,16.11,16.16,16.11
2022-12-27 06:00:00,16.12,16.17,16.18,16.09
2022-12-27 07:00:00,16.16,16.13,16.16,16.11
2022-12-27 08:00:00,16.11,16.04,16.13,16.04
2022-12-27 09:00:00,16.03,16.13,16.14,15.98
2022-12-27 10:00:00,16.13,16.1,16.15,16.08
2022-12-27 11:00:00,16.1,16.07,16.11,16.02
2022-12-27 12:00:00,16.07,16.03,16.08,16.0
2022-12-27 13:00:00,16.01,16.0,16.06,15.97
2022-12-27 14:00:00,16.0,15.87,16.06,15.82
2022-12-27 15:00:00,15.85,15.9,15.97,15.82
2022-12-27 16:00:00,15.88,15.88,15.93,15.86
2022-12-27 17:00:00,15.86,15.7,15.89,15.59
2022-12-27 18:00:00,15.7,15.68,15.74,15.67
2022-12-27 19:00:00,15.68,15.7,15.7,15.62
2022-12-27 20:00:00,15.71,15.7,15.76,15.68
2022-12-27 21:00:00,15.7,15.72,15.75,15.69
2022-12-27 22:00:00,15.71,15.77,15.77,15.71
2022-12-27 23:00:00,15.76,15.87,15.87,15.76
2022-12-28 00:00:00,15.87,15.81,15.89,15.79
2022-12-28 01:00:00,15.8,15.82,15.88,15.69
2022-12-28 02:00:00,15.8,15.76,15.83,15.75
2022-12-28 03:00:00,15.76,15.68,15.76,15.56
2022-12-28 04:00:00,15.66,15.67,15.7,15.65
2022-12-28 05:00:00,15.67,15.3,15.69,15.09
2022-12-28 06:00:00,15.29,15.3,15.32,15.27
2022-12-28 07:00:00,15.31,15.42,15.43,15.31
2022-12-28 08:00:00,15.4,15.35,15.47,15.35
2022-12-28 09:00:00,15.34,15.36,15.39,15.3
2022-12-28 10:00:00,15.34,15.32,15.37,15.28
2022-12-28 11:00:00,15.32,15.34,15.37,15.31
2022-12-28 12:00:00,15.34,15.31,15.37,15.3
2022-12-28 13:00:00,15.31,15.31,15.35,15.3
2022-12-28 14:00:00,15.3,15.48,15.58,15.29
2022-12-28 15:00:00,15.51,15.32,15.55,15.32
2022-12-28 16:00:00,15.3,15.19,15.36,15.18
2022-12-28 17:00:00,15.19,15.24,15.25,15.13
2022-12-28 18:00:00,15.24,15.26,15.3,15.23
2022-12-28 19:00:00,15.26,15.19,15.29,15.19
2022-12-28 20:00:00,15.19,15.29,15.3,15.19
2022-12-28 21:00:00,15.29,15.1,15.29,15.02
2022-12-28 22:00:00,15.08,15.02,15.09,14.97
2022-12-28 23:00:00,15.02,15.12,15.12,15.02
2022-12-29 00:00:00,15.13,15.17,15.19,15.05
2022-12-29 01:00:00,15.19,15.08,15.19,15.07
2022-12-29 02:00:00,15.08,15.1,15.1,14.89
2022-12-29 03:00:00,15.11,15.26,15.26,15.08
2022-12-29 04:00:00,15.32,15.57,15.59,15.23
2022-12-29 05:00:00,15.54,15.49,15.54,15.42
2022-12-29 06:00:00,15.49,15.46,15.49,15.42
2022-12-29 07:00:00,15.46,15.43,15.51,15.36
2022-12-29 08:00:00,15.44,15.34,15.44,15.33
2022-12-29 09:00:00,15.35,15.42,15.45,15.35
2022-12-29 10:00:00,15.42,15.53,15.57,15.4
2022-12-29 11:00:00,15.53,15.47,15.53,15.47
