datetime,open,close,high,low
2022-09-30 10:00:00,13.36,13.55,13.55,13.36
2022-09-30 11:00:00,13.51,13.32,13.53,13.24
2022-09-30 12:00:00,13.33,13.33,13.4,13.26
2022-09-30 13:00:00,13.31,13.12,13.31,13.06
2022-09-30 14:00:00,13.12,13.11,13.16,13.01
2022-09-30 15:00:00,13.1,13.01,13.11,12.99
2022-10-03 09:00:00,13.12,13.24,13.31,12.77
2022-10-03 10:00:00,13.26,13.27,13.38,13.23
2022-10-03 11:00:00,13.28,13.09,13.28,13.04
2022-10-03 12:00:00,13.07,13.16,13.21,13.07
2022-10-03 13:00:00,13.16,13.22,13.22,13.06
2022-10-03 14:00:00,13.22,13.3,13.35,13.22
2022-10-03 15:00:00,13.3,13.27,13.31,13.21
2022-10-04 09:00:00,13.42,13.39,13.71,13.37
2022-10-04 10:00:00,13.39,13.32,13.46,13.28
2022-10-04 11:00:00,13.32,13.34,13.34,13.23
2022-10-04 12:00:00,13.36,13.32,13.38,13.21
2022-10-04 13:00:00,13.31,13.53,13.57,13.31
2022-10-04 14:00:00,13.54,13.65,13.68,13.52
2022-10-04 15:00:00,13.64,13.77,13.8,13.57
2022-10-05 09:00:00,13.67,13.86,13.93,13.66
2022-10-05 10:00:00,13.87,14.09,14.1,13.85
2022-10-05 11:00:00,14.09,14.12,14.2,14.06
2022-10-05 12:00:00,14.14,14.12,14.26,14.12
2022-10-05 13:00:00,14.12,14.01,14.13,13.94
2022-10-05 14:00:00,14.01,14.07,14.07,13.94
2022-10-05 15:00:00,14.1,14.15,14.22,14.09
2022-10-06 09:00:00,14.1,14.26,14.3,14.09
2022-10-06 10:00:00,14.25,14.38,14.4,14.21
2022-10-06 11:00:00,14.37,14.35,14.42,14.34
2022-10-06 12:00:00,14.35,14.37,14.42,14.34
2022-10-06 13:00:00,14.38,14.38,14.4,14.3
2022-10-06 14:00:00,14.38,14.35,14.41,14.22
2022-10-06 15:00:00,14.35,14.26,14.41,14.22
2022-10-07 09:00:00,14.07,14.27,14.29,14.01
2022-10-07 10:00:00,14.24,14.48,14.58,14.23
2022-10-07 11:00:00,14.51,14.78,14.78,14.44
2022-10-07 12:00:00,14.79,14.74,14.79,14.49
2022-10-07 13:00:00,14.73,14.62,14.73,14.62
2022-10-07 14:00:00,14.62,14.44,14.69,14.44
2022-10-07 15:00:00,14.45,14.72,14.73,14.43
2022-10-10 09:00:00,14.69,14.81,14.81,14.48
2022-10-10 10:00:00,14.8,14.09,14.81,14.09
2022-10-10 11:00:00,14.1,13.77,14.13,13.76
2022-10-10 12:00:00,13.72,13.67,13.77,13.56
2022-10-10 13:00:00,13.65,14.06,14.16,13.65
2022-10-10 14:00:00,14.06,14.09,14.16,14.06
2022-10-10 15:00:00,14.1,13.96,14.1,13.92
2022-10-11 09:00:00,13.9,13.99,14.18,13.9
2022-10-11 10:00:00,14.0,14.38,14.38,14.0
2022-10-11 11:00:00,14.39,14.43,14.5,14.33
2022-10-11 12:00:00,14.44,14.39,14.54,14.39
2022-10-11 13:00:00,14.39,14.14,14.4,14.11
2022-10-11 14:00:00,14.17,13.85,14.17,13.66
