datetime,open,close,high,low
2022-09-30 10:00:00,14.68,14.69,14.72,14.29
2022-09-30 11:00:00,14.67,14.54,14.67,14.43
2022-09-30 12:00:00,14.54,14.36,14.6,14.29
2022-09-30 13:00:00,14.37,14.21,14.42,14.21
2022-09-30 14:00:00,14.23,14.27,14.27,14.01
2022-09-30 15:00:00,14.26,14.24,14.36,14.2
2022-10-03 09:00:00,14.19,14.3,14.34,13.73
2022-10-03 10:00:00,14.3,14.49,14.51,14.15
2022-10-03 11:00:00,14.49,14.45,14.58,14.36
2022-10-03 12:00:00,14.47,14.51,14.6,14.41
2022-10-03 13:00:00,14.5,14.64,14.65,14.49
2022-10-03 14:00:00,14.65,14.72,14.82,14.55
2022-10-03 15:00:00,14.74,14.61,14.75,14.6
2022-10-04 09:00:00,15.25,15.43,15.74,15.2
2022-10-04 10:00:00,15.44,16.01,16.12,15.41
2022-10-04 11:00:00,16.02,16.01,16.25,15.85
2022-10-04 12:00:00,15.99,15.79,16.04,15.69
2022-10-04 13:00:00,15.8,15.81,15.88,15.71
2022-10-04 14:00:00,15.78,15.96,15.97,15.78
2022-10-04 15:00:00,15.96,16.08,16.08,15.87
2022-10-05 09:00:00,15.65,15.56,16.24,15.43
2022-10-05 10:00:00,15.54,15.77,15.92,15.52
2022-10-05 11:00:00,15.77,15.82,15.97,15.7
2022-10-05 12:00:00,15.81,16.0,16.09,15.77
2022-10-05 13:00:00,16.0,15.81,16.09,15.78
2022-10-05 14:00:00,15.8,16.04,16.18,15.73
2022-10-05 15:00:00,16.04,15.94,16.08,15.93
2022-10-06 09:00:00,16.0,15.61,16.93,15.55
2022-10-06 10:00:00,15.58,15.58,15.79,15.42
2022-10-06 11:00:00,15.59,15.62,15.71,15.37
2022-10-06 12:00:00,15.62,15.6,15.69,15.5
2022-10-06 13:00:00,15.6,15.4,15.61,15.37
2022-10-06 14:00:00,15.4,15.35,15.44,15.28
2022-10-06 15:00:00,15.35,15.29,15.41,15.29
2022-10-07 09:00:00,14.82,14.89,15.1,14.65
2022-10-07 10:00:00,14.93,15.01,15.19,14.77
2022-10-07 11:00:00,15.02,14.81,15.02,14.8
2022-10-07 12:00:00,14.79,14.67,14.79,14.56
2022-10-07 13:00:00,14.67,14.91,14.95,14.61
2022-10-07 14:00:00,14.9,14.85,14.9,14.77
2022-10-07 15:00:00,14.84,14.74,14.84,14.68
2022-10-10 09:00:00,14.49,14.25,14.59,14.1
2022-10-10 10:00:00,14.25,14.18,14.26,13.95
2022-10-10 11:00:00,14.2,14.06,14.2,14.03
2022-10-10 12:00:00,14.07,14.2,14.21,14.01
2022-10-10 13:00:00,14.18,14.21,14.38,14.16
2022-10-10 14:00:00,14.21,14.19,14.3,14.16
2022-10-10 15:00:00,14.19,14.21,14.29,14.18
2022-10-11 09:00:00,14.1,14.09,14.26,13.69
2022-10-11 10:00:00,14.0,14.45,14.45,13.97
2022-10-11 11:00:00,14.46,14.7,14.75,14.44
2022-10-11 12:00:00,14.73,14.55,14.76,14.55
2022-10-11 13:00:00,14.55,14.54,14.57,14.44
2022-10-11 14:00:00,14.55,14.24,14.59,14.18
2022-10-11 15:00:00,14.23,14.41,14.45,14.22
2022-10-12 09:00:00,14.53,13.88,14.53,13.77
2022-10-12 10:00:00,13.92,13.78,13.97,13.74
2022-10-12 11:00:00,13.8,13.71,13.94,13.71
2022-10-12 12:00:00,13.73,13.92,13.92,13.69
2022-10-12 13:00:00,13.88,13.9,13.94,13.76
2022-10-12 14:00:00,13.92,13.84,13.92,13.78
2022-10-12 15:00:00,13.82,13.73,13.87,13.73
2022-10-13 09:00:00,13.27,13.36,13.64,13.16
2022-10-13 10:00:00,13.38,13.91,14.26,13.35
2022-10-13 11:00:00,13.93,13.91,14.27,13.71
2022-10-13 12:00:00,13.89,14.19,14.19,13.86
