datetime,open,close,high,low
2022-09-30 10:00:00,5.61,5.49,5.61,5.49
2022-09-30 11:00:00,5.49,5.57,5.6,5.4
2022-09-30 12:00:00,5.57,5.59,5.64,5.53
2022-09-30 13:00:00,5.6,5.57,5.6,5.48
2022-09-30 14:00:00,5.57,5.57,5.59,5.42
2022-09-30 15:00:00,5.57,5.58,5.66,5.54
2022-10-03 09:00:00,5.67,5.96,6.03,5.5
2022-10-03 10:00:00,5.97,6.01,6.15,5.97
2022-10-03 11:00:00,6.01,6.24,6.28,6.01
2022-10-03 12:00:00,6.23,6.41,6.43,6.21
2022-10-03 13:00:00,6.41,6.69,6.69,6.4
2022-10-03 14:00:00,6.68,6.62,6.83,6.43
2022-10-03 15:00:00,6.62,6.59,7.06,6.53
2022-10-04 09:00:00,6.84,8.05,8.44,6.84
2022-10-04 10:00:00,8.04,8.57,9.01,8.01
2022-10-04 11:00:00,8.54,8.01,8.6,7.86
2022-10-04 12:00:00,8.0,8.02,8.3,7.93
2022-10-04 13:00:00,8.01,8.1,8.16,8.0
2022-10-04 14:00:00,8.1,8.07,8.22,7.97
2022-10-04 15:00:00,8.06,8.17,8.22,8.01
2022-10-05 09:00:00,7.84,8.86,8.92,7.84
2022-10-05 10:00:00,8.9,9.09,9.53,8.84
2022-10-05 11:00:00,9.05,9.29,9.35,8.97
2022-10-05 12:00:00,9.3,9.22,9.61,9.15
2022-10-05 13:00:00,9.22,9.2,9.22,8.94
2022-10-05 14:00:00,9.2,9.17,9.22,9.0
2022-10-05 15:00:00,9.15,9.34,9.45,9.15
2022-10-06 09:00:00,9.23,9.53,9.55,8.95
2022-10-06 10:00:00,9.55,9.73,9.77,9.45
2022-10-06 11:00:00,9.76,9.74,9.94,9.67
2022-10-06 12:00:00,9.73,9.86,9.9,9.7
2022-10-06 13:00:00,9.89,10.08,10.13,9.82
2022-10-06 14:00:00,10.04,9.69,10.12,9.69
2022-10-06 15:00:00,9.69,9.82,9.92,9.69
2022-10-07 09:00:00,9.76,9.84,9.94,9.32
2022-10-07 10:00:00,9.81,9.07,9.81,9.06
2022-10-07 11:00:00,9.07,9.36,9.36,8.98
2022-10-07 12:00:00,9.36,9.23,9.36,9.03
2022-10-07 13:00:00,9.23,9.07,9.23,9.0
2022-10-07 14:00:00,9.05,8.97,9.1,8.88
2022-10-07 15:00:00,8.99,9.09,9.22,8.99
2022-10-10 09:00:00,9.32,9.21,9.35,8.91
2022-10-10 10:00:00,9.22,9.14,9.32,9.02
2022-10-10 11:00:00,9.12,9.14,9.21,8.98
2022-10-10 12:00:00,9.14,9.37,9.42,9.07
2022-10-10 13:00:00,9.35,9.57,9.7,9.35
2022-10-10 14:00:00,9.56,9.72,9.87,9.5
2022-10-10 15:00:00,9.72,9.54,9.76,9.45
2022-10-11 09:00:00,9.44,8.86,9.44,8.62
2022-10-11 10:00:00,8.85,9.11,9.25,8.85
2022-10-11 11:00:00,9.14,9.34,9.4,9.12
2022-10-11 12:00:00,9.35,9.42,9.58,9.34
2022-10-11 13:00:00,9.43,9.24,9.48,9.16
2022-10-11 14:00:00,9.24,9.02,9.24,8.98
2022-10-11 15:00:00,9.03,9.3,9.4,9.03
2022-10-12 09:00:00,9.33,9.17,9.35,9.09
2022-10-12 10:00:00,9.15,9.49,9.53,9.15
2022-10-12 11:00:00,9.48,9.38,9.48,9.3
2022-10-12 12:00:00,9.36,9.42,9.47,9.31
2022-10-12 13:00:00,9.42,9.35,9.42,9.32
2022-10-12 14:00:00,9.33,9.44,9.45,9.28
2022-10-12 15:00:00,9.41,9.49,9.5,9.4
2022-10-13 09:00:00,9.18,8.91,9.21,8.78
2022-10-13 10:00:00,8.94,9.05,9.09,8.85
2022-10-13 11:00:00,9.05,9.02,9.15,8.99
2022-10-13 12:00:00,9.0,9.33,9.35,8.99
2022-10-13 13:00:00,9.32,9.36,9.73,9.27
2022-10-13 14:00:00,9.4,9.48,9.65,9.37
2022-10-13 15:00:00,9.5,9.35,9.52,9.34
2022-10-14 09:00:00,9.35,9.04,9.55,8.96
2022-10-14 10:00:00,9.03,8.71,9.03,8.71
2022-10-14 11:00:00,8.7,8.96,8.96,8.57
2022-10-14 12:00:00,8.94,8.95,9.04,8.89
2022-10-14 13:00:00,8.95,9.25,9.25,8.93
2022-10-14 14:00:00,9.27,9.2,9.34,9.17
2022-10-14 15:00:00,9.2,9.2,9.23,9.17
2022-10-17 09:00:00,9.41,9.34,10.05,9.24
2022-10-17 10:00:00,9.29,9.11,9.31,8.92
2022-10-17 11:00:00,9.12,9.21,9.25,9.07
2022-10-17 12:00:00,9.19,9.24,9.4,9.17
2022-10-17 13:00:00,9.26,9.41,9.46,9.26
2022-10-17 14:00:00,9.41,9.3,9.48,9.28
2022-10-17 15:00:00,9.29,9.31,9.42,9.26
2022-10-18 09:00:00,9.42,9.38,9.68,9.26
2022-10-18 10:00:00,9.4,9.46,9.49,9.37
2022-10-18 11:00:00,9.44,9.42,9.46,9.3
2022-10-18 12:00:00,9.42,9.38,9.46,9.3
2022-10-18 13:00:00,9.39,9.29,9.41,9.29
2022-10-18 14:00:00,9.29,9.36,9.38,9.29
2022-10-18 15:00:00,9.36,9.25,9.43,9.2
2022-10-19 09:00:00,8.98,9.17,9.17,8.88
2022-10-19 10:00:00,9.17,9.19,9.25,9.08
2022-10-19 11:00:00,9.2,9.64,9.68,9.13
2022-10-19 12:00:00,9.64,9.19,9.75,9.16
2022-10-19 13:00:00,9.17,9.55,9.55,9.13
2022-10-19 14:00:00,9.54,9.18,9.56,9.14
2022-10-19 15:00:00,9.19,9.24,9.25,9.15
2022-10-20 09:00:00,9.27,9.57,9.71,9.23
2022-10-20 10:00:00,9.61,9.73,9.74,9.48
2022-10-20 11:00:00,9.75,9.68,9.81,9.63
2022-10-20 12:00:00,9.69,9.63,9.8,9.63
2022-10-20 13:00:00,9.64,9.75,9.84,9.5
2022-10-20 14:00:00,9.75,9.56,9.86,9.5
2022-10-20 15:00:00,9.53,9.62,9.7,9.51
2022-10-21 09:00:00,9.65,9.69,10.0,9.43
2022-10-21 10:00:00,9.69,9.89,10.0,9.69
2022-10-21 11:00:00,9.92,10.07,10.1,9.81
2022-10-21 12:00:00,10.03,10.43,10.43,10.01
2022-10-21 13:00:00,10.44,10.39,10.53,10.28
2022-10-21 14:00:00,10.38,10.36,10.48,10.26
2022-10-21 15:00:00,10.34,10.11,10.35,10.08
2022-10-24 09:00:00,10.31,10.09,10.59,10.0
2022-10-24 10:00:00,10.12,10.15,10.21,10.05
2022-10-24 11:00:00,10.15,10.49,10.6,10.15
2022-10-24 12:00:00,10.48,10.54,10.76,10.47
2022-10-24 13:00:00,10.53,10.5,10.67,10.47
2022-10-24 14:00:00,10.5,10.51,10.53,10.36
2022-10-24 15:00:00,10.51,10.72,10.88,10.51
2022-10-25 09:00:00,10.75,10.06,10.75,10.04
2022-10-25 10:00:00,10.04,9.68,10.08,9.58
2022-10-25 11:00:00,9.65,9.87,9.95,9.59
2022-10-25 12:00:00,9.89,10.33,10.65,9.79
2022-10-25 13:00:00,10.35,10.15,10.35,10.12
2022-10-25 14:00:00,10.17,10.35,10.5,10.17
2022-10-25 15:00:00,10.34,10.28,10.5,10.28
2022-10-26 09:00:00,10.4,10.45,10.5,10.16
2022-10-26 10:00:00,10.44,10.38,10.45,10.3
2022-10-26 11:00:00,10.38,10.1,10.38,10.04
2022-10-26 12:00:00,10.11,10.11,10.11,9.89
2022-10-26 13:00:00,10.11,10.18,10.28,10.09
2022-10-26 14:00:00,10.19,10.13,10.34,9.91
2022-10-26 15:00:00,10.12,9.89,10.12,9.86
2022-10-27 09:00:00,9.96,10.05,10.13,9.65
2022-10-27 10:00:00,10.05,10.22,10.25,10.04
2022-10-27 11:00:00,10.22,10.3,10.48,10.22
2022-10-27 12:00:00,10.32,10.36,10.49,10.31
2022-10-27 13:00:00,10.36,10.38,10.44,10.26
2022-10-27 14:00:00,10.38,10.38,10.39,10.29
2022-10-27 15:00:00,10.38,10.41,10.42,10.3
2022-10-28 09:00:00,10.41,10.45,10.65,10.21
2022-10-28 10:00:00,10.47,10.71,10.76,10.45
2022-10-28 11:00:00,10.73,10.92,10.93,10.71
2022-10-28 12:00:00,10.91,11.1,11.15,10.89
2022-10-28 13:00:00,11.06,10.8,11.17,10.78
2022-10-28 14:00:00,10.81,10.94,10.95,10.8
2022-10-28 15:00:00,10.94,11.06,11.06,10.91
2022-10-31 09:00:00,10.98,11.48,11.71,10.79
2022-10-31 10:00:00,11.45,11.79,11.87,11.32
2022-10-31 11:00:00,11.8,11.62,12.0,11.54
2022-10-31 12:00:00,11.62,11.66,11.71,11.57
2022-10-31 13:00:00,11.66,11.48,11.66,11.41
2022-10-31 14:00:00,11.48,11.18,11.55,11.14
2022-10-31 15:00:00,11.19,11.2,11.25,11.06
2022-11-01 09:00:00,11.27,11.5,11.65,11.21
2022-11-01 10:00:00,11.48,11.25,11.58,11.21
2022-11-01 11:00:00,11.3,11.24,11.35,11.2
2022-11-01 12:00:00,11.25,11.27,11.38,11.24
2022-11-01 13:00:00,11.24,11.43,11.52,11.22
2022-11-01 14:00:00,11.42,11.51,11.54,11.42
2022-11-01 15:00:00,11.51,11.54,11.54,11.41
2022-11-02 09:00:00,11.48,11.13,11.48,10.61
2022-11-02 10:00:00,11.09,10.98,11.28,10.98
2022-11-02 11:00:00,10.98,11.2,11.25,10.95
2022-11-02 12:00:00,11.21,11.4,11.49,11.16
2022-11-02 13:00:00,11.33,11.57,11.58,11.29
2022-11-02 14:00:00,11.56,11.17,11.56,11.09
2022-11-02 15:00:00,11.16,11.13,11.26,11.1
2022-11-03 09:00:00,11.0,11.86,11.9,10.99
2022-11-03 10:00:00,11.85,11.86,12.41,11.76
2022-11-03 11:00:00,11.83,11.88,11.95,11.72
2022-11-03 12:00:00,11.86,11.78,11.88,11.65
2022-11-03 13:00:00,11.78,11.78,11.84,11.68
2022-11-03 14:00:00,11.8,11.94,11.95,11.8
2022-11-03 15:00:00,11.95,11.93,12.0,11.82
2022-11-04 09:00:00,11.6,11.54,11.97,10.66
2022-11-04 10:00:00,11.52,11.63,11.7601,11.51
2022-11-04 11:00:00,11.64,11.49,11.7,11.31
