datetime,open,close,high,low
2022-09-30 10:00:00,10.52,10.6,10.62,10.52
2022-09-30 11:00:00,10.6,10.52,10.62,10.51
2022-09-30 12:00:00,10.52,10.53,10.55,10.48
2022-09-30 13:00:00,10.51,10.46,10.52,10.46
2022-09-30 14:00:00,10.47,10.43,10.47,10.4
2022-09-30 15:00:00,10.43,10.36,10.43,10.34
2022-10-03 09:00:00,10.42,10.44,10.53,10.25
2022-10-03 10:00:00,10.44,10.43,10.46,10.41
2022-10-03 11:00:00,10.44,10.35,10.45,10.32
2022-10-03 12:00:00,10.35,10.38,10.39,10.34
2022-10-03 13:00:00,10.38,10.39,10.4,10.35
2022-10-03 14:00:00,10.39,10.44,10.46,10.39
2022-10-03 15:00:00,10.44,10.37,10.44,10.36
2022-10-04 09:00:00,10.47,10.46,10.6,10.46
2022-10-04 10:00:00,10.46,10.49,10.51,10.45
2022-10-04 11:00:00,10.5,10.53,10.54,10.48
2022-10-04 12:00:00,10.54,10.48,10.54,10.47
2022-10-04 13:00:00,10.49,10.5,10.52,10.48
2022-10-04 14:00:00,10.49,10.54,10.54,10.49
2022-10-04 15:00:00,10.54,10.6,10.6,10.53
2022-10-05 09:00:00,10.54,10.46,10.62,10.44
2022-10-05 10:00:00,10.46,10.41,10.47,10.41
2022-10-05 11:00:00,10.43,10.41,10.45,10.37
2022-10-05 12:00:00,10.42,10.44,10.51,10.42
2022-10-05 13:00:00,10.45,10.48,10.48,10.42
2022-10-05 14:00:00,10.48,10.5,10.54,10.47
2022-10-05 15:00:00,10.51,10.47,10.55,10.45
2022-10-06 09:00:00,10.41,10.24,10.41,10.24
2022-10-06 10:00:00,10.24,10.24,10.29,10.23
2022-10-06 11:00:00,10.23,10.26,10.27,10.21
2022-10-06 12:00:00,10.26,10.21,10.27,10.21
2022-10-06 13:00:00,10.19,10.21,10.23,10.19
2022-10-06 14:00:00,10.21,10.19,10.21,10.15
2022-10-06 15:00:00,10.19,10.15,10.21,10.14
2022-10-07 09:00:00,10.11,10.1,10.17,9.99
2022-10-07 10:00:00,10.11,10.14,10.16,10.06
2022-10-07 11:00:00,10.15,10.16,10.19,10.12
