datetime,open,close,high,low
2022-09-30 10:00:00,14.38,14.51,14.59,14.38
2022-09-30 11:00:00,14.5,13.97,14.52,13.95
2022-09-30 12:00:00,13.96,13.9,13.99,13.71
2022-09-30 13:00:00,13.86,13.67,13.86,13.64
2022-09-30 14:00:00,13.69,13.67,13.69,13.48
2022-09-30 15:00:00,13.66,13.66,13.7,13.58
2022-10-03 09:00:00,13.84,13.47,13.84,13.35
2022-10-03 10:00:00,13.5,13.11,13.54,13.09
2022-10-03 11:00:00,13.13,12.88,13.22,12.87
2022-10-03 12:00:00,12.88,13.19,13.19,12.88
2022-10-03 13:00:00,13.19,13.04,13.22,12.96
2022-10-03 14:00:00,13.05,13.15,13.18,13.05
2022-10-03 15:00:00,13.14,13.07,13.14,13.01
2022-10-04 09:00:00,13.21,13.15,13.44,13.05
2022-10-04 10:00:00,13.15,13.37,13.43,13.11
2022-10-04 11:00:00,13.39,13.16,13.4,13.14
2022-10-04 12:00:00,13.19,13.15,13.24,13.1
2022-10-04 13:00:00,13.15,13.2,13.25,13.15
2022-10-04 14:00:00,13.22,13.47,13.74,13.22
2022-10-04 15:00:00,13.47,13.71,13.74,13.42
2022-10-05 09:00:00,13.59,13.63,13.73,13.46
2022-10-05 10:00:00,13.63,13.88,13.88,13.6
2022-10-05 11:00:00,13.89,13.9,14.0,13.82
2022-10-05 12:00:00,13.91,14.05,14.15,13.9
2022-10-05 13:00:00,14.05,14.05,14.07,14.01
2022-10-05 14:00:00,14.05,14.16,14.19,14.03
2022-10-05 15:00:00,14.16,14.17,14.25,14.13
2022-10-06 09:00:00,14.06,13.7,14.35,13.66
2022-10-06 10:00:00,13.71,14.21,14.24,13.71
2022-10-06 11:00:00,14.18,14.35,14.41,14.16
2022-10-06 12:00:00,14.37,14.52,14.58,14.36
2022-10-06 13:00:00,14.53,14.51,14.53,14.39
2022-10-06 14:00:00,14.52,14.62,14.62,14.4
2022-10-06 15:00:00,14.62,14.72,14.8,14.59
2022-10-07 09:00:00,14.56,14.57,14.65,14.28
2022-10-07 10:00:00,14.52,14.47,14.71,14.47
2022-10-07 11:00:00,14.49,14.63,14.7,14.48
2022-10-07 12:00:00,14.6,14.67,14.67,14.55
2022-10-07 13:00:00,14.66,14.63,14.72,14.56
2022-10-07 14:00:00,14.63,14.61,14.77,14.6
2022-10-07 15:00:00,14.61,14.54,14.76,14.54
2022-10-10 09:00:00,14.43,14.28,14.5,14.05
2022-10-10 10:00:00,14.23,14.27,14.33,14.2
2022-10-10 11:00:00,14.28,14.22,14.33,14.2
2022-10-10 12:00:00,14.23,14.33,14.37,14.2
2022-10-10 13:00:00,14.33,14.4,14.53,14.32
2022-10-10 14:00:00,14.4,14.42,14.46,14.32
2022-10-10 15:00:00,14.43,14.3,14.44,14.23
2022-10-11 09:00:00,14.27,13.76,14.34,13.7
2022-10-11 10:00:00,13.77,14.02,14.03,13.76
2022-10-11 11:00:00,14.02,14.08,14.18,13.98
2022-10-11 12:00:00,14.04,14.05,14.18,14.02
2022-10-11 13:00:00,14.04,13.96,14.1,13.96
2022-10-11 14:00:00,13.96,13.45,13.99,13.43
2022-10-11 15:00:00,13.47,13.93,13.97,13.47
2022-10-12 09:00:00,13.92,14.75,14.75,13.8
2022-10-12 10:00:00,14.71,14.94,15.08,14.57
2022-10-12 11:00:00,14.93,14.98,15.04,14.86
2022-10-12 12:00:00,14.99,15.02,15.14,14.96
2022-10-12 13:00:00,15.02,15.13,15.15,15.02
2022-10-12 14:00:00,15.14,15.4,15.52,15.12
2022-10-12 15:00:00,15.4,15.27,15.4,15.2
2022-10-13 09:00:00,15.04,15.47,15.78,15.02
2022-10-13 10:00:00,15.46,15.49,15.93,15.37
2022-10-13 11:00:00,15.51,15.46,15.69,15.4
2022-10-13 12:00:00,15.46,15.58,15.63,15.4
2022-10-13 13:00:00,15.6,15.37,15.65,15.37
2022-10-13 14:00:00,15.37,15.8,15.8,15.25
2022-10-13 15:00:00,15.81,15.68,15.81,15.54
2022-10-14 09:00:00,15.79,15.55,15.93,15.41
2022-10-14 10:00:00,15.54,15.55,15.65,15.49
2022-10-14 11:00:00,15.54,15.78,15.79,15.53
2022-10-14 12:00:00,15.8,15.47,15.81,15.42
2022-10-14 13:00:00,15.46,15.24,15.5,15.24
2022-10-14 14:00:00,15.22,15.26,15.36,15.2
2022-10-14 15:00:00,15.24,15.11,15.28,15.08
2022-10-17 09:00:00,15.28,15.05,15.36,15.05
2022-10-17 10:00:00,15.05,14.95,15.06,14.64
2022-10-17 11:00:00,14.96,15.24,15.26,14.91
2022-10-17 12:00:00,15.23,15.13,15.31,15.13
2022-10-17 13:00:00,15.17,15.14,15.18,15.07
2022-10-17 14:00:00,15.16,15.32,15.34,15.12
2022-10-17 15:00:00,15.33,15.38,15.4,15.31
2022-10-18 09:00:00,15.41,15.78,15.9,15.4
2022-10-18 10:00:00,15.75,15.64,15.84,15.5
2022-10-18 11:00:00,15.65,15.71,15.83,15.52
2022-10-18 12:00:00,15.72,15.97,16.0,15.69
2022-10-18 13:00:00,15.99,15.97,16.02,15.82
2022-10-18 14:00:00,15.92,15.79,15.92,15.79
2022-10-18 15:00:00,15.81,15.85,15.99,15.8
2022-10-19 09:00:00,15.69,16.24,16.49,15.59
2022-10-19 10:00:00,16.2,16.02,16.25,15.99
2022-10-19 11:00:00,16.03,15.72,16.03,15.66
2022-10-19 12:00:00,15.72,15.75,15.81,15.65
2022-10-19 13:00:00,15.75,15.71,15.75,15.51
2022-10-19 14:00:00,15.71,15.65,15.74,15.46
2022-10-19 15:00:00,15.64,15.77,15.91,15.62
2022-10-20 09:00:00,15.6,15.71,16.1,15.6
2022-10-20 10:00:00,15.71,16.19,16.3,15.57
2022-10-20 11:00:00,16.17,16.0,16.24,15.86
2022-10-20 12:00:00,16.02,16.16,16.18,15.99
2022-10-20 13:00:00,16.16,16.05,16.16,15.99
2022-10-20 14:00:00,16.06,16.11,16.25,16.06
2022-10-20 15:00:00,16.14,16.21,16.25,16.09
2022-10-21 09:00:00,16.33,16.36,16.67,16.26
