datetime,open,close,high,low
2022-09-30 10:00:00,22.84,23.03,23.27,22.77
2022-09-30 11:00:00,22.98,22.81,23.14,22.72
2022-09-30 12:00:00,22.82,22.73,23.09,22.64
2022-09-30 13:00:00,22.77,22.33,22.77,22.25
2022-09-30 14:00:00,22.33,22.03,22.37,22.01
2022-09-30 15:00:00,22.03,21.77,22.03,21.72
2022-10-03 09:00:00,22.33,21.14,22.33,21.12
2022-10-03 10:00:00,21.16,21.0,21.5,20.89
2022-10-03 11:00:00,20.98,20.65,20.98,20.3
2022-10-03 12:00:00,20.65,20.64,20.69,20.55
2022-10-03 13:00:00,20.67,20.81,20.81,20.45
2022-10-03 14:00:00,20.83,21.02,21.09,20.82
2022-10-03 15:00:00,21.03,20.96,21.11,20.89
2022-10-04 09:00:00,21.29,21.54,21.98,21.29
2022-10-04 10:00:00,21.61,21.75,22.0,21.46
2022-10-04 11:00:00,21.75,21.76,21.86,21.66
2022-10-04 12:00:00,21.81,21.64,21.95,21.55
2022-10-04 13:00:00,21.69,21.93,21.98,21.69
2022-10-04 14:00:00,21.93,22.22,22.22,21.86
2022-10-04 15:00:00,22.21,22.57,22.61,22.13
2022-10-05 09:00:00,22.15,21.41,22.34,21.24
2022-10-05 10:00:00,21.34,21.96,22.0,21.34
2022-10-05 11:00:00,21.92,21.82,22.0,21.65
2022-10-05 12:00:00,21.84,22.03,22.15,21.84
2022-10-05 13:00:00,22.07,21.95,22.07,21.91
2022-10-05 14:00:00,21.95,22.28,22.28,21.95
2022-10-05 15:00:00,22.31,22.3,22.59,22.27
2022-10-06 09:00:00,22.05,21.48,22.49,21.48
2022-10-06 10:00:00,21.47,21.39,21.59,21.09
2022-10-06 11:00:00,21.37,21.53,21.56,21.26
2022-10-06 12:00:00,21.51,21.45,21.53,21.34
2022-10-06 13:00:00,21.45,21.57,21.63,21.41
2022-10-06 14:00:00,21.58,21.81,21.83,21.41
2022-10-06 15:00:00,21.82,21.31,21.82,21.29
2022-10-07 09:00:00,20.96,20.82,21.03,20.59
2022-10-07 10:00:00,20.69,20.56,20.94,20.52
2022-10-07 11:00:00,20.65,20.52,20.69,20.44
2022-10-07 12:00:00,20.56,20.74,20.75,20.5
2022-10-07 13:00:00,20.76,20.68,20.86,20.65
2022-10-07 14:00:00,20.61,20.32,20.81,20.3
2022-10-07 15:00:00,20.32,20.31,20.48,20.12
2022-10-10 09:00:00,20.26,20.08,20.48,19.71
2022-10-10 10:00:00,20.07,20.25,20.33,20.0
2022-10-10 11:00:00,20.17,19.74,20.22,19.67
2022-10-10 12:00:00,19.77,19.73,19.78,19.52
2022-10-10 13:00:00,19.75,19.69,20.02,19.66
2022-10-10 14:00:00,19.68,19.68,19.84,19.52
2022-10-10 15:00:00,19.66,19.57,19.81,19.52
2022-10-11 09:00:00,19.56,19.43,19.93,19.28
2022-10-11 10:00:00,19.41,20.04,20.38,19.41
2022-10-11 11:00:00,20.13,20.71,20.75,20.1
2022-10-11 12:00:00,20.75,20.63,20.88,20.63
2022-10-11 13:00:00,20.62,20.3,20.71,20.28
2022-10-11 14:00:00,20.28,19.41,20.28,19.35
2022-10-11 15:00:00,19.48,19.93,19.99,19.48
2022-10-12 09:00:00,19.82,19.17,20.13,19.06
2022-10-12 10:00:00,19.1,19.3,19.3,18.84
2022-10-12 11:00:00,19.35,19.53,19.77,19.31
2022-10-12 12:00:00,19.53,19.53,19.64,19.4
2022-10-12 13:00:00,19.5411,20.06,20.06,19.5411
2022-10-12 14:00:00,20.04,20.3,20.36,19.96
2022-10-12 15:00:00,20.25,20.17,20.27,20.09
2022-10-13 09:00:00,19.44,19.95,20.35,19.44
2022-10-13 10:00:00,20.02,20.6,20.84,19.88
2022-10-13 11:00:00,20.57,20.6,20.96,20.57
2022-10-13 12:00:00,20.5,20.89,20.89,20.5
2022-10-13 13:00:00,20.97,20.86,21.04,20.78
2022-10-13 14:00:00,20.76,21.01,21.11,20.68
2022-10-13 15:00:00,21.14,21.33,21.36,21.0
2022-10-14 09:00:00,21.88,21.11,21.99,20.78
2022-10-14 10:00:00,21.14,22.05,22.05,21.14
2022-10-14 11:00:00,22.07,22.03,22.09,21.59
2022-10-14 12:00:00,22.05,21.94,22.1,21.86
2022-10-14 13:00:00,22.0,22.32,22.39,21.98
2022-10-14 14:00:00,22.34,22.39,22.39,22.22
2022-10-14 15:00:00,22.35,22.025,22.35,22.0
2022-10-17 09:00:00,22.21,22.37,22.65,21.83
2022-10-17 10:00:00,22.32,22.78,22.88,22.26
2022-10-17 11:00:00,22.8,23.33,23.45,22.76
2022-10-17 12:00:00,23.33,23.45,23.55,23.25
2022-10-17 13:00:00,23.39,24.05,24.15,23.33
2022-10-17 14:00:00,24.05,23.54,24.05,23.54
2022-10-17 15:00:00,23.5,23.97,24.2,23.43
2022-10-18 09:00:00,24.36,25.46,26.12,24.36
2022-10-18 10:00:00,25.46,26.26,26.56,25.44
2022-10-18 11:00:00,26.25,26.68,26.81,25.77
2022-10-18 12:00:00,26.68,27.73,27.8,26.68
2022-10-18 13:00:00,27.76,27.2,27.78,27.19
2022-10-18 14:00:00,27.11,26.31,27.11,26.12
2022-10-18 15:00:00,26.34,26.28,26.74,26.23
2022-10-19 09:00:00,25.72,25.7,26.04,25.03
2022-10-19 10:00:00,25.73,24.98,25.73,24.62
2022-10-19 11:00:00,24.98,24.54,25.1,24.35
2022-10-19 12:00:00,24.51,23.97,24.68,23.83
2022-10-19 13:00:00,23.96,24.06,24.23,23.61
2022-10-19 14:00:00,24.06,23.64,24.06,23.24
2022-10-19 15:00:00,23.67,23.96,24.0,23.47
2022-10-20 09:00:00,23.78,24.38,24.6,23.78
2022-10-20 10:00:00,24.38,24.57,24.67,24.12
2022-10-20 11:00:00,24.57,24.48,24.82,24.4
2022-10-20 12:00:00,24.52,24.56,24.76,24.44
2022-10-20 13:00:00,24.46,24.23,24.47,24.17
2022-10-20 14:00:00,24.22,23.41,24.3,23.39
2022-10-20 15:00:00,23.41,23.42,23.6,23.35
2022-10-21 09:00:00,23.65,23.33,23.89,23.15
2022-10-21 10:00:00,23.3,23.73,23.73,23.09
2022-10-21 11:00:00,23.73,24.27,24.31,23.73
2022-10-21 12:00:00,24.27,24.44,24.64,24.27
2022-10-21 13:00:00,24.41,24.48,24.78,24.4
2022-10-21 14:00:00,24.51,24.8,24.82,24.43
2022-10-21 15:00:00,24.88,24.96,25.06,24.75
2022-10-24 09:00:00,25.0,24.03,25.14,23.9
2022-10-24 10:00:00,23.94,24.18,24.43,23.91
2022-10-24 11:00:00,24.2,24.42,24.77,24.08
2022-10-24 12:00:00,24.48,24.32,24.66,24.28
2022-10-24 13:00:00,24.26,24.64,24.67,24.17
2022-10-24 14:00:00,24.63,24.89,24.93,24.52
2022-10-24 15:00:00,24.89,25.11,25.43,24.89
2022-10-25 09:00:00,25.24,26.16,26.29,25.24
2022-10-25 10:00:00,26.05,26.27,26.52,25.78
2022-10-25 11:00:00,26.25,25.93,26.25,25.75
2022-10-25 12:00:00,25.97,25.83,26.22,25.78
2022-10-25 13:00:00,25.86,25.76,25.86,25.49
2022-10-25 14:00:00,25.75,25.65,26.02,25.51
2022-10-25 15:00:00,25.66,25.46,25.74,25.41
2022-10-26 09:00:00,25.42,27.02,27.09,25.42
2022-10-26 10:00:00,27.02,27.91,27.98,26.75
2022-10-26 11:00:00,27.93,27.0,27.98,27.0
2022-10-26 12:00:00,26.99,26.68,27.0,26.48
2022-10-26 13:00:00,26.65,26.69,26.85,26.54
2022-10-26 14:00:00,26.64,26.74,26.81,26.17
2022-10-26 15:00:00,26.72,26.88,26.99,26.72
2022-10-27 09:00:00,27.27,26.46,27.27,26.36
2022-10-27 10:00:00,26.56,26.53,26.65,26.0
2022-10-27 11:00:00,26.65,26.67,26.8,26.44
2022-10-27 12:00:00,26.69,26.75,26.86,26.48
2022-10-27 13:00:00,26.7,26.59,27.09,26.45
2022-10-27 14:00:00,26.56,26.56,26.65,26.4
2022-10-27 15:00:00,26.52,26.51,26.62,26.27
2022-10-28 09:00:00,26.75,27.8,28.37,26.64
2022-10-28 10:00:00,27.76,28.61,28.75,27.65
2022-10-28 11:00:00,28.72,28.96,29.16,28.64
2022-10-28 12:00:00,28.93,29.85,29.91,28.8
2022-10-28 13:00:00,29.82,30.07,30.25,29.68
2022-10-28 14:00:00,30.07,29.89,30.15,29.78
2022-10-28 15:00:00,29.87,29.99,30.07,29.73
2022-10-31 09:00:00,29.99,29.81,30.09,29.6
2022-10-31 10:00:00,29.69,29.79,30.06,29.55
2022-10-31 11:00:00,29.79,29.9,30.16,29.79
2022-10-31 12:00:00,29.85,30.13,30.16,29.68
2022-10-31 13:00:00,30.09,30.33,30.41,30.02
2022-10-31 14:00:00,30.38,30.37,30.62,29.99
2022-10-31 15:00:00,30.32,30.33,30.63,30.25
2022-11-01 09:00:00,30.66,30.74,31.46,30.11
2022-11-01 10:00:00,30.75,30.55,30.81,30.41
2022-11-01 11:00:00,30.61,30.41,30.73,30.29
2022-11-01 12:00:00,30.44,30.84,30.91,30.4
2022-11-01 13:00:00,30.85,30.8,30.91,30.72
2022-11-01 14:00:00,30.8,30.04,30.84,30.04
2022-11-01 15:00:00,30.05,29.95,30.19,29.84
2022-11-02 09:00:00,29.41,29.45,29.67,28.59
2022-11-02 10:00:00,29.4,29.07,29.49,29.0
2022-11-02 11:00:00,29.04,29.38,29.56,29.04
2022-11-02 12:00:00,29.38,29.74,29.99,29.27
2022-11-02 13:00:00,29.74,30.54,30.61,29.34
2022-11-02 14:00:00,30.57,29.09,30.57,29.0
2022-11-02 15:00:00,29.05,28.75,29.28,28.7
2022-11-03 09:00:00,29.53,31.37,31.37,27.67
2022-11-03 10:00:00,31.33,30.34,31.87,30.34
2022-11-03 11:00:00,30.26,30.39,30.75,30.26
2022-11-03 12:00:00,30.43,30.06,30.62,30.0
2022-11-03 13:00:00,30.07,30.62,30.78,29.85
2022-11-03 14:00:00,30.61,31.22,31.25,30.5
2022-11-03 15:00:00,31.2,30.83,31.42,30.78
2022-11-04 09:00:00,31.29,31.895,31.895,30.14
2022-11-04 10:00:00,31.83,32.0,32.555,31.755
2022-11-04 11:00:00,31.97,32.29,32.29,31.37
2022-11-04 12:00:00,32.21,31.11,32.25,30.99
2022-11-04 13:00:00,31.04,30.38,31.24,30.135
2022-11-04 14:00:00,30.43,30.375,30.71,30.34
2022-11-04 15:00:00,30.27,30.91,30.91,30.22
2022-11-07 09:00:00,30.47,29.46,30.67,29.045
2022-11-07 10:00:00,29.53,29.46,29.675,29.2
2022-11-07 11:00:00,29.5,29.35,29.505,29.14
2022-11-07 12:00:00,29.295,29.065,29.35,28.94
2022-11-07 13:00:00,29.005,29.075,29.11,28.63
2022-11-07 14:00:00,29.04,29.19,29.41,29.02
2022-11-07 15:00:00,29.26,29.08,29.35,28.97
2022-11-08 09:00:00,29.1,29.98,30.66,28.845
2022-11-08 10:00:00,30.09,30.47,30.62,29.7901
2022-11-08 11:00:00,30.61,30.73,31.06,30.49
2022-11-08 12:00:00,30.75,30.03,30.9499,30.01
2022-11-08 13:00:00,29.855,29.92,30.12,29.725
2022-11-08 14:00:00,29.89,30.215,30.27,29.87
2022-11-08 15:00:00,30.25,30.27,30.63,30.25
2022-11-09 09:00:00,30.1,29.06,30.1,29.04
2022-11-09 10:00:00,29.0,28.67,29.415,28.52
2022-11-09 11:00:00,28.615,29.115,29.205,28.495
2022-11-09 12:00:00,29.055,28.265,29.115,28.265
2022-11-09 13:00:00,28.26,27.86,28.31,27.8
2022-11-09 14:00:00,27.88,27.87,28.29,27.69
2022-11-09 15:00:00,27.86,27.84,28.09,27.76
2022-11-10 09:00:00,29.58,29.83,30.41,29.27
2022-11-10 10:00:00,29.95,31.01,31.02,29.42
2022-11-10 11:00:00,31.02,30.52,31.03,30.4
2022-11-10 12:00:00,30.56,30.095,30.58,30.03
2022-11-10 13:00:00,30.07,30.255,30.3,29.89
2022-11-10 14:00:00,30.22,30.645,30.73,30.07
2022-11-10 15:00:00,30.67,30.59,30.755,30.44
2022-11-11 09:00:00,30.24,32.105,32.655,29.98
2022-11-11 10:00:00,32.1,31.44,32.94,31.44
2022-11-11 11:00:00,31.34,30.88,31.53,30.81
2022-11-11 12:00:00,30.847,31.2,31.48,30.77
