datetime,open,close,high,low
2022-12-26 11:00:00,5.989,6.0,6.003,5.983
2022-12-26 12:00:00,6.005,5.99,6.009,5.99
2022-12-26 13:00:00,5.989,5.976,5.992,5.971
2022-12-26 14:00:00,5.977,5.98,5.99,5.975
2022-12-26 15:00:00,5.984,5.972,5.987,5.959
2022-12-26 16:00:00,5.968,5.97,5.983,5.962
2022-12-26 17:00:00,5.967,5.962,5.971,5.958
2022-12-26 18:00:00,5.962,5.963,5.972,5.961
2022-12-26 19:00:00,5.961,6.0,6.005,5.958
2022-12-26 20:00:00,5.999,6.02,6.027,5.998
2022-12-26 21:00:00,6.022,6.016,6.034,6.009
2022-12-26 22:00:00,6.012,6.013,6.018,6.003
2022-12-26 23:00:00,6.019,6.045,6.046,6.003
2022-12-27 00:00:00,6.05,6.02,6.06,6.006
2022-12-27 01:00:00,6.024,5.99,6.025,5.987
2022-12-27 02:00:00,5.99,5.992,5.993,5.982
2022-12-27 03:00:00,5.993,5.987,5.996,5.982
2022-12-27 04:00:00,5.99,5.994,5.994,5.983
2022-12-27 05:00:00,5.996,5.979,5.996,5.977
2022-12-27 06:00:00,5.979,6.003,6.003,5.978
2022-12-27 07:00:00,6.002,5.991,6.004,5.988
2022-12-27 08:00:00,5.993,5.991,6.0,5.981
2022-12-27 09:00:00,5.981,6.018,6.018,5.974
2022-12-27 10:00:00,6.021,6.009,6.031,6.004
2022-12-27 11:00:00,6.009,5.994,6.011,5.986
2022-12-27 12:00:00,5.996,5.97,5.996,5.968
2022-12-27 13:00:00,5.968,5.963,5.978,5.96
2022-12-27 14:00:00,5.961,5.931,5.97,5.921
2022-12-27 15:00:00,5.925,5.923,5.967,5.915
2022-12-27 16:00:00,5.924,5.907,5.932,5.907
2022-12-27 17:00:00,5.909,5.877,5.914,5.855
2022-12-27 18:00:00,5.877,5.877,5.889,5.866
2022-12-27 19:00:00,5.874,5.892,5.894,5.871
2022-12-27 20:00:00,5.892,5.874,5.897,5.865
2022-12-27 21:00:00,5.876,5.89,5.89,5.87
2022-12-27 22:00:00,5.889,5.884,5.891,5.879
2022-12-27 23:00:00,5.882,5.903,5.903,5.882
2022-12-28 00:00:00,5.894,5.875,5.91,5.872
2022-12-28 01:00:00,5.878,5.843,5.882,5.816
2022-12-28 02:00:00,5.844,5.825,5.851,5.822
2022-12-28 03:00:00,5.824,5.794,5.829,5.748
2022-12-28 04:00:00,5.788,5.789,5.799,5.779
2022-12-28 05:00:00,5.783,5.717,5.793,5.699
2022-12-28 06:00:00,5.717,5.735,5.744,5.715
2022-12-28 07:00:00,5.739,5.764,5.764,5.737
2022-12-28 08:00:00,5.76,5.755,5.775,5.743
