datetime,open,close,high,low
2022-09-29 10:00:00,6.1,6.2,6.2,6.04
2022-09-29 11:00:00,6.2,6.25,6.32,6.19
2022-09-29 12:00:00,6.24,6.24,6.24,6.24
2022-09-29 13:00:00,6.21,6.14,6.21,6.13
2022-09-29 14:00:00,6.15,6.17,6.17,6.15
2022-09-29 15:00:00,6.19,6.2,6.22,6.19
2022-09-30 09:00:00,6.225,6.28,6.3,6.135
2022-09-30 10:00:00,6.34,6.35,6.37,6.34
2022-09-30 11:00:00,6.37,6.26,6.37,6.235
2022-09-30 12:00:00,6.27,6.28,6.28,6.265
2022-09-30 13:00:00,6.28,6.221,6.28,6.21
2022-09-30 14:00:00,6.24,6.271,6.271,6.23
2022-09-30 15:00:00,6.28,6.23,6.28,6.23
2022-10-03 09:00:00,6.35,6.56,6.64,6.33
2022-10-03 10:00:00,6.56,6.54,6.62,6.52
2022-10-03 11:00:00,6.54,6.485,6.575,6.485
2022-10-03 12:00:00,6.481,6.51,6.51,6.44
2022-10-03 13:00:00,6.515,6.505,6.536,6.49
2022-10-03 14:00:00,6.525,6.6,6.6,6.525
2022-10-03 15:00:00,6.598,6.56,6.6,6.55
2022-10-04 09:00:00,6.65,6.693,6.693,6.58
2022-10-04 10:00:00,6.65,6.67,6.67,6.61
2022-10-04 11:00:00,6.685,6.765,6.8,6.65
2022-10-04 12:00:00,6.78,6.69,6.8,6.67
2022-10-04 13:00:00,6.68,6.7,6.74,6.675
2022-10-04 14:00:00,6.69,6.65,6.7,6.645
2022-10-04 15:00:00,6.64,6.63,6.655,6.61
2022-10-05 09:00:00,6.53,6.487,6.55,6.46
2022-10-05 10:00:00,6.48,6.58,6.58,6.48
2022-10-05 11:00:00,6.6,6.61,6.62,6.57
2022-10-05 12:00:00,6.617,6.65,6.65,6.595
2022-10-05 13:00:00,6.66,6.635,6.67,6.635
2022-10-05 14:00:00,6.66,6.65,6.66,6.649
2022-10-05 15:00:00,6.64,6.64,6.66,6.63
2022-10-06 09:00:00,6.54,6.57,6.65,6.54
2022-10-06 10:00:00,6.525,6.67,6.671,6.48
2022-10-06 11:00:00,6.655,6.76,6.77,6.655
2022-10-06 12:00:00,6.76,6.785,6.785,6.74
2022-10-06 13:00:00,6.77,6.78,6.855,6.75
2022-10-06 14:00:00,6.79,6.74,6.79,6.715
2022-10-06 15:00:00,6.75,6.74,6.78,6.74
2022-10-07 09:00:00,6.675,6.73,6.81,6.605
2022-10-07 10:00:00,6.66,6.69,6.69,6.64
2022-10-07 11:00:00,6.643,6.63,6.65,6.63
2022-10-07 12:00:00,6.61,6.64,6.66,6.61
2022-10-07 13:00:00,6.645,6.59,6.645,6.58
2022-10-07 14:00:00,6.605,6.65,6.75,6.605
2022-10-07 15:00:00,6.64,6.58,6.64,6.57
2022-10-10 09:00:00,6.67,6.605,6.67,6.5
2022-10-10 10:00:00,6.63,6.535,6.63,6.53
2022-10-10 11:00:00,6.56,6.55,6.58,6.55
2022-10-10 12:00:00,6.52,6.49,6.52,6.49
2022-10-10 13:00:00,6.51,6.54,6.569,6.51
2022-10-10 14:00:00,6.53,6.53,6.54,6.52
2022-10-10 15:00:00,6.53,6.62,6.65,6.53
2022-10-11 09:00:00,6.62,6.59,6.73,6.52
2022-10-11 10:00:00,6.6,6.66,6.68,6.51
2022-10-11 11:00:00,6.68,6.65,6.7,6.63
2022-10-11 12:00:00,6.69,6.66,6.69,6.65
2022-10-11 13:00:00,6.66,6.625,6.66,6.62
2022-10-11 14:00:00,6.61,6.455,6.62,6.442
2022-10-11 15:00:00,6.47,6.48,6.48,6.43
2022-10-12 09:00:00,6.61,6.48,6.63,6.36
2022-10-12 10:00:00,6.48,6.53,6.57,6.44
2022-10-12 11:00:00,6.51,6.52,6.583,6.51
2022-10-12 12:00:00,6.497,6.505,6.54,6.49
2022-10-12 13:00:00,6.495,6.523,6.54,6.475
2022-10-12 14:00:00,6.59,6.53,6.59,6.53
2022-10-12 15:00:00,6.528,6.54,6.55,6.52
2022-10-13 09:00:00,6.37,6.435,6.475,6.33
2022-10-13 10:00:00,6.45,6.625,6.66,6.45
2022-10-13 11:00:00,6.648,6.55,6.69,6.55
2022-10-13 12:00:00,6.55,6.63,6.63,6.54
2022-10-13 13:00:00,6.65,6.59,6.65,6.59
2022-10-13 14:00:00,6.62,6.59,6.64,6.57
2022-10-13 15:00:00,6.6,6.55,6.6,6.55
2022-10-14 09:00:00,6.67,6.5,6.67,6.49
