datetime,open,close,high,low
2022-12-26 11:00:00,70.6,70.52,70.93,70.46
2022-12-26 12:00:00,70.53,70.61,70.73,70.36
2022-12-26 13:00:00,70.58,70.41,70.69,70.38
2022-12-26 14:00:00,70.43,70.13,70.44,69.97
2022-12-26 15:00:00,70.13,69.9,70.2,69.79
2022-12-26 16:00:00,69.83,70.32,70.53,69.75
2022-12-26 17:00:00,70.24,70.1,70.24,69.93
2022-12-26 18:00:00,70.03,70.19,70.29,69.99
2022-12-26 19:00:00,70.19,70.23,70.42,70.16
2022-12-26 20:00:00,70.23,70.15,70.31,70.15
2022-12-26 21:00:00,70.17,69.97,70.23,69.89
2022-12-26 22:00:00,69.93,70.03,70.16,69.86
2022-12-26 23:00:00,70.08,70.77,70.84,69.92
2022-12-27 00:00:00,70.77,70.5,70.83,70.1
2022-12-27 01:00:00,70.52,70.63,70.64,70.28
2022-12-27 02:00:00,70.6,70.55,71.02,70.5
2022-12-27 03:00:00,70.51,70.45,70.62,70.38
2022-12-27 04:00:00,70.45,70.42,70.46,70.33
2022-12-27 05:00:00,70.36,70.09,70.4,69.98
2022-12-27 06:00:00,70.12,70.34,70.34,70.03
2022-12-27 07:00:00,70.34,70.29,70.38,70.21
2022-12-27 08:00:00,70.29,70.03,70.29,69.98
2022-12-27 09:00:00,69.95,70.44,70.44,69.73
2022-12-27 10:00:00,70.53,70.33,70.65,70.22
2022-12-27 11:00:00,70.31,70.22,70.4,70.04
2022-12-27 12:00:00,70.22,69.88,70.23,69.77
2022-12-27 13:00:00,69.85,69.77,70.15,69.76
2022-12-27 14:00:00,69.78,69.57,70.09,69.34
2022-12-27 15:00:00,69.46,69.92,70.12,69.37
2022-12-27 16:00:00,69.94,70.05,70.22,69.62
2022-12-27 17:00:00,70.09,68.94,70.12,68.69
2022-12-27 18:00:00,68.89,68.13,69.0,68.0
2022-12-27 19:00:00,68.02,68.25,68.28,67.85
2022-12-27 20:00:00,68.17,67.97,68.28,67.85
2022-12-27 21:00:00,67.99,68.14,68.14,67.81
2022-12-27 22:00:00,68.05,68.48,68.59,68.05
2022-12-27 23:00:00,68.47,68.68,68.87,68.47
2022-12-28 00:00:00,68.65,68.06,68.79,68.03
2022-12-28 01:00:00,68.11,68.64,68.81,67.85
2022-12-28 02:00:00,68.61,68.72,68.88,68.53
2022-12-28 03:00:00,68.7,68.51,69.45,68.25
2022-12-28 04:00:00,68.45,68.4,68.64,68.33
2022-12-28 05:00:00,68.38,67.66,68.69,67.28
2022-12-28 06:00:00,67.68,67.2,68.04,67.08
2022-12-28 07:00:00,67.17,67.57,67.66,67.17
2022-12-28 08:00:00,67.55,67.42,67.72,67.38
2022-12-28 09:00:00,67.42,67.65,67.87,67.31
2022-12-28 10:00:00,67.61,67.36,67.73,67.32
2022-12-28 11:00:00,67.34,67.39,67.5,67.09
2022-12-28 12:00:00,67.4,67.12,67.57,67.12
2022-12-28 13:00:00,67.12,67.3,67.5,67.12
2022-12-28 14:00:00,67.32,67.91,68.1,67.26
2022-12-28 15:00:00,67.97,67.42,68.16,67.42
2022-12-28 16:00:00,67.39,67.07,67.39,66.81
2022-12-28 17:00:00,67.04,67.5,67.5,66.84
2022-12-28 18:00:00,67.48,67.52,67.64,67.36
2022-12-28 19:00:00,67.51,67.12,67.57,67.12
2022-12-28 20:00:00,67.13,67.15,67.36,67.06
2022-12-28 21:00:00,67.17,66.47,67.22,66.24
2022-12-28 22:00:00,66.42,66.01,66.45,65.73
2022-12-28 23:00:00,66.0,66.32,66.34,66.0
2022-12-29 00:00:00,66.33,66.69,66.74,66.28
2022-12-29 01:00:00,66.75,66.35,66.75,66.35
2022-12-29 02:00:00,66.35,66.27,66.41,65.58
2022-12-29 03:00:00,66.34,66.38,66.4,66.14
2022-12-29 04:00:00,66.38,66.47,66.48,66.18
2022-12-29 05:00:00,66.47,66.39,66.58,66.22
2022-12-29 06:00:00,66.36,66.22,66.36,66.13
2022-12-29 07:00:00,66.21,66.21,66.28,65.83
2022-12-29 08:00:00,66.22,65.97,66.24,65.86
2022-12-29 09:00:00,65.97,66.55,66.58,65.97
2022-12-29 10:00:00,66.54,66.87,66.89,66.4
2022-12-29 11:00:00,66.9,66.83,67.04,66.65
2022-12-29 12:00:00,66.85,66.79,67.02,66.56
2022-12-29 13:00:00,66.78,66.7,67.03,66.63
2022-12-29 14:00:00,66.7,66.92,67.24,66.56
2022-12-29 15:00:00,66.98,67.0,67.17,66.88
2022-12-29 16:00:00,67.02,66.86,67.07,66.82
2022-12-29 17:00:00,66.87,66.66,66.95,66.58
2022-12-29 18:00:00,66.65,66.68,66.68,66.42
2022-12-29 19:00:00,66.71,66.46,66.78,66.24
2022-12-29 20:00:00,66.41,66.21,66.52,66.04
2022-12-29 21:00:00,66.18,66.05,66.27,66.04
2022-12-29 22:00:00,66.05,66.55,66.69,66.05
2022-12-29 23:00:00,66.53,66.66,66.95,66.5
2022-12-30 00:00:00,66.67,67.03,67.11,66.58
2022-12-30 01:00:00,67.01,66.78,67.01,66.49
2022-12-30 02:00:00,66.74,67.14,67.26,66.73
2022-12-30 03:00:00,67.23,67.15,67.62,67.11
2022-12-30 04:00:00,67.19,66.91,67.22,66.81
2022-12-30 05:00:00,66.9,66.51,66.9,66.26
2022-12-30 06:00:00,66.42,66.56,66.7,66.4
2022-12-30 07:00:00,66.58,66.44,66.58,66.09
2022-12-30 08:00:00,66.46,66.51,66.61,66.25
2022-12-30 09:00:00,66.54,66.74,66.81,66.52
2022-12-30 10:00:00,66.77,66.56,66.9,66.56
2022-12-30 11:00:00,66.63,66.62,66.77,66.47
2022-12-30 12:00:00,66.63,66.74,66.82,66.36
2022-12-30 13:00:00,66.74,66.57,66.81,66.52
2022-12-30 14:00:00,66.57,66.97,67.1,66.55
2022-12-30 15:00:00,66.95,67.82,67.88,66.82
2022-12-30 16:00:00,67.87,67.97,68.16,67.59
2022-12-30 17:00:00,67.96,67.57,67.96,67.48
2022-12-30 18:00:00,67.65,67.96,67.97,67.58
2022-12-30 19:00:00,67.95,67.92,68.14,67.81
2022-12-30 20:00:00,67.9,68.19,68.22,67.89
2022-12-30 21:00:00,68.25,67.84,68.44,67.84
2022-12-30 22:00:00,67.81,67.91,67.99,67.69
2022-12-30 23:00:00,67.96,67.94,68.16,67.89
2022-12-31 00:00:00,67.97,67.9,68.15,67.7
2022-12-31 01:00:00,67.88,67.95,67.99,67.62
2022-12-31 02:00:00,68.0,68.26,68.34,67.84
2022-12-31 03:00:00,68.26,68.01,68.26,67.96
2022-12-31 04:00:00,68.01,67.87,68.04,67.79
2022-12-31 05:00:00,67.88,67.87,68.05,67.85
2022-12-31 06:00:00,67.87,67.82,67.94,67.72
2022-12-31 07:00:00,67.83,67.99,68.0,67.72
2022-12-31 08:00:00,68.01,68.06,68.14,67.94
2022-12-31 09:00:00,68.07,68.02,68.11,67.95
2022-12-31 10:00:00,68.05,68.44,68.44,68.01
2022-12-31 11:00:00,68.44,68.44,68.49,68.3
2022-12-31 12:00:00,68.44,68.54,68.61,68.35
2022-12-31 13:00:00,68.58,70.85,71.03,68.51
2022-12-31 14:00:00,70.81,70.51,71.01,70.49
2022-12-31 15:00:00,70.46,70.05,70.51,70.0
2022-12-31 16:00:00,70.13,70.2,70.4,70.02
2022-12-31 17:00:00,70.19,70.08,70.32,69.84
2022-12-31 18:00:00,70.16,69.92,70.23,69.92
2022-12-31 19:00:00,69.93,70.14,70.29,69.93
2022-12-31 20:00:00,70.15,70.39,70.52,70.1
2022-12-31 21:00:00,70.41,70.25,70.44,70.2
2022-12-31 22:00:00,70.23,70.09,70.23,69.93
2022-12-31 23:00:00,70.09,70.08,70.26,69.81
2023-01-01 00:00:00,70.16,69.31,70.2,69.19
2023-01-01 01:00:00,69.26,69.51,69.58,69.2
2023-01-01 02:00:00,69.45,69.55,69.82,69.33
2023-01-01 03:00:00,69.46,69.56,69.8,69.43
2023-01-01 04:00:00,69.46,69.29,69.47,69.25
2023-01-01 05:00:00,69.29,69.42,69.44,69.05
2023-01-01 06:00:00,69.41,69.37,69.54,69.34
2023-01-01 07:00:00,69.38,69.51,69.52,69.19
2023-01-01 08:00:00,69.51,69.97,70.13,69.39
2023-01-01 09:00:00,69.93,70.45,70.46,69.78
2023-01-01 10:00:00,70.53,70.39,70.53,70.12
2023-01-01 11:00:00,70.4,70.22,70.46,70.16
2023-01-01 12:00:00,70.2,69.95,70.22,69.9
2023-01-01 13:00:00,69.96,69.69,69.96,69.62
2023-01-01 14:00:00,69.76,69.9,70.19,69.76
2023-01-01 15:00:00,69.88,70.36,70.45,69.88
2023-01-01 16:00:00,70.39,70.59,70.81,70.17
2023-01-01 17:00:00,70.77,70.92,71.21,70.65
2023-01-01 18:00:00,70.98,71.04,71.34,70.98
2023-01-01 19:00:00,71.08,70.92,71.18,70.86
2023-01-01 20:00:00,70.93,71.18,71.43,70.88
2023-01-01 21:00:00,71.14,71.14,71.42,71.09
2023-01-01 22:00:00,71.16,70.82,71.19,70.6
2023-01-01 23:00:00,70.76,70.91,70.91,70.57
2023-01-02 00:00:00,70.95,70.4,71.07,70.4
2023-01-02 01:00:00,70.42,70.15,70.55,70.08
2023-01-02 02:00:00,70.13,70.52,70.68,70.1
2023-01-02 03:00:00,70.51,70.96,71.0,70.37
2023-01-02 04:00:00,70.89,70.39,70.89,70.19
2023-01-02 05:00:00,70.4,70.57,70.69,70.27
2023-01-02 06:00:00,70.63,70.53,70.83,70.4
2023-01-02 07:00:00,70.54,74.73,76.55,70.44
2023-01-02 08:00:00,74.85,75.4,75.94,74.53
2023-01-02 09:00:00,75.39,75.16,75.81,75.09
2023-01-02 10:00:00,75.24,75.05,75.5,74.81
2023-01-02 11:00:00,75.07,75.31,75.33,74.9
2023-01-02 12:00:00,75.31,75.31,75.51,75.13
2023-01-02 13:00:00,75.34,75.32,75.61,75.13
2023-01-02 14:00:00,75.38,75.68,75.76,75.29
2023-01-02 15:00:00,75.7,75.16,75.78,75.09
2023-01-02 16:00:00,75.15,74.54,75.34,74.5
2023-01-02 17:00:00,74.51,74.77,74.77,74.41
2023-01-02 18:00:00,74.75,74.6,74.81,74.47
2023-01-02 19:00:00,74.58,74.84,74.88,74.52
2023-01-02 20:00:00,74.94,75.19,75.24,74.75
2023-01-02 21:00:00,75.2,75.39,75.51,75.09
2023-01-02 22:00:00,75.36,74.81,75.36,74.81
2023-01-02 23:00:00,74.72,74.77,75.15,74.72
2023-01-03 00:00:00,74.74,75.11,75.23,74.49
2023-01-03 01:00:00,75.04,75.36,75.36,74.68
2023-01-03 02:00:00,75.28,75.08,75.41,75.08
2023-01-03 03:00:00,75.06,75.63,75.69,75.03
2023-01-03 04:00:00,75.61,75.32,75.73,75.3
2023-01-03 05:00:00,75.25,75.77,75.82,75.2
2023-01-03 06:00:00,75.77,75.95,76.33,75.77
2023-01-03 07:00:00,76.05,75.94,76.27,75.9
2023-01-03 08:00:00,75.98,75.55,76.06,75.24
2023-01-03 09:00:00,75.57,75.8,75.96,75.47
2023-01-03 10:00:00,75.87,75.66,75.9,75.59
2023-01-03 11:00:00,75.64,75.44,75.7,75.38
2023-01-03 12:00:00,75.45,74.95,75.59,74.9
2023-01-03 13:00:00,75.05,75.13,75.32,74.98
2023-01-03 14:00:00,75.12,74.6,75.72,74.49
2023-01-03 15:00:00,74.68,74.63,74.97,73.72
2023-01-03 16:00:00,74.64,74.52,75.04,74.39
2023-01-03 17:00:00,74.56,75.55,75.89,74.56
2023-01-03 18:00:00,75.62,75.1,75.62,74.85
2023-01-03 19:00:00,75.09,75.13,75.23,74.86
2023-01-03 20:00:00,75.18,75.18,75.54,75.13
2023-01-03 21:00:00,75.17,75.29,75.45,75.08
2023-01-03 22:00:00,75.29,75.31,75.44,75.16
2023-01-03 23:00:00,75.32,75.57,75.68,75.3
2023-01-04 00:00:00,75.56,75.69,75.97,75.35
2023-01-04 01:00:00,75.71,76.38,76.72,75.71
2023-01-04 02:00:00,76.43,76.95,77.13,76.32
2023-01-04 03:00:00,76.99,77.53,77.84,76.87
2023-01-04 04:00:00,77.54,76.87,77.54,76.77
2023-01-04 05:00:00,76.89,76.64,76.9,76.58
2023-01-04 06:00:00,76.65,77.1,77.24,76.53
2023-01-04 07:00:00,77.14,76.68,77.24,76.6
2023-01-04 08:00:00,76.62,76.39,76.81,76.09
2023-01-04 09:00:00,76.41,76.28,76.62,76.21
2023-01-04 10:00:00,76.27,76.35,76.35,76.11
2023-01-04 11:00:00,76.35,76.18,76.37,76.02
2023-01-04 12:00:00,76.2,75.66,76.25,75.56
2023-01-04 13:00:00,75.66,76.26,76.32,75.64
2023-01-04 14:00:00,76.26,75.82,76.4,75.78
2023-01-04 15:00:00,75.83,76.18,76.25,75.28
2023-01-04 16:00:00,76.24,75.84,76.42,75.79
2023-01-04 17:00:00,75.88,75.87,76.65,75.66
2023-01-04 18:00:00,75.82,75.89,76.38,75.73
2023-01-04 19:00:00,75.92,75.24,76.01,74.63
2023-01-04 20:00:00,75.16,74.7,75.22,74.5
2023-01-04 21:00:00,74.66,74.86,75.0,74.66
2023-01-04 22:00:00,74.93,75.05,75.22,74.91
2023-01-04 23:00:00,75.03,75.41,75.53,75.0
2023-01-05 00:00:00,75.46,75.17,75.97,75.17
2023-01-05 01:00:00,75.24,75.39,75.67,74.9
2023-01-05 02:00:00,75.41,75.69,75.9,75.22
2023-01-05 03:00:00,75.72,75.74,75.8,75.44
2023-01-05 04:00:00,75.73,76.05,76.16,75.67
2023-01-05 05:00:00,76.08,75.8,76.26,75.79
2023-01-05 06:00:00,75.81,75.42,75.81,75.17
2023-01-05 07:00:00,75.37,75.26,75.39,74.98
2023-01-05 08:00:00,75.28,75.12,75.32,74.85
2023-01-05 09:00:00,75.13,74.73,75.13,74.55
2023-01-05 10:00:00,74.77,75.11,75.2,74.73
2023-01-05 11:00:00,75.13,75.03,75.18,74.91
2023-01-05 12:00:00,75.01,74.98,75.09,74.8
2023-01-05 13:00:00,74.96,74.14,74.96,74.14
2023-01-05 14:00:00,74.16,74.1,74.5,73.8
2023-01-05 15:00:00,74.06,74.37,74.58,74.03
2023-01-05 16:00:00,74.37,74.22,74.48,74.13
2023-01-05 17:00:00,74.19,73.77,74.3,73.71
2023-01-05 18:00:00,73.76,74.24,74.28,73.71
2023-01-05 19:00:00,74.33,74.85,74.97,74.28
2023-01-05 20:00:00,74.82,74.67,75.11,74.56
2023-01-05 21:00:00,74.66,74.57,74.69,74.44
2023-01-05 22:00:00,74.58,74.42,74.68,74.38
2023-01-05 23:00:00,74.45,74.24,74.62,74.02
2023-01-06 00:00:00,74.24,74.76,74.85,73.88
2023-01-06 01:00:00,74.83,74.97,75.44,74.73
2023-01-06 02:00:00,74.92,74.77,74.98,74.63
2023-01-06 03:00:00,74.65,74.23,74.77,74.23
2023-01-06 04:00:00,74.29,74.29,74.45,73.98
2023-01-06 05:00:00,74.21,73.97,74.26,73.74
2023-01-06 06:00:00,73.96,72.97,74.04,72.78
2023-01-06 07:00:00,72.97,73.27,73.39,72.85
2023-01-06 08:00:00,73.26,73.35,73.56,73.26
2023-01-06 09:00:00,73.34,73.32,73.36,73.03
2023-01-06 10:00:00,73.4,72.94,73.53,72.94
2023-01-06 11:00:00,73.0,73.76,73.94,72.79
2023-01-06 12:00:00,73.72,73.67,73.92,73.54
2023-01-06 13:00:00,73.69,74.54,74.94,73.4
2023-01-06 14:00:00,74.5,74.33,74.59,74.14
2023-01-06 15:00:00,74.4,75.24,75.36,74.4
2023-01-06 16:00:00,75.25,75.58,75.74,75.01
2023-01-06 17:00:00,75.55,75.44,75.67,75.26
2023-01-06 18:00:00,75.47,75.72,75.95,75.47
2023-01-06 19:00:00,75.76,75.87,76.06,75.55
2023-01-06 20:00:00,75.9,75.41,76.07,75.36
2023-01-06 21:00:00,75.52,75.54,75.82,75.5
2023-01-06 22:00:00,75.53,75.96,75.97,75.51
2023-01-06 23:00:00,75.95,75.93,76.45,75.84
2023-01-07 00:00:00,75.92,76.54,76.54,75.61
2023-01-07 01:00:00,76.45,76.11,76.58,75.92
2023-01-07 02:00:00,76.13,75.92,76.26,75.83
2023-01-07 03:00:00,75.92,76.15,76.27,75.67
2023-01-07 04:00:00,76.13,75.69,76.17,75.65
2023-01-07 05:00:00,75.67,75.94,76.01,75.67
2023-01-07 06:00:00,75.93,75.79,75.93,75.57
2023-01-07 07:00:00,75.78,76.05,76.18,75.69
2023-01-07 08:00:00,76.06,76.2,76.54,75.87
2023-01-07 09:00:00,76.21,76.3,76.67,76.16
2023-01-07 10:00:00,76.3,76.14,76.44,76.01
2023-01-07 11:00:00,76.07,75.88,76.18,75.88
2023-01-07 12:00:00,75.85,75.93,75.93,75.55
2023-01-07 13:00:00,75.91,75.81,76.03,75.74
2023-01-07 14:00:00,75.76,75.82,75.83,75.63
2023-01-07 15:00:00,75.77,75.93,75.95,75.76
2023-01-07 16:00:00,75.9,75.82,76.13,75.75
2023-01-07 17:00:00,75.8,76.09,76.1,75.7
2023-01-07 18:00:00,76.08,76.32,76.49,76.08
2023-01-07 19:00:00,76.31,76.44,76.62,76.27
2023-01-07 20:00:00,76.51,76.44,76.61,76.22
2023-01-07 21:00:00,76.39,76.46,76.65,76.38
2023-01-07 22:00:00,76.46,76.24,76.52,76.14
2023-01-07 23:00:00,76.2,76.34,76.47,76.19
2023-01-08 00:00:00,76.41,75.44,76.48,75.28
2023-01-08 01:00:00,75.45,75.59,75.69,75.38
2023-01-08 02:00:00,75.59,75.6,75.73,75.4
2023-01-08 03:00:00,75.62,75.7,75.76,75.54
2023-01-08 04:00:00,75.73,75.49,75.76,75.49
2023-01-08 05:00:00,75.49,75.73,75.73,75.46
2023-01-08 06:00:00,75.72,75.91,75.91,75.66
2023-01-08 07:00:00,75.93,75.81,75.96,75.75
2023-01-08 08:00:00,75.82,76.04,76.53,75.7
2023-01-08 09:00:00,76.08,76.17,76.48,75.94
2023-01-08 10:00:00,76.26,76.18,76.33,76.08
2023-01-08 11:00:00,76.2,76.13,76.4,76.13
2023-01-08 12:00:00,76.1,75.97,76.21,75.82
2023-01-08 13:00:00,75.96,75.86,76.06,75.69
2023-01-08 14:00:00,75.94,76.41,76.47,75.84
2023-01-08 15:00:00,76.3,76.72,76.75,76.14
2023-01-08 16:00:00,76.9,75.72,77.13,75.67
2023-01-08 17:00:00,75.73,75.84,75.91,75.6
2023-01-08 18:00:00,75.7,75.93,75.93,75.63
2023-01-08 19:00:00,75.93,75.9,76.04,75.78
2023-01-08 20:00:00,75.88,76.42,76.55,75.86
2023-01-08 21:00:00,76.41,76.47,76.62,76.27
2023-01-08 22:00:00,76.49,76.53,76.62,76.4
2023-01-08 23:00:00,76.6,78.48,78.48,76.6
2023-01-09 00:00:00,78.64,81.33,81.33,78.16
2023-01-09 01:00:00,81.14,81.59,82.29,80.75
2023-01-09 02:00:00,81.64,81.75,82.68,81.46
2023-01-09 03:00:00,81.88,82.03,82.39,81.59
2023-01-09 04:00:00,82.01,81.64,82.25,81.64
2023-01-09 05:00:00,81.64,81.77,82.5,81.64
2023-01-09 06:00:00,81.86,82.38,82.75,81.82
2023-01-09 07:00:00,82.32,82.39,82.86,82.09
2023-01-09 08:00:00,82.37,81.77,82.37,81.67
2023-01-09 09:00:00,81.79,82.37,82.65,81.79
2023-01-09 10:00:00,82.37,82.1,83.19,82.1
2023-01-09 11:00:00,82.17,81.73,82.4,81.73
2023-01-09 12:00:00,81.74,82.12,82.18,81.69
2023-01-09 13:00:00,82.06,81.66,82.38,81.34
2023-01-09 14:00:00,81.69,82.14,82.27,81.27
2023-01-09 15:00:00,82.19,82.9,83.38,81.87
2023-01-09 16:00:00,82.93,82.99,83.41,82.77
2023-01-09 17:00:00,82.99,82.73,83.13,82.29
2023-01-09 18:00:00,82.71,81.94,82.84,81.68
2023-01-09 19:00:00,81.97,81.53,82.17,81.53
2023-01-09 20:00:00,81.61,81.15,81.65,80.64
2023-01-09 21:00:00,81.2,81.13,81.56,81.01
2023-01-09 22:00:00,81.11,81.6,81.75,81.02
2023-01-09 23:00:00,81.58,81.63,82.0,81.12
2023-01-10 00:00:00,81.66,82.56,82.56,81.66
