datetime,open,close,high,low
2022-09-29 10:00:00,10.34,10.44,10.44,10.31
2022-09-29 11:00:00,10.43,10.43,10.48,10.4
2022-09-29 12:00:00,10.43,10.48,10.49,10.43
2022-09-29 13:00:00,10.47,10.42,10.47,10.4
2022-09-29 14:00:00,10.42,10.36,10.44,10.36
2022-09-29 15:00:00,10.37,10.45,10.45,10.37
2022-09-30 09:00:00,10.45,10.45,10.5,10.38
2022-09-30 10:00:00,10.45,10.5,10.53,10.45
2022-09-30 11:00:00,10.5,10.46,10.51,10.46
2022-09-30 12:00:00,10.46,10.53,10.53,10.46
2022-09-30 13:00:00,10.53,10.39,10.53,10.39
2022-09-30 14:00:00,10.38,10.32,10.39,10.29
2022-09-30 15:00:00,10.33,10.27,10.35,10.26
2022-10-03 09:00:00,10.34,10.44,10.47,10.28
2022-10-03 10:00:00,10.45,10.47,10.5,10.4
2022-10-03 11:00:00,10.47,10.45,10.5,10.45
2022-10-03 12:00:00,10.45,10.47,10.48,10.42
2022-10-03 13:00:00,10.47,10.49,10.49,10.46
2022-10-03 14:00:00,10.49,10.51,10.53,10.48
2022-10-03 15:00:00,10.5,10.45,10.51,10.42
2022-10-04 09:00:00,10.62,10.74,10.81,10.62
2022-10-04 10:00:00,10.76,10.78,10.79,10.72
2022-10-04 11:00:00,10.77,10.78,10.79,10.73
2022-10-04 12:00:00,10.79,10.74,10.79,10.72
2022-10-04 13:00:00,10.74,10.73,10.77,10.72
2022-10-04 14:00:00,10.73,10.79,10.83,10.73
2022-10-04 15:00:00,10.78,10.83,10.84,10.78
2022-10-05 09:00:00,10.67,10.72,10.74,10.67
2022-10-05 10:00:00,10.71,10.71,10.71,10.66
2022-10-05 11:00:00,10.71,10.74,10.76,10.69
2022-10-05 12:00:00,10.73,10.81,10.82,10.73
2022-10-05 13:00:00,10.81,10.82,10.82,10.79
2022-10-05 14:00:00,10.82,10.82,10.84,10.8
2022-10-05 15:00:00,10.82,10.8,10.84,10.78
2022-10-06 09:00:00,10.67,10.7,10.79,10.65
2022-10-06 10:00:00,10.7,10.72,10.73,10.69
2022-10-06 11:00:00,10.72,10.71,10.74,10.66
2022-10-06 12:00:00,10.7,10.71,10.71,10.69
2022-10-06 13:00:00,10.7,10.65,10.7,10.62
2022-10-06 14:00:00,10.64,10.68,10.68,10.6
2022-10-06 15:00:00,10.68,10.7,10.73,10.67
2022-10-07 09:00:00,10.62,10.52,10.62,10.45
2022-10-07 10:00:00,10.54,10.52,10.56,10.515
2022-10-07 11:00:00,10.52,10.51,10.54,10.49
2022-10-07 12:00:00,10.51,10.51,10.53,10.49
2022-10-07 13:00:00,10.51,10.51,10.52,10.49
2022-10-07 14:00:00,10.51,10.49,10.53,10.48
2022-10-07 15:00:00,10.48,10.52,10.53,10.46
2022-10-10 09:00:00,10.65,10.58,10.65,10.53
2022-10-10 10:00:00,10.58,10.53,10.58,10.5
2022-10-10 11:00:00,10.52,10.47,10.55,10.47
2022-10-10 12:00:00,10.48,10.48,10.49,10.46
2022-10-10 13:00:00,10.49,10.53,10.59,10.49
2022-10-10 14:00:00,10.54,10.52,10.56,10.52
2022-10-10 15:00:00,10.53,10.56,10.58,10.53
2022-10-11 09:00:00,10.46,10.49,10.5,10.44
2022-10-11 10:00:00,10.49,10.53,10.53,10.49
2022-10-11 11:00:00,10.53,10.6,10.6,10.53
2022-10-11 12:00:00,10.6,10.57,10.64,10.57
2022-10-11 13:00:00,10.59,10.58,10.6,10.56
2022-10-11 14:00:00,10.59,10.51,10.61,10.47
2022-10-11 15:00:00,10.53,10.55,10.57,10.52
2022-10-12 09:00:00,10.48,10.48,10.53,10.45
2022-10-12 10:00:00,10.48,10.45,10.51,10.44
2022-10-12 11:00:00,10.45,10.44,10.47,10.43
2022-10-12 12:00:00,10.43,10.41,10.43,10.4
2022-10-12 13:00:00,10.4,10.43,10.43,10.38
2022-10-12 14:00:00,10.45,10.4,10.46,10.4
2022-10-12 15:00:00,10.4,10.36,10.41,10.36
2022-10-13 09:00:00,10.19,10.14,10.23,10.07
2022-10-13 10:00:00,10.14,10.31,10.32,10.14
2022-10-13 11:00:00,10.32,10.35,10.43,10.31
2022-10-13 12:00:00,10.35,10.42,10.43,10.34
2022-10-13 13:00:00,10.42,10.41,10.48,10.4
2022-10-13 14:00:00,10.41,10.48,10.55,10.41
2022-10-13 15:00:00,10.48,10.48,10.49,10.45
2022-10-14 09:00:00,10.49,10.45,10.62,10.43
2022-10-14 10:00:00,10.46,10.41,10.48,10.33
2022-10-14 11:00:00,10.4,10.32,10.4,10.29
2022-10-14 12:00:00,10.33,10.29,10.36,10.27
2022-10-14 13:00:00,10.3,10.32,10.34,10.29
2022-10-14 14:00:00,10.31,10.36,10.36,10.29
2022-10-14 15:00:00,10.35,10.33,10.4,10.33
2022-10-17 09:00:00,10.52,10.71,10.8,10.52
2022-10-17 10:00:00,10.71,10.76,10.76,10.68
2022-10-17 11:00:00,10.76,10.77,10.79,10.74
2022-10-17 12:00:00,10.77,10.82,10.84,10.73
2022-10-17 13:00:00,10.83,10.79,10.83,10.78
2022-10-17 14:00:00,10.79,10.81,10.82,10.79
2022-10-17 15:00:00,10.8,10.83,10.84,10.78
2022-10-18 09:00:00,11.07,11.02,11.22,10.99
2022-10-18 10:00:00,11.02,10.92,11.04,10.91
2022-10-18 11:00:00,10.91,10.94,10.98,10.89
2022-10-18 12:00:00,10.95,10.99,11.02,10.95
2022-10-18 13:00:00,10.99,10.98,11.03,10.97
2022-10-18 14:00:00,11.0,10.9,11.0,10.87
2022-10-18 15:00:00,10.9,10.92,10.95,10.9
2022-10-19 09:00:00,10.88,10.93,10.93,10.82
2022-10-19 10:00:00,10.93,10.88,10.93,10.87
2022-10-19 11:00:00,10.88,10.84,10.91,10.84
2022-10-19 12:00:00,10.82,10.87,10.88,10.81
2022-10-19 13:00:00,10.86,10.9,10.9,10.83
2022-10-19 14:00:00,10.89,10.91,10.93,10.87
2022-10-19 15:00:00,10.91,10.94,10.96,10.91
2022-10-20 09:00:00,10.96,10.79,10.96,10.75
2022-10-20 10:00:00,10.8,10.77,10.82,10.74
2022-10-20 11:00:00,10.78,10.7,10.79,10.7
2022-10-20 12:00:00,10.71,10.62,10.71,10.59
2022-10-20 13:00:00,10.62,10.55,10.63,10.55
2022-10-20 14:00:00,10.55,10.6,10.62,10.55
2022-10-20 15:00:00,10.6,10.59,10.61,10.53
2022-10-21 09:00:00,10.65,10.65,10.73,10.56
2022-10-21 10:00:00,10.64,10.64,10.69,10.57
2022-10-21 11:00:00,10.64,10.66,10.72,10.64
2022-10-21 12:00:00,10.66,10.68,10.71,10.65
2022-10-21 13:00:00,10.68,10.67,10.71,10.65
2022-10-21 14:00:00,10.67,10.7,10.71,10.66
2022-10-21 15:00:00,10.7,10.68,10.71,10.66
2022-10-24 09:00:00,10.85,10.88,10.98,10.83
2022-10-24 10:00:00,10.88,10.88,10.89,10.86
2022-10-24 11:00:00,10.88,10.96,10.96,10.88
2022-10-24 12:00:00,10.96,10.93,10.99,10.92
2022-10-24 13:00:00,10.94,10.98,10.99,10.93
2022-10-24 14:00:00,10.98,11.01,11.03,10.97
2022-10-24 15:00:00,11.01,11.04,11.04,11.01
2022-10-25 09:00:00,10.95,11.14,11.16,10.95
2022-10-25 10:00:00,11.14,11.24,11.24,11.14
2022-10-25 11:00:00,11.23,11.28,11.3,11.23
2022-10-25 12:00:00,11.28,11.28,11.29,11.24
2022-10-25 13:00:00,11.28,11.29,11.3,11.27
2022-10-25 14:00:00,11.29,11.33,11.33,11.26
2022-10-25 15:00:00,11.34,11.34,11.37,11.32
2022-10-26 09:00:00,11.38,11.43,11.47,11.29
2022-10-26 10:00:00,11.42,11.46,11.46,11.38
2022-10-26 11:00:00,11.46,11.46,11.47,11.42
2022-10-26 12:00:00,11.46,11.39,11.46,11.38
2022-10-26 13:00:00,11.38,11.38,11.43,11.36
2022-10-26 14:00:00,11.38,11.39,11.4,11.37
2022-10-26 15:00:00,11.39,11.345,11.4,11.335
2022-10-27 09:00:00,11.48,11.54,11.54,11.4
2022-10-27 10:00:00,11.52,11.51,11.54,11.46
2022-10-27 11:00:00,11.52,11.49,11.52,11.45
2022-10-27 12:00:00,11.47,11.49,11.52,11.47
2022-10-27 13:00:00,11.49,11.44,11.52,11.44
2022-10-27 14:00:00,11.41,11.32,11.43,11.32
2022-10-27 15:00:00,11.32,11.31,11.36,11.27
2022-10-28 09:00:00,11.32,11.44,11.47,11.32
2022-10-28 10:00:00,11.45,11.49,11.5,11.42
2022-10-28 11:00:00,11.5,11.55,11.56,11.49
2022-10-28 12:00:00,11.57,11.59,11.6,11.57
2022-10-28 13:00:00,11.58,11.54,11.6,11.54
2022-10-28 14:00:00,11.54,11.62,11.62,11.54
2022-10-28 15:00:00,11.62,11.6,11.62,11.57
2022-10-31 09:00:00,11.46,11.62,11.67,11.46
2022-10-31 10:00:00,11.63,11.68,11.69,11.62
2022-10-31 11:00:00,11.68,11.69,11.71,11.65
2022-10-31 12:00:00,11.69,11.71,11.71,11.66
2022-10-31 13:00:00,11.72,11.73,11.74,11.71
2022-10-31 14:00:00,11.73,11.74,11.76,11.69
2022-10-31 15:00:00,11.74,11.71,11.76,11.71
2022-11-01 09:00:00,11.74,11.79,11.81,11.7
2022-11-01 10:00:00,11.79,11.7,11.81,11.7
2022-11-01 11:00:00,11.72,11.73,11.78,11.67
2022-11-01 12:00:00,11.73,11.77,11.78,11.72
2022-11-01 13:00:00,11.77,11.75,11.79,11.74
2022-11-01 14:00:00,11.76,11.7,11.76,11.7
2022-11-01 15:00:00,11.71,11.75,11.76,11.71
2022-11-02 09:00:00,11.63,11.65,11.67,11.59
2022-11-02 10:00:00,11.65,11.68,11.72,11.64
2022-11-02 11:00:00,11.7,11.65,11.71,11.63
2022-11-02 12:00:00,11.65,11.64,11.66,11.63
2022-11-02 13:00:00,11.64,11.82,11.84,11.64
2022-11-02 14:00:00,11.83,11.44,11.84,11.43
2022-11-02 15:00:00,11.44,11.44,11.49,11.44
2022-11-03 09:00:00,11.26,11.4,11.4,11.24
2022-11-03 10:00:00,11.4,11.38,11.41,11.34
2022-11-03 11:00:00,11.36,11.37,11.4,11.34
2022-11-03 12:00:00,11.38,11.38,11.41,11.36
2022-11-03 13:00:00,11.38,11.41,11.42,11.35
2022-11-03 14:00:00,11.41,11.39,11.42,11.39
2022-11-03 15:00:00,11.39,11.335,11.4,11.32
2022-11-04 09:00:00,11.45,11.5287,11.58,11.415
2022-11-04 10:00:00,11.53,11.44,11.555,11.44
2022-11-04 11:00:00,11.45,11.395,11.47,11.35
2022-11-04 12:00:00,11.39,11.39,11.415,11.35
2022-11-04 13:00:00,11.39,11.425,11.425,11.37
2022-11-04 14:00:00,11.425,11.455,11.465,11.415
2022-11-04 15:00:00,11.455,11.5,11.5,11.445
2022-11-07 09:00:00,11.58,11.635,11.635,11.52
2022-11-07 10:00:00,11.64,11.55,11.64,11.525
2022-11-07 11:00:00,11.545,11.565,11.57,11.51
2022-11-07 12:00:00,11.57,11.565,11.58,11.54
2022-11-07 13:00:00,11.565,11.62,11.62,11.56
2022-11-07 14:00:00,11.62,11.6451,11.648,11.58
2022-11-07 15:00:00,11.64,11.65,11.7,11.62
2022-11-08 09:00:00,11.52,11.62,11.85,11.38
2022-11-08 10:00:00,11.62,11.56,11.71,11.55
2022-11-08 11:00:00,11.56,11.4,11.6,11.4
2022-11-08 12:00:00,11.4,11.24,11.42,11.24
2022-11-08 13:00:00,11.24,11.07,11.27,11.07
2022-11-08 14:00:00,11.07,11.165,11.21,11.055
2022-11-08 15:00:00,11.165,11.29,11.35,11.165
2022-11-09 09:00:00,11.17,11.175,11.23,11.05
2022-11-09 10:00:00,11.18,11.13,11.19,11.09
2022-11-09 11:00:00,11.13,11.155,11.18,11.11
2022-11-09 12:00:00,11.16,11.11,11.21,11.11
2022-11-09 13:00:00,11.11,11.06,11.11,11.045
2022-11-09 14:00:00,11.06,10.95,11.06,10.93
2022-11-09 15:00:00,10.95,10.93,10.96,10.875
2022-11-10 09:00:00,11.31,11.21,11.33,11.075
2022-11-10 10:00:00,11.205,11.305,11.35,11.195
2022-11-10 11:00:00,11.305,11.235,11.34,11.23
2022-11-10 12:00:00,11.23,11.255,11.255,11.195
2022-11-10 13:00:00,11.255,11.3,11.3269,11.24
2022-11-10 14:00:00,11.3,11.255,11.3,11.25
2022-11-10 15:00:00,11.255,11.23,11.255,11.21
2022-11-11 09:00:00,11.27,11.19,11.27,11.08
2022-11-11 10:00:00,11.18,11.08,11.18,11.04
2022-11-11 11:00:00,11.075,11.045,11.11,11.045
2022-11-11 12:00:00,11.04,11.155,11.155,10.97
2022-11-11 13:00:00,11.155,11.225,11.23,11.13
2022-11-11 14:00:00,11.225,11.1809,11.245,11.165
2022-11-11 15:00:00,11.18,11.195,11.24,11.17
2022-11-14 09:00:00,11.11,11.05,11.2,10.96
2022-11-14 10:00:00,11.055,11.12,11.1401,11.05
2022-11-14 11:00:00,11.125,11.155,11.19,11.125
2022-11-14 12:00:00,11.155,11.195,11.2,11.125
2022-11-14 13:00:00,11.195,11.18,11.23,11.17
2022-11-14 14:00:00,11.175,11.145,11.18,11.13
2022-11-14 15:00:00,11.145,11.115,11.17,11.1
2022-11-15 09:00:00,11.23,11.3,11.35,11.21
2022-11-15 10:00:00,11.295,11.285,11.345,11.285
2022-11-15 11:00:00,11.29,11.31,11.345,11.2815
2022-11-15 12:00:00,11.31,11.26,11.32,11.245
2022-11-15 13:00:00,11.26,11.32,11.34,11.19
2022-11-15 14:00:00,11.32,11.365,11.38,11.29
2022-11-15 15:00:00,11.365,11.41,11.42,11.35
2022-11-16 09:00:00,11.42,11.415,11.47,11.305
2022-11-16 10:00:00,11.41,11.435,11.44,11.375
2022-11-16 11:00:00,11.435,11.43,11.485,11.415
2022-11-16 12:00:00,11.42,11.41,11.475,11.41
2022-11-16 13:00:00,11.415,11.435,11.44,11.39
2022-11-16 14:00:00,11.435,11.395,11.445,11.375
2022-11-16 15:00:00,11.39,11.385,11.4,11.36
2022-11-17 09:00:00,11.22,11.245,11.37,11.15
2022-11-17 10:00:00,11.245,11.23,11.245,11.2
2022-11-17 11:00:00,11.225,11.225,11.255,11.22
2022-11-17 12:00:00,11.225,11.23,11.275,11.21
2022-11-17 13:00:00,11.235,11.235,11.26,11.22
2022-11-17 14:00:00,11.24,11.195,11.25,11.195
2022-11-17 15:00:00,11.195,11.27,11.28,11.19
2022-11-18 09:00:00,11.44,11.465,11.5,11.34
2022-11-18 10:00:00,11.47,11.45,11.498,11.4325
2022-11-18 11:00:00,11.455,11.385,11.48,11.365
2022-11-18 12:00:00,11.39,11.33,11.4,11.31
2022-11-18 13:00:00,11.32,11.31,11.345,11.29
2022-11-18 14:00:00,11.32,11.28,11.325,11.26
2022-11-18 15:00:00,11.28,11.34,11.34,11.27
2022-11-21 09:00:00,11.85,11.788,12.02,11.72
2022-11-21 10:00:00,11.785,11.65,11.8393,11.645
2022-11-21 11:00:00,11.655,11.575,11.675,11.57
2022-11-21 12:00:00,11.57,11.585,11.61,11.55
2022-11-21 13:00:00,11.585,11.565,11.595,11.555
2022-11-21 14:00:00,11.56,11.57,11.595,11.54
2022-11-21 15:00:00,11.575,11.58,11.62,11.56
2022-11-22 09:00:00,11.57,11.635,11.66,11.535
2022-11-22 10:00:00,11.64,11.645,11.655,11.575
2022-11-22 11:00:00,11.645,11.595,11.65,11.585
2022-11-22 12:00:00,11.595,11.61,11.62,11.575
2022-11-22 13:00:00,11.615,11.635,11.655,11.6
2022-11-22 14:00:00,11.635,11.69,11.69,11.62
2022-11-22 15:00:00,11.69,11.745,11.75,11.685
2022-11-23 09:00:00,11.72,11.705,11.77,11.68
2022-11-23 10:00:00,11.705,11.71,11.725,11.69
2022-11-23 11:00:00,11.715,11.66,11.715,11.655
2022-11-23 12:00:00,11.66,11.677,11.68,11.65
2022-11-23 13:00:00,11.68,11.68,11.71,11.66
2022-11-23 14:00:00,11.67,11.65,11.67,11.61
2022-11-23 15:00:00,11.65,11.6,11.655,11.59
2022-11-25 09:00:00,11.65,11.715,11.745,11.62
2022-11-25 10:00:00,11.715,11.705,11.73,11.665
2022-11-25 11:00:00,11.705,11.72,11.73,11.7
2022-11-25 12:00:00,11.7195,11.67,11.72,11.65
2022-11-28 09:00:00,11.59,11.56,11.7,11.51
2022-11-28 10:00:00,11.56,11.465,11.56,11.465
2022-11-28 11:00:00,11.465,11.465,11.485,11.42
2022-11-28 12:00:00,11.46,11.435,11.465,11.42
2022-11-28 13:00:00,11.435,11.385,11.445,11.38
2022-11-28 14:00:00,11.385,11.375,11.395,11.36
2022-11-28 15:00:00,11.375,11.435,11.44,11.37
2022-11-29 09:00:00,11.33,11.44,11.45,11.33
2022-11-29 10:00:00,11.45,11.375,11.45,11.37
2022-11-29 11:00:00,11.375,11.4,11.42,11.375
2022-11-29 12:00:00,11.395,11.415,11.45,11.395
2022-11-29 13:00:00,11.415,11.4295,11.47,11.41
2022-11-29 14:00:00,11.42,11.435,11.45,11.41
2022-11-29 15:00:00,11.435,11.42,11.45,11.41
2022-11-30 09:00:00,11.37,11.315,11.45,11.29
2022-11-30 10:00:00,11.32,11.335,11.365,11.3
2022-11-30 11:00:00,11.335,11.24,11.35,11.24
2022-11-30 12:00:00,11.245,11.325,11.325,11.245
2022-11-30 13:00:00,11.32,11.56,11.56,11.295
2022-11-30 14:00:00,11.555,11.515,11.555,11.485
2022-11-30 15:00:00,11.515,11.65,11.66,11.51
2022-12-01 09:00:00,11.73,11.59,11.86,11.59
2022-12-01 10:00:00,11.59,11.685,11.765,11.575
2022-12-01 11:00:00,11.685,11.625,11.6904,11.595
2022-12-01 12:00:00,11.625,11.595,11.64,11.595
2022-12-01 13:00:00,11.59,11.64,11.64,11.57
2022-12-01 14:00:00,11.64,11.69,11.7,11.64
2022-12-01 15:00:00,11.68,11.7,11.71,11.665
2022-12-02 09:00:00,11.52,11.6,11.645,11.52
2022-12-02 10:00:00,11.595,11.63,11.645,11.59
2022-12-02 11:00:00,11.6381,11.69,11.715,11.6381
2022-12-02 12:00:00,11.685,11.72,11.735,11.68
2022-12-02 13:00:00,11.72,11.715,11.738,11.705
2022-12-02 14:00:00,11.715,11.745,11.795,11.715
2022-12-02 15:00:00,11.745,11.77,11.78,11.73
2022-12-05 09:00:00,11.64,11.54,11.73,11.52
2022-12-05 10:00:00,11.53,11.5,11.56,11.49
2022-12-05 11:00:00,11.505,11.525,11.53,11.465
2022-12-05 12:00:00,11.52,11.52,11.555,11.51
2022-12-05 13:00:00,11.525,11.515,11.53,11.5
2022-12-05 14:00:00,11.51,11.485,11.52,11.48
2022-12-05 15:00:00,11.485,11.58,11.59,11.48
2022-12-06 09:00:00,11.58,11.5,11.67,11.5
2022-12-06 10:00:00,11.5,11.405,11.505,11.39
2022-12-06 11:00:00,11.4,11.39,11.42,11.37
2022-12-06 12:00:00,11.38,11.37,11.4,11.355
2022-12-06 13:00:00,11.37,11.325,11.385,11.31
2022-12-06 14:00:00,11.325,11.36,11.36,11.305
2022-12-06 15:00:00,11.36,11.39,11.43,11.355
2022-12-07 09:00:00,11.28,11.41,11.41,11.27
2022-12-07 10:00:00,11.41,11.44,11.49,11.395
2022-12-07 11:00:00,11.435,11.42,11.48,11.415
2022-12-07 12:00:00,11.425,11.455,11.47,11.41
2022-12-07 13:00:00,11.455,11.43,11.455,11.3901
2022-12-07 14:00:00,11.435,11.45,11.465,11.425
2022-12-07 15:00:00,11.45,11.45,11.46,11.44
2022-12-08 09:00:00,11.48,11.52,11.53,11.395
2022-12-08 10:00:00,11.52,11.505,11.58,11.4907
2022-12-08 11:00:00,11.505,11.51,11.525,11.495
2022-12-08 12:00:00,11.505,11.525,11.525,11.4911
2022-12-08 13:00:00,11.53,11.517,11.545,11.485
2022-12-08 14:00:00,11.51,11.505,11.53,11.49
2022-12-08 15:00:00,11.505,11.55,11.55,11.495
2022-12-09 09:00:00,11.51,11.59,11.64,11.46
2022-12-09 10:00:00,11.6,11.62,11.625,11.56
2022-12-09 11:00:00,11.62,11.59,11.64,11.59
2022-12-09 12:00:00,11.59,11.54,11.605,11.53
2022-12-09 13:00:00,11.55,11.525,11.55,11.5
2022-12-09 14:00:00,11.52,11.445,11.525,11.44
2022-12-09 15:00:00,11.445,11.395,11.47,11.39
2022-12-12 09:00:00,11.41,11.39,11.425,11.35
2022-12-12 10:00:00,11.38,11.43,11.43,11.37
2022-12-12 11:00:00,11.4225,11.385,11.43,11.37
2022-12-12 12:00:00,11.385,11.395,11.42,11.385
2022-12-12 13:00:00,11.4,11.445,11.45,11.395
2022-12-12 14:00:00,11.445,11.51,11.51,11.43
2022-12-12 15:00:00,11.5025,11.555,11.56,11.5
2022-12-13 09:00:00,11.79,11.73,11.91,11.7
2022-12-13 10:00:00,11.73,11.665,11.755,11.64
2022-12-13 11:00:00,11.67,11.64,11.71,11.62
2022-12-13 12:00:00,11.64,11.665,11.67,11.58
2022-12-13 13:00:00,11.66,11.64,11.67,11.62
2022-12-13 14:00:00,11.635,11.64,11.685,11.6
