datetime,open,close,high,low
2022-09-30 10:00:00,8.76,8.73,8.79,8.72
2022-09-30 11:00:00,8.72,8.71,8.74,8.62
2022-09-30 12:00:00,8.72,8.71,8.77,8.7
2022-09-30 13:00:00,8.73,8.65,8.73,8.59
2022-09-30 14:00:00,8.68,8.58,8.68,8.52
2022-09-30 15:00:00,8.59,8.43,8.59,8.42
2022-10-03 09:00:00,9.06,8.81,9.06,8.47
2022-10-03 10:00:00,8.83,8.68,8.91,8.67
2022-10-03 11:00:00,8.68,8.41,8.69,8.37
2022-10-03 12:00:00,8.4,8.54,8.54,8.36
2022-10-03 13:00:00,8.54,8.56,8.59,8.41
2022-10-03 14:00:00,8.58,8.64,8.66,8.54
2022-10-03 15:00:00,8.65,8.58,8.66,8.55
2022-10-04 09:00:00,8.83,8.85,9.01,8.81
2022-10-04 10:00:00,8.85,8.89,8.95,8.8
2022-10-04 11:00:00,8.89,8.91,8.91,8.84
2022-10-04 12:00:00,8.92,8.85,8.92,8.82
2022-10-04 13:00:00,8.85,8.86,8.9,8.84
2022-10-04 14:00:00,8.85,8.88,8.88,8.82
2022-10-04 15:00:00,8.88,8.83,8.88,8.81
2022-10-05 09:00:00,8.7,8.35,8.79,8.34
2022-10-05 10:00:00,8.36,8.54,8.58,8.35
2022-10-05 11:00:00,8.53,8.6,8.63,8.5
2022-10-05 12:00:00,8.6,8.73,8.76,8.6
2022-10-05 13:00:00,8.72,8.58,8.72,8.58
2022-10-05 14:00:00,8.6,8.62,8.63,8.56
2022-10-05 15:00:00,8.62,8.62,8.71,8.6
2022-10-06 09:00:00,8.62,8.61,8.78,8.57
2022-10-06 10:00:00,8.56,8.58,8.62,8.55
2022-10-06 11:00:00,8.58,8.61,8.63,8.56
2022-10-06 12:00:00,8.63,8.66,8.67,8.62
2022-10-06 13:00:00,8.65,8.69,8.71,8.62
2022-10-06 14:00:00,8.7,8.71,8.71,8.62
2022-10-06 15:00:00,8.71,8.65,8.71,8.61
2022-10-07 09:00:00,8.52,8.45,8.56,8.24
2022-10-07 10:00:00,8.4,8.38,8.49,8.38
2022-10-07 11:00:00,8.37,8.45,8.47,8.35
2022-10-07 12:00:00,8.44,8.46,8.48,8.41
2022-10-07 13:00:00,8.46,8.38,8.48,8.36
2022-10-07 14:00:00,8.37,8.27,8.44,8.27
2022-10-07 15:00:00,8.27,8.31,8.32,8.21
2022-10-10 09:00:00,8.3,8.24,8.32,8.14
2022-10-10 10:00:00,8.25,8.19,8.26,8.17
2022-10-10 11:00:00,8.2,8.11,8.22,8.11
2022-10-10 12:00:00,8.11,8.08,8.14,8.03
2022-10-10 13:00:00,8.08,8.16,8.23,8.08
2022-10-10 14:00:00,8.16,8.15,8.22,8.14
2022-10-10 15:00:00,8.17,8.08,8.2,8.06
2022-10-11 09:00:00,8.06,7.99,8.06,7.87
2022-10-11 10:00:00,8.02,8.14,8.15,8.02
2022-10-11 11:00:00,8.15,8.27,8.29,8.15
2022-10-11 12:00:00,8.27,8.28,8.34,8.25
2022-10-11 13:00:00,8.26,8.13,8.29,8.13
2022-10-11 14:00:00,8.14,7.99,8.14,7.96
2022-10-11 15:00:00,8.0,8.16,8.18,8.0
2022-10-12 09:00:00,8.18,8.02,8.25,7.98
2022-10-12 10:00:00,8.03,8.09,8.16,8.03
2022-10-12 11:00:00,8.09,8.08,8.15,8.07
2022-10-12 12:00:00,8.06,8.05,8.12,8.03
2022-10-12 13:00:00,8.05,8.14,8.15,8.03
2022-10-12 14:00:00,8.14,8.18,8.21,8.1
2022-10-12 15:00:00,8.17,8.17,8.2,8.1
2022-10-13 09:00:00,7.95,7.89,8.06,7.87
2022-10-13 10:00:00,7.89,8.14,8.15,7.88
2022-10-13 11:00:00,8.14,8.16,8.26,8.11
2022-10-13 12:00:00,8.16,8.31,8.31,8.16
2022-10-13 13:00:00,8.33,8.22,8.34,8.22
2022-10-13 14:00:00,8.23,8.32,8.36,8.22
2022-10-13 15:00:00,8.33,8.34,8.36,8.29
2022-10-14 09:00:00,8.39,8.23,8.51,8.19
2022-10-14 10:00:00,8.22,8.18,8.3,8.15
2022-10-14 11:00:00,8.17,8.19,8.2,8.12
2022-10-14 12:00:00,8.21,8.11,8.22,8.1
2022-10-14 13:00:00,8.11,8.04,8.14,8.04
2022-10-14 14:00:00,8.06,8.04,8.1,8.04
2022-10-14 15:00:00,8.04,7.99,8.09,7.94
2022-10-17 09:00:00,8.13,8.08,8.33,8.07
2022-10-17 10:00:00,8.08,8.18,8.18,7.99
