datetime,open,close,high,low
2022-09-29 10:00:00,7.26,7.27,7.3,7.24
2022-09-29 11:00:00,7.27,7.28,7.36,7.25
2022-09-29 12:00:00,7.29,7.28,7.3,7.24
2022-09-29 13:00:00,7.27,7.2,7.29,7.16
2022-09-29 14:00:00,7.195,7.225,7.23,7.17
2022-09-29 15:00:00,7.225,7.26,7.28,7.2
2022-09-30 09:00:00,7.28,7.31,7.315,7.175
2022-09-30 10:00:00,7.315,7.32,7.36,7.27
2022-09-30 11:00:00,7.32,7.09,7.33,7.09
2022-09-30 12:00:00,7.09,7.085,7.135,7.08
2022-09-30 13:00:00,7.09,7.2,7.21,7.08
2022-09-30 14:00:00,7.2,7.04,7.235,7.02
2022-09-30 15:00:00,7.045,7.05,7.16,7.0
2022-10-03 09:00:00,7.21,7.16,7.21,6.79
2022-10-03 10:00:00,7.185,7.2,7.22,7.1
2022-10-03 11:00:00,7.2,7.1408,7.205,7.13
2022-10-03 12:00:00,7.14,7.18,7.21,7.115
2022-10-03 13:00:00,7.185,7.235,7.32,7.18
2022-10-03 14:00:00,7.235,7.215,7.28,7.21
2022-10-03 15:00:00,7.2101,7.195,7.235,7.18
2022-10-04 09:00:00,7.32,7.46,7.53,7.29
2022-10-04 10:00:00,7.44,7.61,7.64,7.42
2022-10-04 11:00:00,7.61,7.62,7.65,7.57
2022-10-04 12:00:00,7.615,7.6,7.63,7.55
2022-10-04 13:00:00,7.6,7.65,7.71,7.595
2022-10-04 14:00:00,7.66,7.71,7.76,7.66
2022-10-04 15:00:00,7.71,7.74,7.775,7.69
2022-10-05 09:00:00,7.55,7.32,7.58,7.16
2022-10-05 10:00:00,7.32,7.3,7.33,7.24
2022-10-05 11:00:00,7.3,7.23,7.3,7.22
2022-10-05 12:00:00,7.22,7.31,7.35,7.21
2022-10-05 13:00:00,7.31,7.35,7.4,7.31
2022-10-05 14:00:00,7.37,7.325,7.38,7.31
2022-10-05 15:00:00,7.325,7.31,7.35,7.26
2022-10-06 09:00:00,7.25,7.19,7.355,7.1138
2022-10-06 10:00:00,7.18,7.18,7.23,7.18
2022-10-06 11:00:00,7.18,7.16,7.2,7.13
2022-10-06 12:00:00,7.17,7.21,7.24,7.12
2022-10-06 13:00:00,7.21,7.19,7.21,7.155
2022-10-06 14:00:00,7.18,7.13,7.19,7.1
2022-10-06 15:00:00,7.14,7.12,7.15,7.12
2022-10-07 09:00:00,7.0,6.92,7.02,6.86
2022-10-07 10:00:00,6.91,6.9175,6.96,6.89
2022-10-07 11:00:00,6.92,6.885,6.93,6.88
2022-10-07 12:00:00,6.89,6.925,6.95,6.88
2022-10-07 13:00:00,6.925,6.905,6.94,6.905
2022-10-07 14:00:00,6.91,6.94,6.955,6.905
2022-10-07 15:00:00,6.94,6.85,6.95,6.83
2022-10-10 09:00:00,6.81,6.77,6.81,6.6
2022-10-10 10:00:00,6.76,6.75,6.79,6.69
2022-10-10 11:00:00,6.75,6.64,6.76,6.63
2022-10-10 12:00:00,6.64,6.615,6.64,6.54
2022-10-10 13:00:00,6.615,6.71,6.7731,6.615
2022-10-10 14:00:00,6.7,6.62,6.73,6.605
2022-10-10 15:00:00,6.625,6.6,6.685,6.59
2022-10-11 09:00:00,6.55,6.41,6.57,6.3
2022-10-11 10:00:00,6.4,6.49,6.53,6.39
2022-10-11 11:00:00,6.49,6.63,6.655,6.49
2022-10-11 12:00:00,6.635,6.59,6.67,6.59
2022-10-11 13:00:00,6.59,6.59,6.615,6.56
2022-10-11 14:00:00,6.59,6.48,6.595,6.45
2022-10-11 15:00:00,6.47,6.46,6.47,6.4
2022-10-12 09:00:00,6.43,6.35,6.46,6.32
2022-10-12 10:00:00,6.35,6.3725,6.39,6.33
2022-10-12 11:00:00,6.375,6.35,6.38,6.345
2022-10-12 12:00:00,6.35,6.375,6.39,6.35
2022-10-12 13:00:00,6.38,6.46,6.46,6.37
2022-10-12 14:00:00,6.46,6.47,6.48,6.42
2022-10-12 15:00:00,6.465,6.445,6.48,6.44
2022-10-13 09:00:00,6.25,6.35,6.425,6.14
2022-10-13 10:00:00,6.345,6.535,6.57,6.345
2022-10-13 11:00:00,6.54,6.51,6.62,6.49
2022-10-13 12:00:00,6.5,6.58,6.62,6.48
2022-10-13 13:00:00,6.58,6.65,6.69,6.58
2022-10-13 14:00:00,6.65,6.645,6.69,6.645
2022-10-13 15:00:00,6.65,6.65,6.66,6.575
2022-10-14 09:00:00,6.71,6.49,6.765,6.46
2022-10-14 10:00:00,6.5,6.44,6.52,6.39
2022-10-14 11:00:00,6.43,6.31,6.43,6.28
2022-10-14 12:00:00,6.31,6.215,6.32,6.19
