datetime,open,close,high,low
2022-09-29 10:00:00,24.65,24.72,24.89,24.62
2022-09-29 11:00:00,24.74,24.94,25.12,24.7
2022-09-29 12:00:00,24.97,24.88,25.02,24.79
2022-09-29 13:00:00,24.86,24.89,24.99,24.77
2022-09-29 14:00:00,24.89,25.12,25.12,24.85
2022-09-29 15:00:00,25.13,25.22,25.27,25.11
2022-09-30 09:00:00,25.2,25.59,25.64,25.2
2022-09-30 10:00:00,25.6,25.82,25.82,25.41
2022-09-30 11:00:00,25.82,25.59,25.82,25.46
2022-09-30 12:00:00,25.59,25.68,25.86,25.59
2022-09-30 13:00:00,25.7,25.64,25.79,25.5
2022-09-30 14:00:00,25.64,25.22,25.67,25.17
2022-09-30 15:00:00,25.22,24.98,25.29,24.91
2022-10-03 09:00:00,25.03,25.29,25.29,24.76
2022-10-03 10:00:00,25.39,25.53,25.6,25.37
2022-10-03 11:00:00,25.54,25.12,25.56,25.11
2022-10-03 12:00:00,25.16,25.29,25.29,24.98
2022-10-03 13:00:00,25.32,25.32,25.38,25.2
2022-10-03 14:00:00,25.36,25.34,25.47,25.3
2022-10-03 15:00:00,25.36,25.18,25.36,25.12
2022-10-04 09:00:00,25.78,26.6,26.96,25.78
2022-10-04 10:00:00,26.5,26.56,26.78,26.42
2022-10-04 11:00:00,26.54,26.45,26.58,26.39
2022-10-04 12:00:00,26.48,26.16,26.48,26.04
2022-10-04 13:00:00,26.14,26.19,26.26,26.14
2022-10-04 14:00:00,26.19,26.15,26.37,26.13
2022-10-04 15:00:00,26.12,26.38,26.42,26.11
2022-10-05 09:00:00,25.87,25.0,26.0,24.88
2022-10-05 10:00:00,25.0,25.48,25.51,25.0
2022-10-05 11:00:00,25.47,25.61,25.88,25.46
2022-10-05 12:00:00,25.65,25.74,25.81,25.47
2022-10-05 13:00:00,25.73,25.74,25.76,25.61
2022-10-05 14:00:00,25.77,26.12,26.15,25.77
2022-10-05 15:00:00,26.14,26.27,26.34,26.14
2022-10-06 09:00:00,26.34,25.93,27.0,25.92
2022-10-06 10:00:00,25.86,25.76,26.0,25.72
2022-10-06 11:00:00,25.74,25.5,25.82,25.43
2022-10-06 12:00:00,25.5,25.31,25.52,25.08
2022-10-06 13:00:00,25.31,25.71,25.73,25.15
2022-10-06 14:00:00,25.77,25.55,25.78,25.2
2022-10-06 15:00:00,25.55,25.46,25.55,25.36
2022-10-07 09:00:00,25.23,25.06,25.76,24.96
2022-10-07 10:00:00,25.07,25.2,25.43,25.0
2022-10-07 11:00:00,25.13,24.87,25.19,24.84
2022-10-07 12:00:00,24.85,24.82,24.9,24.73
2022-10-07 13:00:00,24.8,24.61,24.82,24.6
2022-10-07 14:00:00,24.58,24.52,24.76,24.51
2022-10-07 15:00:00,24.52,24.53,24.57,24.41
2022-10-10 09:00:00,24.49,23.79,24.49,23.7
2022-10-10 10:00:00,23.77,23.43,23.77,23.38
2022-10-10 11:00:00,23.45,23.57,23.79,23.42
2022-10-10 12:00:00,23.57,23.65,23.77,23.55
2022-10-10 13:00:00,23.62,23.89,23.89,23.55
2022-10-10 14:00:00,23.9,23.98,24.09,23.84
2022-10-10 15:00:00,23.92,23.83,23.97,23.82
2022-10-11 09:00:00,23.75,23.14,23.75,22.93
2022-10-11 10:00:00,23.05,23.43,23.45,22.98
2022-10-11 11:00:00,23.48,23.64,23.66,23.33
2022-10-11 12:00:00,23.67,23.56,23.84,23.56
2022-10-11 13:00:00,23.59,23.52,23.67,23.49
2022-10-11 14:00:00,23.53,23.24,23.55,23.18
2022-10-11 15:00:00,23.24,23.45,23.52,23.23
2022-10-12 09:00:00,23.48,22.73,23.57,22.61
2022-10-12 10:00:00,22.69,23.05,23.05,22.48
2022-10-12 11:00:00,23.05,23.08,23.32,23.05
2022-10-12 12:00:00,22.98,23.04,23.2,22.98
2022-10-12 13:00:00,23.03,23.2,23.21,22.91
2022-10-12 14:00:00,23.19,23.35,23.4,23.13
2022-10-12 15:00:00,23.34,23.17,23.38,23.14
2022-10-13 09:00:00,22.26,22.37,22.71,22.15
2022-10-13 10:00:00,22.35,23.09,23.28,22.34
2022-10-13 11:00:00,23.08,22.87,23.45,22.87
2022-10-13 12:00:00,22.86,23.15,23.15,22.79
2022-10-13 13:00:00,23.21,22.96,23.26,22.96
2022-10-13 14:00:00,22.96,23.02,23.15,22.93
2022-10-13 15:00:00,23.01,23.0,23.05,22.88
2022-10-14 09:00:00,23.31,22.61,23.59,22.37
2022-10-14 10:00:00,22.535,22.25,22.57,22.16
2022-10-14 11:00:00,22.2,22.16,22.3,21.94
2022-10-14 12:00:00,22.19,22.15,22.22,21.99
2022-10-14 13:00:00,22.15,22.06,22.27,22.03
2022-10-14 14:00:00,22.06,22.0,22.16,22.0
2022-10-14 15:00:00,21.95,21.91,22.05,21.87
2022-10-17 09:00:00,22.54,22.94,23.19,22.54
2022-10-17 10:00:00,22.99,22.94,23.2,22.83
2022-10-17 11:00:00,22.93,22.68,23.06,22.68
2022-10-17 12:00:00,22.69,22.37,22.71,22.37
2022-10-17 13:00:00,22.39,22.32,22.49,22.32
2022-10-17 14:00:00,22.32,22.22,22.35,22.15
2022-10-17 15:00:00,22.21,22.4,22.49,22.21
