datetime,open,close,high,low
2022-12-26 11:00:00,11.33,11.35,11.36,11.31
2022-12-26 12:00:00,11.35,11.37,11.38,11.33
2022-12-26 13:00:00,11.37,11.3,11.38,11.28
2022-12-26 14:00:00,11.31,11.3,11.31,11.28
2022-12-26 15:00:00,11.31,11.19,11.32,11.18
2022-12-26 16:00:00,11.16,11.2,11.23,11.11
2022-12-26 17:00:00,11.19,11.18,11.21,11.15
2022-12-26 18:00:00,11.17,11.17,11.18,11.14
2022-12-26 19:00:00,11.17,11.19,11.21,11.15
2022-12-26 20:00:00,11.19,11.21,11.22,11.19
2022-12-26 21:00:00,11.22,11.22,11.27,11.21
2022-12-26 22:00:00,11.21,11.18,11.23,11.17
2022-12-26 23:00:00,11.2,11.33,11.33,11.16
2022-12-27 00:00:00,11.38,11.31,11.43,11.27
2022-12-27 01:00:00,11.3,11.28,11.34,11.27
2022-12-27 02:00:00,11.27,11.31,11.33,11.27
2022-12-27 03:00:00,11.32,11.28,11.33,11.28
2022-12-27 04:00:00,11.28,11.27,11.3,11.23
2022-12-27 05:00:00,11.27,11.21,11.28,11.2
2022-12-27 06:00:00,11.21,11.27,11.27,11.2
2022-12-27 07:00:00,11.26,11.22,11.27,11.21
2022-12-27 08:00:00,11.23,11.18,11.24,11.18
2022-12-27 09:00:00,11.13,11.19,11.19,11.12
2022-12-27 10:00:00,11.2,11.21,11.22,11.17
2022-12-27 11:00:00,11.22,11.15,11.22,11.15
2022-12-27 12:00:00,11.15,11.08,11.16,11.06
2022-12-27 13:00:00,11.05,11.05,11.13,11.05
2022-12-27 14:00:00,11.04,10.86,11.1,10.8
2022-12-27 15:00:00,10.84,10.76,10.95,10.76
2022-12-27 16:00:00,10.75,10.86,10.92,10.75
2022-12-27 17:00:00,10.87,10.8,10.9,10.75
2022-12-27 18:00:00,10.78,10.89,10.89,10.74
2022-12-27 19:00:00,10.88,11.02,11.03,10.84
2022-12-27 20:00:00,11.02,10.99,11.02,10.98
2022-12-27 21:00:00,11.0,11.0,11.0,10.97
2022-12-27 22:00:00,11.0,11.04,11.06,10.99
2022-12-27 23:00:00,11.13,11.09,11.15,11.05
2022-12-28 00:00:00,11.1,11.0,11.11,11.0
2022-12-28 01:00:00,11.01,10.91,11.02,10.9
2022-12-28 02:00:00,10.91,10.86,10.94,10.86
2022-12-28 03:00:00,10.85,10.78,10.85,10.71
2022-12-28 04:00:00,10.77,10.73,10.78,10.73
2022-12-28 05:00:00,10.7,9.92,10.7,9.89
2022-12-28 06:00:00,9.94,9.91,10.0,9.9
2022-12-28 07:00:00,9.93,10.15,10.15,9.91
