datetime,open,close,high,low
2022-09-30 10:00:00,5.59,5.66,5.68,5.59
2022-09-30 11:00:00,5.67,5.59,5.69,5.58
2022-09-30 12:00:00,5.59,5.62,5.67,5.59
2022-09-30 13:00:00,5.61,5.58,5.62,5.58
2022-09-30 14:00:00,5.59,5.57,5.59,5.55
2022-09-30 15:00:00,5.57,5.55,5.58,5.52
2022-10-03 09:00:00,5.62,5.66,5.67,5.51
2022-10-03 10:00:00,5.71,5.69,5.79,5.69
2022-10-03 11:00:00,5.67,5.62,5.67,5.59
2022-10-03 12:00:00,5.63,5.67,5.67,5.63
2022-10-03 13:00:00,5.67,5.7,5.7,5.65
2022-10-03 14:00:00,5.7,5.77,5.77,5.7
2022-10-03 15:00:00,5.77,5.79,5.79,5.75
2022-10-04 09:00:00,5.86,5.8,5.97,5.8
2022-10-04 10:00:00,5.81,5.89,5.89,5.79
2022-10-04 11:00:00,5.87,5.82,5.87,5.82
2022-10-04 12:00:00,5.84,5.79,5.85,5.79
2022-10-04 13:00:00,5.81,5.81,5.84,5.81
2022-10-04 14:00:00,5.82,5.85,5.86,5.8
2022-10-04 15:00:00,5.84,5.88,5.88,5.82
2022-10-05 09:00:00,5.74,5.68,5.79,5.65
2022-10-05 10:00:00,5.68,5.72,5.73,5.66
2022-10-05 11:00:00,5.72,5.71,5.72,5.63
2022-10-05 12:00:00,5.71,5.78,5.78,5.71
2022-10-05 13:00:00,5.76,5.72,5.76,5.71
2022-10-05 14:00:00,5.74,5.87,5.87,5.73
2022-10-05 15:00:00,5.88,5.86,5.88,5.84
2022-10-06 09:00:00,5.81,5.73,5.9,5.73
2022-10-06 10:00:00,5.73,5.81,5.83,5.73
2022-10-06 11:00:00,5.78,5.75,5.8,5.74
2022-10-06 12:00:00,5.75,5.79,5.79,5.75
2022-10-06 13:00:00,5.78,5.77,5.8,5.77
2022-10-06 14:00:00,5.76,5.78,5.78,5.7
2022-10-06 15:00:00,5.78,5.79,5.81,5.78
2022-10-07 09:00:00,5.75,5.5,5.75,5.47
2022-10-07 10:00:00,5.49,5.39,5.49,5.39
2022-10-07 11:00:00,5.39,5.48,5.5,5.38
2022-10-07 12:00:00,5.48,5.47,5.49,5.44
2022-10-07 13:00:00,5.47,5.52,5.52,5.41
2022-10-07 14:00:00,5.51,5.54,5.58,5.5
2022-10-07 15:00:00,5.54,5.5,5.54,5.5
