datetime,open,close,high,low
2022-09-30 10:00:00,28.9,29.16,29.25,28.87
2022-09-30 11:00:00,29.12,29.34,29.4,28.8
2022-09-30 12:00:00,29.4,29.81,29.85,29.21
2022-09-30 13:00:00,29.81,29.03,29.94,28.99
2022-09-30 14:00:00,29.03,28.55,29.03,28.39
2022-09-30 15:00:00,28.56,28.53,28.62,28.3
2022-10-03 09:00:00,28.97,28.53,29.24,27.78
2022-10-03 10:00:00,28.55,28.09,29.02,27.76
2022-10-03 11:00:00,28.13,27.36,28.38,27.34
2022-10-03 12:00:00,27.39,27.04,27.39,26.89
2022-10-03 13:00:00,27.04,26.95,27.06,26.69
2022-10-03 14:00:00,26.93,27.16,27.23,26.87
2022-10-03 15:00:00,27.19,27.03,27.19,26.74
2022-10-04 09:00:00,27.42,27.62,28.38,27.42
2022-10-04 10:00:00,27.57,27.91,28.18,27.47
2022-10-04 11:00:00,27.9,27.78,28.02,27.66
2022-10-04 12:00:00,27.81,27.76,27.81,27.58
2022-10-04 13:00:00,27.78,27.7,27.82,27.61
2022-10-04 14:00:00,27.73,27.71,27.98,27.68
2022-10-04 15:00:00,27.69,28.22,28.24,27.66
2022-10-05 09:00:00,27.64,27.61,28.4,27.53
2022-10-05 10:00:00,27.71,28.18,28.32,27.71
2022-10-05 11:00:00,28.14,28.09,28.32,27.83
2022-10-05 12:00:00,28.09,28.28,28.37,27.98
2022-10-05 13:00:00,28.22,28.22,28.23,28.06
2022-10-05 14:00:00,28.21,28.18,28.27,27.99
2022-10-05 15:00:00,28.21,28.09,28.55,28.04
2022-10-06 09:00:00,28.01,27.91,28.74,27.87
2022-10-06 10:00:00,27.85,28.07,28.09,27.79
2022-10-06 11:00:00,28.05,28.56,28.56,28.0
2022-10-06 12:00:00,28.55,28.51,28.64,28.45
2022-10-06 13:00:00,28.5,28.73,28.77,28.48
2022-10-06 14:00:00,28.71,28.83,28.83,28.39
2022-10-06 15:00:00,28.84,28.72,29.09,28.64
2022-10-07 09:00:00,28.22,28.42,28.63,27.96
2022-10-07 10:00:00,28.37,28.05,28.41,28.0
2022-10-07 11:00:00,28.08,27.98,28.21,27.94
2022-10-07 12:00:00,27.98,27.64,28.03,27.57
2022-10-07 13:00:00,27.62,27.69,27.9,27.62
2022-10-07 14:00:00,27.73,27.49,27.89,27.46
2022-10-07 15:00:00,27.47,27.33,27.62,27.25
2022-10-10 09:00:00,27.06,26.98,27.06,26.32
2022-10-10 10:00:00,26.98,26.75,26.98,26.47
2022-10-10 11:00:00,26.84,26.65,27.04,26.65
2022-10-10 12:00:00,26.65,26.75,26.75,26.39
2022-10-10 13:00:00,26.71,27.16,27.19,26.66
2022-10-10 14:00:00,27.12,27.07,27.34,27.02
2022-10-10 15:00:00,27.13,27.07,27.29,26.93
2022-10-11 09:00:00,27.07,26.56,27.42,26.46
2022-10-11 10:00:00,26.5,26.93,27.06,26.45
2022-10-11 11:00:00,26.96,27.1,27.71,26.86
2022-10-11 12:00:00,27.14,27.27,27.34,26.91
2022-10-11 13:00:00,27.23,26.77,27.37,26.63
2022-10-11 14:00:00,26.75,26.24,26.75,26.2
2022-10-11 15:00:00,26.24,26.98,27.09,26.23
2022-10-12 09:00:00,26.9,26.75,27.02,26.4
2022-10-12 10:00:00,26.68,26.73,26.83,26.51
2022-10-12 11:00:00,26.71,26.86,26.94,26.65
2022-10-12 12:00:00,26.85,27.16,27.32,26.82
2022-10-12 13:00:00,27.12,27.05,27.16,26.74
2022-10-12 14:00:00,27.0,27.39,27.52,27.0
2022-10-12 15:00:00,27.33,27.36,27.45,27.11
2022-10-13 09:00:00,26.41,26.52,27.31,26.39
2022-10-13 10:00:00,26.48,27.38,27.54,26.48
2022-10-13 11:00:00,27.28,26.88,27.66,26.88
2022-10-13 12:00:00,26.9,27.29,27.29,26.71
2022-10-13 13:00:00,27.43,27.01,27.44,26.97
2022-10-13 14:00:00,27.0,27.24,27.31,26.93
2022-10-13 15:00:00,27.2,27.29,27.34,27.01
2022-10-14 09:00:00,27.7,26.59,27.89,26.4
2022-10-14 10:00:00,26.61,26.27,26.78,26.04
2022-10-14 11:00:00,26.2,26.11,26.2,25.79
2022-10-14 12:00:00,26.17,25.78,26.17,25.74
2022-10-14 13:00:00,25.79,25.42,25.93,25.42
2022-10-14 14:00:00,25.43,25.55,25.61,25.35
2022-10-14 15:00:00,25.51,25.2,25.66,25.16
2022-10-17 09:00:00,25.59,25.63,26.04,25.21
2022-10-17 10:00:00,25.62,26.08,26.09,25.41
2022-10-17 11:00:00,26.05,26.23,26.35,25.93
2022-10-17 12:00:00,26.19,26.22,26.43,26.19
2022-10-17 13:00:00,26.22,26.6,26.67,26.19
2022-10-17 14:00:00,26.59,26.73,26.8,26.48
2022-10-17 15:00:00,26.72,26.66,27.0,26.63
2022-10-18 09:00:00,27.25,27.14,27.67,26.86
2022-10-18 10:00:00,27.02,26.84,27.16,26.68
2022-10-18 11:00:00,26.76,27.0,27.18,26.4
2022-10-18 12:00:00,26.97,27.27,27.38,26.92
2022-10-18 13:00:00,27.25,27.11,27.3,26.98
2022-10-18 14:00:00,27.09,26.76,27.12,26.76
2022-10-18 15:00:00,26.81,26.93,27.03,26.81
2022-10-19 09:00:00,26.46,26.26,26.57,25.92
2022-10-19 10:00:00,26.2,25.66,26.2,25.57
2022-10-19 11:00:00,25.6,25.0,25.74,24.97
2022-10-19 12:00:00,24.93,24.61,25.07,24.56
2022-10-19 13:00:00,24.64,24.68,24.75,24.35
2022-10-19 14:00:00,24.7,24.05,24.7,23.95
2022-10-19 15:00:00,24.01,24.2,24.31,23.8
2022-10-20 09:00:00,23.96,24.41,24.6,23.85
2022-10-20 10:00:00,24.37,24.17,24.4,24.05
2022-10-20 11:00:00,24.24,24.1,24.46,24.1
2022-10-20 12:00:00,24.13,24.02,24.25,24.02
2022-10-20 13:00:00,24.03,23.85,24.03,23.8
2022-10-20 14:00:00,23.82,23.66,23.95,23.63
2022-10-20 15:00:00,23.65,23.73,23.8,23.52
2022-10-21 09:00:00,23.77,23.75,24.06,23.09
2022-10-21 10:00:00,23.71,24.0,24.0,23.37
2022-10-21 11:00:00,24.0,23.91,24.08,23.68
2022-10-21 12:00:00,23.87,23.98,24.11,23.87
2022-10-21 13:00:00,23.94,24.0,24.19,23.89
2022-10-21 14:00:00,23.97,24.16,24.17,23.82
2022-10-21 15:00:00,24.21,24.41,24.46,24.13
2022-10-24 09:00:00,24.37,23.17,24.37,23.17
2022-10-24 10:00:00,23.17,23.84,23.84,23.14
2022-10-24 11:00:00,23.84,24.13,24.26,23.67
2022-10-24 12:00:00,24.055,23.89,24.18,23.89
2022-10-24 13:00:00,23.89,23.69,23.89,23.68
2022-10-24 14:00:00,23.68,23.95,24.04,23.68
2022-10-24 15:00:00,23.99,24.0,24.09,23.94
2022-10-25 09:00:00,24.25,25.43,25.44,24.07
2022-10-25 10:00:00,25.31,25.59,25.71,24.93
2022-10-25 11:00:00,25.53,25.66,26.0,25.53
2022-10-25 12:00:00,25.69,25.5,25.8,25.46
2022-10-25 13:00:00,25.53,25.38,25.62,25.17
2022-10-25 14:00:00,25.4,25.43,25.52,25.31
2022-10-25 15:00:00,25.45,25.13,25.47,25.09
2022-10-26 09:00:00,25.09,25.83,26.37,25.09
2022-10-26 10:00:00,25.8,26.48,26.7,25.8
2022-10-26 11:00:00,26.37,25.91,26.48,25.82
2022-10-26 12:00:00,25.93,25.43,26.03,25.33
2022-10-26 13:00:00,25.43,25.43,25.55,25.32
2022-10-26 14:00:00,25.43,25.5,25.52,25.08
2022-10-26 15:00:00,25.48,25.55,25.89,25.48
2022-10-27 09:00:00,25.92,25.09,26.21,24.97
2022-10-27 10:00:00,25.18,25.02,25.37,24.73
2022-10-27 11:00:00,25.01,24.86,25.18,24.72
2022-10-27 12:00:00,24.91,24.91,25.05,24.79
2022-10-27 13:00:00,24.86,24.77,25.03,24.76
2022-10-27 14:00:00,24.75,24.48,24.75,24.22
2022-10-27 15:00:00,24.5,24.39,24.56,24.3
2022-10-28 09:00:00,24.54,23.95,24.67,23.95
2022-10-28 10:00:00,23.95,24.25,24.56,23.95
2022-10-28 11:00:00,24.3,24.66,24.77,24.3
2022-10-28 12:00:00,24.63,24.94,25.0,24.61
2022-10-28 13:00:00,24.97,24.84,24.97,24.78
2022-10-28 14:00:00,24.84,24.96,25.02,24.74
2022-10-28 15:00:00,24.94,25.36,25.38,24.93
2022-10-31 09:00:00,25.17,24.56,25.17,24.07
2022-10-31 10:00:00,24.5,24.7,24.75,24.32
2022-10-31 11:00:00,24.77,24.59,24.95,24.48
2022-10-31 12:00:00,24.62,24.59,24.63,24.32
2022-10-31 13:00:00,24.62,24.39,24.73,24.32
2022-10-31 14:00:00,24.39,24.22,24.48,24.06
2022-10-31 15:00:00,24.19,24.06,24.49,23.95
2022-11-01 09:00:00,24.53,24.69,24.92,23.98
2022-11-01 10:00:00,24.79,24.48,24.91,24.36
2022-11-01 11:00:00,24.66,24.64,24.73,24.45
2022-11-01 12:00:00,24.68,24.74,24.9,24.45
2022-11-01 13:00:00,24.74,24.44,24.77,24.4
2022-11-01 14:00:00,24.45,24.42,24.45,24.24
2022-11-01 15:00:00,24.36,24.29,24.42,24.12
2022-11-02 09:00:00,24.09,23.61,24.09,22.84
2022-11-02 10:00:00,23.55,23.49,23.7,23.44
2022-11-02 11:00:00,23.49,23.52,23.6,23.47
2022-11-02 12:00:00,23.51,23.7,23.78,23.47
2022-11-02 13:00:00,23.71,24.57,24.62,23.61
2022-11-02 14:00:00,24.59,23.45,24.61,23.39
2022-11-02 15:00:00,23.41,23.25,23.41,23.18
2022-11-03 09:00:00,23.05,23.14,23.72,22.61
2022-11-03 10:00:00,23.25,22.86,23.5,22.8
2022-11-03 11:00:00,22.84,23.27,23.28,22.84
2022-11-03 12:00:00,23.25,23.04,23.31,22.99
2022-11-03 13:00:00,23.0,23.11,23.12,22.84
2022-11-03 14:00:00,23.11,23.29,23.36,23.1
2022-11-03 15:00:00,23.3,23.4,23.42,23.14
2022-11-04 09:00:00,24.13,23.9,24.39,22.99
2022-11-04 10:00:00,23.91,24.7,24.955,23.81
2022-11-04 11:00:00,24.71,23.96,24.845,23.67
2022-11-04 12:00:00,23.94,23.03,23.94,22.9
2022-11-04 13:00:00,23.06,23.2,23.275,22.93
2022-11-04 14:00:00,23.26,23.6,23.7,23.23
2022-11-04 15:00:00,23.58,23.91,23.95,23.48
2022-11-07 09:00:00,23.5,21.56,23.88,21.42
2022-11-07 10:00:00,21.565,22.24,22.27,21.37
2022-11-07 11:00:00,22.24,22.96,23.0,22.24
2022-11-07 12:00:00,22.99,22.745,23.06,22.705
2022-11-07 13:00:00,22.76,22.7,22.76,22.45
2022-11-07 14:00:00,22.7,22.375,22.85,22.2325
2022-11-07 15:00:00,22.39,22.53,22.59,22.3
2022-11-08 09:00:00,22.95,23.055,23.91,22.505
2022-11-08 10:00:00,23.055,23.125,23.33,22.91
2022-11-08 11:00:00,23.125,22.965,23.45,22.94
2022-11-08 12:00:00,22.965,22.5,23.03,22.46
2022-11-08 13:00:00,22.5,22.01,22.55,22.01
2022-11-08 14:00:00,22.025,22.13,22.24,21.965
2022-11-08 15:00:00,22.16,22.55,22.64,22.145
2022-11-09 09:00:00,22.49,22.57,22.95,22.015
2022-11-09 10:00:00,22.575,22.09,22.63,21.75
2022-11-09 11:00:00,22.1,21.95,22.25,21.94
2022-11-09 12:00:00,21.9501,22.225,22.25,21.95
2022-11-09 13:00:00,22.225,22.265,22.275,22.0
2022-11-09 14:00:00,22.24,22.3,22.37,22.08
2022-11-09 15:00:00,22.31,21.79,22.389,21.71
2022-11-10 09:00:00,22.81,23.2,23.62,22.71
2022-11-10 10:00:00,23.185,23.59,23.67,22.82
2022-11-10 11:00:00,23.62,23.78,23.84,23.6
2022-11-10 12:00:00,23.75,24.03,24.03,23.61
2022-11-10 13:00:00,24.025,23.85,24.025,23.6
2022-11-10 14:00:00,23.855,23.78,23.855,23.38
2022-11-10 15:00:00,23.78,23.79,23.815,23.52
2022-11-11 09:00:00,23.51,24.36,24.48,23.465
2022-11-11 10:00:00,24.425,24.01,24.67,23.96
2022-11-11 11:00:00,23.98,24.69,24.77,23.96
2022-11-11 12:00:00,24.6875,25.06,25.06,24.6
2022-11-11 13:00:00,25.16,25.08,25.215,24.94
2022-11-11 14:00:00,25.08,25.27,25.68,25.0375
2022-11-11 15:00:00,25.29,24.99,25.49,24.96
2022-11-14 09:00:00,24.91,26.09,26.09,24.25
2022-11-14 10:00:00,26.14,25.7,26.335,25.64
2022-11-14 11:00:00,25.75,26.07,26.235,25.74
2022-11-14 12:00:00,26.04,26.488,26.53,26.03
2022-11-14 13:00:00,26.46,26.81,26.81,26.44
2022-11-14 14:00:00,26.8,26.645,26.87,26.475
2022-11-14 15:00:00,26.645,26.16,26.675,26.14
2022-11-15 09:00:00,26.99,27.5,27.5,26.705
2022-11-15 10:00:00,27.4,27.41,27.55,27.09
2022-11-15 11:00:00,27.43,27.16,27.71,27.02
2022-11-15 12:00:00,27.15,26.915,27.32,26.835
2022-11-15 13:00:00,26.96,27.465,27.54,26.855
2022-11-15 14:00:00,27.45,27.78,27.88,27.24
2022-11-15 15:00:00,27.76,27.39,27.86,27.33
2022-11-16 09:00:00,26.98,25.55,27.34,25.55
2022-11-16 10:00:00,25.58,25.65,25.8,25.185
2022-11-16 11:00:00,25.69,26.21,26.28,25.55
2022-11-16 12:00:00,26.13,25.98,26.47,25.96
2022-11-16 13:00:00,25.975,26.04,26.2,25.7575
2022-11-16 14:00:00,26.01,25.675,26.07,25.6701
2022-11-16 15:00:00,25.63,25.46,25.94,25.43
2022-11-17 09:00:00,24.98,24.48,25.24,23.92
2022-11-17 10:00:00,24.46,23.89,24.705,23.79
2022-11-17 11:00:00,23.87,24.2,24.21,23.59
2022-11-17 12:00:00,24.23,24.45,24.77,24.2
2022-11-17 13:00:00,24.42,24.005,24.5,23.97
2022-11-17 14:00:00,23.99,23.5,24.005,23.37
2022-11-17 15:00:00,23.55,24.4,24.4,23.54
2022-11-18 09:00:00,24.94,25.215,25.41,24.63
2022-11-18 10:00:00,25.24,24.97,25.32,24.855
2022-11-18 11:00:00,24.95,24.98,25.08,24.79
2022-11-18 12:00:00,24.975,24.81,25.01,24.715
2022-11-18 13:00:00,24.765,24.705,24.81,24.66
2022-11-18 14:00:00,24.72,25.015,25.08,24.5833
2022-11-18 15:00:00,25.015,24.97,25.21,24.865
2022-11-21 09:00:00,24.7,24.09,24.94,24.02
2022-11-21 10:00:00,24.2,24.17,24.23,24.0
2022-11-21 11:00:00,24.13,23.85,24.13,23.78
2022-11-21 12:00:00,23.88,23.905,24.08,23.835
2022-11-21 13:00:00,23.88,23.985,24.12,23.85
2022-11-21 14:00:00,23.97,24.08,24.09,23.85
2022-11-21 15:00:00,24.08,24.2,24.26,24.08
2022-11-22 09:00:00,24.16,23.585,24.16,23.355
2022-11-22 10:00:00,23.6,24.8,24.99,23.56
2022-11-22 11:00:00,24.84,24.72,24.87,24.47
2022-11-22 12:00:00,24.76,24.67,24.84,24.59
2022-11-22 13:00:00,24.68,23.715,24.8,23.45
2022-11-22 14:00:00,23.72,23.86,23.86,23.44
2022-11-22 15:00:00,23.89,24.43,24.51,23.88
2022-11-23 09:00:00,24.59,24.58,25.75,24.48
2022-11-23 10:00:00,24.68,24.63,24.88,24.5
2022-11-23 11:00:00,24.67,24.4,24.905,24.2103
2022-11-23 12:00:00,24.44,24.56,24.68,24.24
2022-11-23 13:00:00,24.63,24.9,24.95,24.46
2022-11-23 14:00:00,24.85,24.91,24.99,24.7186
2022-11-23 15:00:00,24.89,24.52,24.89,24.47
2022-11-25 09:00:00,24.41,23.94,24.41,23.845
2022-11-25 10:00:00,23.94,23.81,23.985,23.715
2022-11-25 11:00:00,23.815,23.89,23.95,23.7
2022-11-25 12:00:00,23.9,23.83,24.04,23.7
2022-11-28 09:00:00,23.42,23.2,23.64,22.72
2022-11-28 10:00:00,23.2,23.58,23.595,23.195
2022-11-28 11:00:00,23.6,23.68,23.7,23.28
2022-11-28 12:00:00,23.68,23.345,23.77,23.3
2022-11-28 13:00:00,23.345,23.11,23.36,23.11
2022-11-28 14:00:00,23.12,23.045,23.29,23.02
2022-11-28 15:00:00,23.07,23.27,23.3,22.98
2022-11-29 09:00:00,23.4,24.02,24.2,22.795
2022-11-29 10:00:00,24.04,23.64,24.12,23.62
2022-11-29 11:00:00,23.655,23.55,23.79,23.425
2022-11-29 12:00:00,23.66,23.3901,23.82,23.29
2022-11-29 13:00:00,23.43,23.6,23.64,23.43
2022-11-29 14:00:00,23.61,23.555,23.65,23.37
2022-11-29 15:00:00,23.53,23.54,23.64,23.37
2022-11-30 09:00:00,23.94,24.08,24.5,23.94
2022-11-30 10:00:00,24.03,23.915,24.26,23.915
2022-11-30 11:00:00,23.97,23.87,24.16,23.755
2022-11-30 12:00:00,23.875,23.795,23.91,23.65
2022-11-30 13:00:00,23.76,24.36,24.45,23.73
2022-11-30 14:00:00,24.37,24.23,24.37,24.07
2022-11-30 15:00:00,24.23,24.18,24.43,24.02
2022-12-01 09:00:00,24.53,23.61,25.25,23.6
2022-12-01 10:00:00,23.62,23.925,23.9946,23.62
2022-12-01 11:00:00,23.925,23.89,24.24,23.89
2022-12-01 12:00:00,23.87,23.48,23.89,23.455
2022-12-01 13:00:00,23.5,23.41,23.6874,23.32
2022-12-01 14:00:00,23.375,23.39,23.505,23.35
2022-12-01 15:00:00,23.395,23.67,23.67,23.39
2022-12-02 09:00:00,23.38,24.2697,24.27,23.03
2022-12-02 10:00:00,24.37,24.44,24.5,24.195
2022-12-02 11:00:00,24.46,24.84,24.94,24.44
2022-12-02 12:00:00,24.845,24.26,24.94,24.08
2022-12-02 13:00:00,24.255,24.391,24.55,24.195
2022-12-02 14:00:00,24.415,25.0,25.125,24.3112
2022-12-02 15:00:00,25.0,25.1,25.15,24.64
2022-12-05 09:00:00,25.24,25.655,25.94,24.96
2022-12-05 10:00:00,25.6,24.89,25.6,24.77
2022-12-05 11:00:00,24.9,24.39,24.9,24.195
2022-12-05 12:00:00,24.38,24.22,24.47,24.14
2022-12-05 13:00:00,24.24,24.35,24.35,24.06
2022-12-05 14:00:00,24.3,23.88,24.3,23.83
2022-12-05 15:00:00,23.87,24.27,24.29,23.79
2022-12-06 09:00:00,24.06,24.525,24.67,23.87
2022-12-06 10:00:00,24.525,24.405,24.58,24.26
2022-12-06 11:00:00,24.41,23.945,24.48,23.91
2022-12-06 12:00:00,23.945,23.785,24.015,23.71
2022-12-06 13:00:00,23.78,23.95,24.16,23.68
2022-12-06 14:00:00,23.955,24.0,24.175,23.94
2022-12-06 15:00:00,24.0,24.08,24.1,23.92
