datetime,open,close,high,low
2022-09-30 10:00:00,22.2,22.68,22.68,22.2
2022-09-30 11:00:00,22.67,22.55,22.77,22.4
2022-09-30 12:00:00,22.6,22.63,22.75,22.52
2022-09-30 13:00:00,22.62,22.25,22.63,22.22
2022-09-30 14:00:00,22.24,21.8,22.24,21.69
2022-09-30 15:00:00,21.78,21.66,21.81,21.65
2022-10-03 09:00:00,22.26,22.35,22.38,21.51
2022-10-03 10:00:00,22.4,22.69,22.87,22.38
2022-10-03 11:00:00,22.69,22.12,22.69,22.07
2022-10-03 12:00:00,22.18,22.12,22.23,21.74
2022-10-03 13:00:00,22.22,22.08,22.25,21.91
2022-10-03 14:00:00,22.14,22.35,22.4,22.14
2022-10-03 15:00:00,22.36,22.21,22.36,22.13
2022-10-04 09:00:00,22.65,22.28,23.12,22.27
2022-10-04 10:00:00,22.3,22.3,22.36,22.02
2022-10-04 11:00:00,22.23,22.09,22.28,22.06
2022-10-04 12:00:00,22.09,21.86,22.09,21.73
2022-10-04 13:00:00,21.9,21.94,22.03,21.85
2022-10-04 14:00:00,21.93,21.95,22.0,21.93
2022-10-04 15:00:00,21.93,22.2,22.2,21.76
2022-10-05 09:00:00,21.94,21.58,22.08,21.39
2022-10-05 10:00:00,21.59,22.04,22.22,21.54
2022-10-05 11:00:00,22.0,22.12,22.3,21.97
2022-10-05 12:00:00,22.12,22.55,22.62,22.05
2022-10-05 13:00:00,22.53,22.55,22.66,22.48
2022-10-05 14:00:00,22.6,22.89,22.94,22.54
2022-10-05 15:00:00,22.88,22.95,23.21,22.85
2022-10-06 09:00:00,22.92,22.49,23.1,22.19
2022-10-06 10:00:00,22.45,22.61,22.67,22.45
2022-10-06 11:00:00,22.64,22.83,22.9,22.53
2022-10-06 12:00:00,22.87,22.85,22.93,22.72
2022-10-06 13:00:00,22.81,22.69,22.9,22.69
2022-10-06 14:00:00,22.67,22.67,22.69,22.5
2022-10-06 15:00:00,22.67,22.38,22.74,22.34
2022-10-07 09:00:00,21.88,22.05,22.12,21.48
2022-10-07 10:00:00,22.02,21.65,22.05,21.64
2022-10-07 11:00:00,21.61,21.75,21.98,21.5
2022-10-07 12:00:00,21.77,22.01,22.04,21.68
2022-10-07 13:00:00,21.98,21.98,22.0,21.84
2022-10-07 14:00:00,21.95,21.75,22.04,21.71
2022-10-07 15:00:00,21.74,21.58,21.75,21.45
2022-10-10 09:00:00,21.47,21.52,21.52,21.01
2022-10-10 10:00:00,21.56,21.46,21.56,21.39
2022-10-10 11:00:00,21.47,21.46,21.54,21.4
2022-10-10 12:00:00,21.43,21.25,21.49,21.12
2022-10-10 13:00:00,21.23,21.48,21.63,21.23
2022-10-10 14:00:00,21.47,21.53,21.66,21.42
2022-10-10 15:00:00,21.54,21.5,21.66,21.39
2022-10-11 09:00:00,21.5,21.62,21.73,21.18
2022-10-11 10:00:00,21.65,22.15,22.15,21.61
2022-10-11 11:00:00,22.15,22.77,22.79,22.1
2022-10-11 12:00:00,22.75,22.83,23.14,22.71
